relacion_id	tipo_trabajo	fuente	tarea_observacion_id	reporte_neutral_ref	estado_cierre	intentos_reales	objetos_abiertos	siguiente_accion_original	criterio_cierre_individual	receta_continuacion
REL-00e7bd28c9c0db01fd89a3be	BUSQUEDA_DIRIGIDA	ENIF	TOBS-SEM-c24d3b676e575f4c2d1600c7	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-c24d3b676e575f4c2d1600c7.json	EJECUTADA_CON_RESULTADO	0	5	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-01ff8326fdbe3c0a4e299a02	CURADURIA_FUENTE	ENSAFI	TOBS-SEM-8fc99b4dfe73c86eb952c3fa	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-8fc99b4dfe73c86eb952c3fa.json	EJECUTADA_CON_RESULTADO	0	6	Obtener diccionario oficial y comprobar texto/sentido.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-02b8ee6d0e13dfb6dc7d3331	BUSQUEDA_DIRIGIDA	CSES	TOBS-SEM-ecb16833bd802925530281f5	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-ecb16833bd802925530281f5.json	NO_ALCANZO_TRAS_INTENTOS	2	1	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Los intentos reales terminaron sin HTTP 2xx; continuar solo con acceso alternativo autorizado o localizador corregido.
REL-02e6e4861871631dd29048bd	CURADURIA_FUENTE	02-	TOBS-SEM-e36c1b7dfa01a1ad8d24e81d	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-e36c1b7dfa01a1ad8d24e81d.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Resolver ruta PDF.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-0692b43ca9c2f7bb608a2858	CURADURIA_FUENTE	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	TOBS-SEM-afeca52f8a8a6ec250bd1a74	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-afeca52f8a8a6ec250bd1a74.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Abrir índice/codebook del paquete y verificar nivel municipal, años y tipo de elección; mantener separado efecto experimental de serie municipal.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-08af2a451bfb04d90902eec4	BUSQUEDA_DIRIGIDA	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	TOBS-SEM-7881289efec51ce9db7b0399	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-7881289efec51ce9db7b0399.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Abrir DDI/codebook y datos; verificar asignación, llaves, participación parental y outcome escolar.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-0a4bbf31b54c5ce3565ba753	BUSQUEDA_DIRIGIDA	PUB	TOBS-SEM-9e0b4d107a72775a16bde39e	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-9e0b4d107a72775a16bde39e.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Localizar el payload oficial concreto del padrón y abrir diccionario/llaves antes de evaluar el vínculo causal o de participación.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-0b0dac8dd04b5f25133518f8	CURADURIA_FUENTE	FINANZAS	TOBS-SEM-64fd5177eab03a121ff41d1c	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-64fd5177eab03a121ff41d1c.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-0b6385436015c470992017f1	CURADURIA_FUENTE	ENSAFI	TOBS-SEM-e02239ccb05da1ffe4430c09	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-e02239ccb05da1ffe4430c09.json	EJECUTADA_CON_RESULTADO	0	5	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-0c03e53054567fc014b50bc0	CURADURIA_FUENTE	ENVIPE	TOBS-SEM-446358bd49e949d216678c49	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-446358bd49e949d216678c49.json	EJECUTADA_CON_RESULTADO	0	8	Mapear unión exacta.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
