supervision_id	run_id	relacion_id	propuesta_id	estado_recalculado	accion_preservada	joins_validos	hashes_validos	cegamiento_validado	destino	errores
SUPSEM-c24d3b676e575f4c2d1600c7	SEMRUN-354ccb9dc1023a0bd420d48f	REL-00e7bd28c9c0db01fd89a3be	SEMPROP-0453beea027f88cc9f3400ae	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-8fc99b4dfe73c86eb952c3fa	SEMRUN-354ccb9dc1023a0bd420d48f	REL-01ff8326fdbe3c0a4e299a02	SEMPROP-c980316a1822449d84bc0bca	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-ecb16833bd802925530281f5	SEMRUN-354ccb9dc1023a0bd420d48f	REL-02b8ee6d0e13dfb6dc7d3331	SEMPROP-0aaba72fd658e63e606e4b30	NO_ALCANZO_TRAS_INTENTOS	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-e36c1b7dfa01a1ad8d24e81d	SEMRUN-354ccb9dc1023a0bd420d48f	REL-02e6e4861871631dd29048bd	SEMPROP-54949c1c8a83b7cac9f789b1	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-afeca52f8a8a6ec250bd1a74	SEMRUN-354ccb9dc1023a0bd420d48f	REL-0692b43ca9c2f7bb608a2858	SEMPROP-20794add5020a90eebe72fa3	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-7881289efec51ce9db7b0399	SEMRUN-354ccb9dc1023a0bd420d48f	REL-08af2a451bfb04d90902eec4	SEMPROP-ea0a49ce9dfe56506d5f9873	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-9e0b4d107a72775a16bde39e	SEMRUN-354ccb9dc1023a0bd420d48f	REL-0a4bbf31b54c5ce3565ba753	SEMPROP-63aa470b73937f16a716b187	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-64fd5177eab03a121ff41d1c	SEMRUN-354ccb9dc1023a0bd420d48f	REL-0b0dac8dd04b5f25133518f8	SEMPROP-a225f9022424af33528d7e2b	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-e02239ccb05da1ffe4430c09	SEMRUN-354ccb9dc1023a0bd420d48f	REL-0b6385436015c470992017f1	SEMPROP-db31a46d02798bbd80d11495	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-446358bd49e949d216678c49	SEMRUN-354ccb9dc1023a0bd420d48f	REL-0c03e53054567fc014b50bc0	SEMPROP-e036016101c790af50382150	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
