tarea_observacion_id	relacion_id	necesidad_id	activo_id	input_inspector_ref	reporte_neutral_ref	input_curador_ref
TOBS-SEM-c24d3b676e575f4c2d1600c7	REL-00e7bd28c9c0db01fd89a3be	N24	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-c24d3b676e575f4c2d1600c7.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-c24d3b676e575f4c2d1600c7.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-c24d3b676e575f4c2d1600c7.json
TOBS-SEM-8fc99b4dfe73c86eb952c3fa	REL-01ff8326fdbe3c0a4e299a02	N14	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-8fc99b4dfe73c86eb952c3fa.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-8fc99b4dfe73c86eb952c3fa.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-8fc99b4dfe73c86eb952c3fa.json
TOBS-SEM-ecb16833bd802925530281f5	REL-02b8ee6d0e13dfb6dc7d3331	N27	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-ecb16833bd802925530281f5.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-ecb16833bd802925530281f5.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-ecb16833bd802925530281f5.json
TOBS-SEM-e36c1b7dfa01a1ad8d24e81d	REL-02e6e4861871631dd29048bd	N14	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-e36c1b7dfa01a1ad8d24e81d.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-e36c1b7dfa01a1ad8d24e81d.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-e36c1b7dfa01a1ad8d24e81d.json
TOBS-SEM-afeca52f8a8a6ec250bd1a74	REL-0692b43ca9c2f7bb608a2858	N25	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-afeca52f8a8a6ec250bd1a74.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-afeca52f8a8a6ec250bd1a74.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-afeca52f8a8a6ec250bd1a74.json
TOBS-SEM-7881289efec51ce9db7b0399	REL-08af2a451bfb04d90902eec4	N28	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-7881289efec51ce9db7b0399.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-7881289efec51ce9db7b0399.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-7881289efec51ce9db7b0399.json
TOBS-SEM-9e0b4d107a72775a16bde39e	REL-0a4bbf31b54c5ce3565ba753	N26	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-9e0b4d107a72775a16bde39e.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-9e0b4d107a72775a16bde39e.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-9e0b4d107a72775a16bde39e.json
TOBS-SEM-64fd5177eab03a121ff41d1c	REL-0b0dac8dd04b5f25133518f8	N29	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-64fd5177eab03a121ff41d1c.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-64fd5177eab03a121ff41d1c.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-64fd5177eab03a121ff41d1c.json
TOBS-SEM-e02239ccb05da1ffe4430c09	REL-0b6385436015c470992017f1	N13	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-e02239ccb05da1ffe4430c09.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-e02239ccb05da1ffe4430c09.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-e02239ccb05da1ffe4430c09.json
TOBS-SEM-446358bd49e949d216678c49	REL-0c03e53054567fc014b50bc0	N8	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-446358bd49e949d216678c49.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-446358bd49e949d216678c49.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-446358bd49e949d216678c49.json
