run_id	propuesta_id	relacion_id	destino_integracion	expediente_integrable	modifica_baseline	razon
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-0453beea027f88cc9f3400ae	REL-00e7bd28c9c0db01fd89a3be	NO_ENVIAR	NO	NO	EJECUTADA_CON_RESULTADO: Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-c980316a1822449d84bc0bca	REL-01ff8326fdbe3c0a4e299a02	NO_ENVIAR	NO	NO	EJECUTADA_CON_RESULTADO: Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-0aaba72fd658e63e606e4b30	REL-02b8ee6d0e13dfb6dc7d3331	NO_ENVIAR	NO	NO	NO_ALCANZO_TRAS_INTENTOS: Los intentos reales terminaron sin HTTP 2xx; continuar solo con acceso alternativo autorizado o localizador corregido.
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-54949c1c8a83b7cac9f789b1	REL-02e6e4861871631dd29048bd	NO_ENVIAR	NO	NO	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO: Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-20794add5020a90eebe72fa3	REL-0692b43ca9c2f7bb608a2858	NO_ENVIAR	NO	NO	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO: Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-ea0a49ce9dfe56506d5f9873	REL-08af2a451bfb04d90902eec4	NO_ENVIAR	NO	NO	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO: Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-63aa470b73937f16a716b187	REL-0a4bbf31b54c5ce3565ba753	NO_ENVIAR	NO	NO	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO: Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-a225f9022424af33528d7e2b	REL-0b0dac8dd04b5f25133518f8	NO_ENVIAR	NO	NO	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO: Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-db31a46d02798bbd80d11495	REL-0b6385436015c470992017f1	NO_ENVIAR	NO	NO	EJECUTADA_CON_RESULTADO: Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
SEMRUN-354ccb9dc1023a0bd420d48f	SEMPROP-e036016101c790af50382150	REL-0c03e53054567fc014b50bc0	NO_ENVIAR	NO	NO	EJECUTADA_CON_RESULTADO: Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
