ruta_relativa	sha256	payload_id	raiz_manifiesto	clase	ext	clase_extractor	n_matches_sha
1 VFINAL Cuestionario Hogar ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	adc873843b79067a1a2212e25b1f90f6ecb916f8541ad0e42411fd933126c425	1_vfinal_cuestionario_hogar_ensanut_2024_etiquetas_cuestionarios	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
2 VFINAL Cuestionario nios 0 a 9 ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	af65f922094c42a31d77cad5d8d889c0d7e597b925c7ef0efe1ae700fd66981c	2_vfinal_cuestionario_nios_0_a_9_ensanut_2024_etiquetas_cuestionarios	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
20240603_2005_PREP.zip	dcccf23088f81a4ab7c7942a79504b04c4a9347b0a4744f6c328c59fd4d6c31d	ine_prep2024_base_datos_20240603_2005_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
3 VFINAL Cuestionario adolescentes ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	344f32ef0f873f86fb20faf1d6afd2bfa0bc3735656ea4fe4d71e39736faeeab	3_vfinal_cuestionario_adolescentes_ensanut_2024_etiquetas_cuestionarios	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
35024-0001-Codebook-spanish.pdf.zip	f27c3f8853b70081bde06e8fec306b980d59a64f66478600cc38f96d1242180c	icpsr35024_mexico_panel_study_2012_codebook_es_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
35024_dats_2.2.json	a9e496da6c0975c45a245d49bf5c78f973182ea7dcac6ddf17812e7cff278dc9	icpsr35024_mexico_panel_study_2012_dats_json	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.json	DESPACHADO-INSPECT_ASSETS	1
4 VFINAL Cuestionario adultos ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	0bc30c3b7f08bda0b1cfebb823eb2bfdd815581fd1d93ea956314bf6507f82d0	4_vfinal_cuestionario_adultos_ensanut_2024_etiquetas_cuestionarios	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
5 VFINAL Cuestionario utilizadores ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	004aacee3729009e79065ba7e2c4afacfc7f7c3e418e735c405f46e9189fafa6	5_vfinal_cuestionario_utilizadores_ensanut_2024_etiquetas_cuestionarios	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
AGS_PEL_2016.zip	5373242a2cb9e00438480907b242d317a93b055d00ba8f8c6ca2c55039fa3e7e	sicee_local_ags_pel_2016_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
AGS_PEL_2018.zip	dfe21384543b887f6277678b5667110b572f24721bfe3e011888adacdb0786d2	sicee_local_ags_pel_2018_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
