id	comando	salida_resumida	veredicto	cita	espera_real
NC-0070	grep CALC de modulacion FAM-M-05/06/07 TRA-M-02/03/07 en data/corrida0/corridas.tsv	ninguna corrida nueva con cuenta_gen2=SI para esas 6 celdas; el pendiente es un CALC nuevo (medicion), no una verificacion	VIGENTE-CAJA	forense/no-corrido.tsv#NC-0070 (enmienda 16/sep sigue exacta)	MEDICION-NUEVA
NC-0120	powershell Get-WinEvent TaskScheduler/Operational -FilterXPath EventID=114 y TaskName=\ModeladoMexicano\AdquiereCron (fuera del sandbox)	5 eventos 114 «se inicio ahora como lo requiere la opcion ... iniciar cuando sea posible»: RecordId 11731 (16/sep), 14012 (17/sep), 18279 (18/sep), 23786 (21/sep), 26165 (22/sep); instancias 07a9ec20/5daecb17/dafecc0f con 102 (completada) en 11790/23973/26328	RESUELTO	nota §3.1	NINGUNA-YA-OCURRIO
NC-0156	lectura de la fila; forense/expedientes-acceso/2026-09-11-GEN2-EXPEDIENTES-ACCESO-21/03-ENNVIH-DIN-S6.md	exige solicitud firmada con identidad real del titular; ningun comando de caja la sustituye	HUMANO	nota §4 receta H1	HUMANO
NC-0161	git diff origin/main...origin/claude/gen2-fp374-resello-1 -- forense/no-corrido.tsv	#998 (en vuelo) reescribe la fila y la deja ABIERTA; reasignada a mesa MOTOR por firma B5; este acto no la toca	DE-MESA	PR #998; firma B5 (GEN2-TRAMITE-FIRMAS-3)	MESA
NC-0166	lectura de la fila	Appendix C, bloques, microdato y codigo solo los dan los autores; solicitud con identidad del titular	HUMANO	nota §4 receta H2	HUMANO
NC-0194	ls forense/prereg-caja | grep -i enadid; python3 tools/ya_medido.py familia.union.libre	spec sucesora existe (ENADID-UNION-ACTUAL-spec-v1_0; MEDIDA-EN CALC-ENADID-0001, #869); falta el acto que toque milpa/tramite.yaml y retire SIN-PROCEDENCIA-VERIFICABLE	VIGENTE-CAJA	#869; F-10 (GEN2-FIRMAS-MESA-2)	ACTO-DE-RELEVO
NC-0202	curl -sL -w %{http_code} (1 intento, caja) a ennvih-mxfls.org/english/documentation.html, rand.org/.../MxFLS.html, icpsr.umich.edu/...?q=Mexican+Family+Life+Survey, openicpsr.org	404 · 403 · 403 · 403 (respuesta del sitio; el proxy no nego: sin sandbox_violations). NO OBTENIDO POR ESTE AGENTE EN 1 INTENTO	HUMANO	nota §3.3 receta H3	HUMANO
NC-0228	grep CALC-ENVIPE-U4-2012 data/corrida0/corridas.tsv	estado=SUPERADO→CALC-ENVIPE-U4-2012-v1_1; replay REPRODUCE/IDENTICO con asiento	RESUELTO-ANTES	#866 (160868e2)	NINGUNA-YA-OCURRIO
NC-0236	conteo de filas_fisicas por motivo en data/reactivos-contexto-residual-v1_1.tsv	sin cambio desde 15/sep: envipe2025 643 ambiguas + 451 etiqueta tecnica; encuci2020 26+32; enif2024 1 = 1153; CORR-0007 sigue EXISTE-NO-SATISFACE 6/8. No se acredita aqui	VIGENTE-CAJA	data/corrida0/mapa-demanda-19-corr-v1_0.tsv#CORR-0007	ACTO-DE-ACREDITACION
NC-0246	grep CORR-0013 mapa-demanda y corridas.tsv; grep P3_27_AG data/corrida0/CALC-ENADID*/spec.yaml	enadid2023:P3_27_AG ya consumido por CALC-ENADID-0001 (#869); la parte MOCIBA del panel F6 depende de NC-0237 (DECISION-DE-MESA-PENDIENTE)	DE-MESA	#869; forense/no-corrido.tsv#NC-0237	MESA
NC-0247	awk estado de NC-0012/0024/0026/0213/0230/0233 en forense/no-corrido.tsv	4 de 6 ya CERRADA (0024, 0213, 0230, 0233); siguen ABIERTA 0012 y 0026. La re-verificacion pedida no exige caja	VIGENTE-CAJA	forense/no-corrido.tsv	CUALQUIER-SESION
NC-0257	grep CALC-AGG-marco-M-sorteado-v1_3-ola-v3 y CALC-C0D-ALCANCE-CORPUS-CAPTURA-SUCESOR en corridas.tsv y replay-evidencia.tsv	ambas en la vista, SELLADA, REPRODUCE/IDENTICO, con asiento VERIFY-AISLADO	RESUELTO-ANTES	#866 (160868e2, 73d92ecc)	NINGUNA-YA-OCURRIO
NC-0259	suma de filas_ciegas con motivo IDENTIDAD-INSUFICIENTE en data/crosswalk-tablas-fd-residual-v1_0.tsv	190 = MOCIBA2015.sav 159 + enasem2021 SECT_B_NON_RESIDENT_FOLLOW_UP_2021.csv 31 (la fila nombra ademas enasem2018 SECT_B 44, que no esta en ese motivo: el total cuadra, el desglose no). No se acredita aqui	DE-MESA	data/crosswalk-tablas-fd-residual-v1_0.tsv	MESA
NC-0270	unzip -p enif2024_csv.zip */catalogos/tloc.csv; enigh2022_nc_csv.zip concentradohogar/catalogos/tam_loc.csv	tloc (tmodulo y tsdem) = tam_loc: 1 ≥100 000 · 2 15 000–99 999 · 3 2 500–14 999 · 4 <2 500. CONFIRMA; MAPEO-N-A-1 no cambia	RESUELTO	nota §2.1	CAJA
NC-0278	curl -sL (1 intento, caja) jmlr.org/.../cawley10a.pdf, doi.org/10.1111/j.2517-6161.1995.tb02031.x, otexts.com/fpp3/accuracy.html; pdftotext	2 de 3 abiertas: Cawley-Talbot 200 (sha256 db01ac8f…, resumen: sobreajuste en la seleccion de modelo -> sesgo de seleccion en la evaluacion) y FPP3 §5.8 200 (sha256 dc2216dc…, el error de ajuste no mide el error de pronostico; se evalua en datos no usados). Benjamini-Hochberg: doi redirige a academic.oup.com 403. NO OBTENIDO POR ESTE AGENTE EN 1 INTENTO	HUMANO	nota §3.3 receta H4	HUMANO
NC-0284	grep CALC-ENCRIGE-CORRUPCION-DESCRIPTIVA-0001 corridas.tsv y replay-evidencia.tsv	en la vista SELLADA, REPRODUCE/IDENTICO, asiento VERIFY-AISLADO GEN2-PISOS-REJILLA-CLI-1	RESUELTO-ANTES	#866 (160868e2) fila; #871 (89ceaeef) asiento	NINGUNA-YA-OCURRIO
NC-0307	lectura de la fila	exige pre-registrar una regla de extraccion de intervalos antes de mirar capturas; no depende de caja	VIGENTE-CAJA	forense/no-corrido.tsv#NC-0307	PRE-REGISTRO
NC-0301	unzip -p envipe2025_csv.zip tsdem_envipe2025/catalogos/edad.csv; enif2024_csv.zip edad_v.csv y tsdem edad.csv; pdftotext encig25_estructura_base_datos.pdf (pregunta 2.5 EDAD)	los tres: 97 = «97 (años) o más» (edad REAL, tope), 98/99 = no especificada. La premisa de MAESTRA35-L1 §1.3 (97 = no especificada) es falsa: 60+ opera como 60–96 y deja fuera poblacion viva de 97+. Veredicto EQUIVALENTE -> a mesa	RESUELTO	nota §2.2; FP-260922-GEN2-PENDIENTES-CAJA-1-c09b-01	CAJA
NC-0316	corridas.tsv + replay-evidencia.tsv CALC-WBES2023-CORRUPCION-DESCRIPTIVA-0001	registro hecho (SELLADA, REPRODUCE, asiento #866); queda la decision de integrar la lectura en TRA	DE-MESA	#866	MESA
NC-0320	corridas.tsv + replay-evidencia.tsv CALC-ENCRIGE-CARGA-INTENSIDAD-0001	registro hecho (REPRODUCE, asiento #866); quedan las tres decisiones de mesa	DE-MESA	#866	MESA
NC-0321	corridas.tsv + replay-evidencia.tsv CALC-WBES2023-PRECISION-0001	registro hecho (REPRODUCE, asiento #866); quedan adopcion y escenarios de IC	DE-MESA	#866	MESA
NC-0322	corridas.tsv + replay-evidencia.tsv CALC-ENVIPE-U4-2013-0001 y -2015-0001	registro hecho (REPRODUCE, asientos #866); NC-0159 sigue como bloqueador de inferencia	DE-MESA	#866	MESA
NC-0326	corridas.tsv + replay-evidencia.tsv CALC-ENIGH2022-INTENSIDAD-REMESAS-0001	registro hecho (REPRODUCE, asiento #866); queda la decision de integracion	DE-MESA	#866	MESA
NC-0341	grep -c marcador: data/corrida0/usos.tsv (columna consumidor)	20 filas marcador:CRUCE::... materializadas; la NC contaba ^marcador: (primera columna), que nunca es donde viven	RESUELTO-ANTES	#876 (d588034e)	NINGUNA-YA-OCURRIO
NC-0375	awk NC-0374 y FP 308c-01 en firmas-pendientes.tsv	depende de que mesa abra un nucleo comun 2019/2024 como estimando nuevo; FP-260921-GEN2-ENUT-PISOS-Y-SERIE-1-308c-01 ABIERTA	DE-MESA	FP-260921-GEN2-ENUT-PISOS-Y-SERIE-1-308c-01	MESA
NC-0376	ls data/corrida0/CALC-PISOS-ENIF2021-FORMALIDAD-0001; grep P3_10 spec.yaml	CALC sellado con P3_10, SELLADA, REPRODUCE/IDENTICO	RESUELTO-ANTES	#915 (4a0ec38f)	NINGUNA-YA-OCURRIO
NC-0364	lectura de la fila	pide encargos de caja desde P5-demanda-agrupada.tsv: es trabajo de direccion, no verificacion	VIGENTE-CAJA	forense/analisis/relevo-tanda-1/P5-demanda-agrupada.tsv	DIRECCION
NC-0365	grep CORR-0076 data/corrida0/corridas.tsv	CORR-0076 sigue DEMANDA PENDIENTE sin spec; pide un encargo de medicion	VIGENTE-CAJA	data/corrida0/corridas.tsv#CORR-0076	MEDICION-NUEVA
NC-0373	gh pr view 895 --json commits (9 commits, orden de committedDate); git show --name-only por commit	las 9 filas de decisiones.tsv entran por primera vez en 694e0a07, el mismo commit que P1-P4; ningun commit anterior aplica firma. El orden dentro de un commit no es observable por git log (se declara)	RESUELTO	PR #895	NINGUNA
NC-0424	git log origin/main | grep RELEVO-TANDA-3; git grep FUNCION-INDETERMINADA forense/	TANDA-3 corrio (#942) sin cuantificar la cuarta causa; reproducirla exige un pin en milpa/tramite.yaml (acto de relevo), no caja	VIGENTE-CAJA	#942	ACTO-DE-RELEVO
