id_celda	encuesta	ola	estado_P1	calc_R_GEN2	R_legado	payload_id	sha256_payload	lote_previsto	habilitador_si_bloqueado
CIV-M-01	ENVIPE	2012	R-YA-SELLADO	CALC-R-CIV-M-01	SI	envipe_2012_base_de_datos_envipe_2012_dbf	d7caa74ea4264d59fecfc1d1959824051adfe43613514e2e5ca22f24f31548f5	CONTROL-POSITIVO-DBF	NO-APLICA
CIV-M-02	ENVIPE	2013	R-YA-SELLADO	CALC-R-CIV-M-02	SI	envipe_2013_bd_envipe13_dbf	b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890	CONTROL-POSITIVO-DBF	NO-APLICA
CIV-M-04	ENVIPE	2015	R-YA-SELLADO	CALC-R-CIV-M-04	SI	envipe_2015_bd_envipe2015_dbf	6c2fcb165a179b0ca5e7d956a3673b375d26309be5a4748eabc31545add66a8d	CONTROL-POSITIVO-DBF	NO-APLICA
CIV-M-10	ENVIPE	2021	R-YA-SELLADO	CALC-R-CIV-M-10	SI	envipe2021_csv	88153c67ff3666be511dab3f3b483226a0af9f0e8683bd8dbfba8d616ddbfdd1	CONTROL-POSITIVO-CSV	NO-APLICA
CIV-M-12	ENVIPE	2023	R-YA-SELLADO	CALC-R-CIV-M-12	SI	envipe2023_csv	0dcc00a7fc37b79806f1bf1b85b12cd090b5ecc8e76983a3a1a861f2ef3fb404	CONTROL-POSITIVO-CSV	NO-APLICA
CIV-M-13	ENVIPE	2024	R-YA-SELLADO	CALC-R-CIV-M-13	SI	envipe2024_csv	90776b2fab6e3666dad1cb5f5f3eb7d6a7699dbfefd4f8f04f07fb01e61a6fb2	CONTROL-POSITIVO-CSV	NO-APLICA
DIN-M-01	ENNViH/MxFLS	2002 (ola 1)	R-LISTO-PARA-CORRER	PENDIENTE	SI	ennvih1_2002_hogar_dta	8b9b51904ca8790421d82a8a81f7f4edbce9a296cba2ce86fef74f8f379b5923	CALC-R-MARCO-ENNVIH-0001	NO-APLICA
FAM-M-01	ENIF	2018	R-LISTO-PARA-CORRER	PENDIENTE	SI	enif2018_csv	51f33ec74ccd596dc74b695587310d02e651923467255520aadc4d9fe13461d5	CALC-R-MARCO-ENIF-0001	NO-APLICA
FAM-M-05	ENIGH	2016	R-LISTO-PARA-CORRER	PENDIENTE	SI	enigh2016_nc_csv	95e30780dfff83305fd1293945a0a5ed04c4e4daed4b0d45b66343db09e8eca1	CALC-R-MARCO-ENIGH-0001	NO-APLICA
FAM-M-06	ENIGH	2018	R-LISTO-PARA-CORRER	PENDIENTE	SI	enigh2018_nc_csv	5026cd951c109ac01c466aa22066beb7c6cbdcf7ecfc213967bd961d1243d636	CALC-R-MARCO-ENIGH-0001	NO-APLICA
FAM-M-07	ENIGH	2020	R-LISTO-PARA-CORRER	PENDIENTE	SI	enigh2020_nc_csv	47417cac13da7dce3a710d86c5767564101086a51666ec674acf27740e0701d4	CALC-R-MARCO-ENIGH-0001	NO-APLICA
TRA-M-02	ENCUCI	2020	R-LISTO-PARA-CORRER	PENDIENTE	SI	encuci2020_bd_dbf	0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283	CALC-R-MARCO-ENCUCI-0001	NO-APLICA
TRA-M-03	ENCIG	2013	R-LISTO-PARA-CORRER	PENDIENTE	SI	encig_2013_encig13_base_datos_dbf	48d29d560d3836309af61c4a82d46d8338d58ecb9d14d04ffc947c1e087caf1a	CALC-R-MARCO-ENCIG-DBF-0001	NO-APLICA
TRA-M-07	ENCIG	2021	R-LISTO-PARA-CORRER	PENDIENTE	SI	encig2021_csv	c92ea34c7c57237c49ca3d8d99382e340b5939c371ce820332876f7c4c62c56a	CALC-R-MARCO-ENCIG-CSV-0001	NO-APLICA
