# DERIVADO por forense/analisis/relevo-reconcilia-1/reconcilia_relevo.py — NO EDITAR
resultado_id	consumidor	clase_consumidor	tipo_uso	estado_reconciliacion	clase_de_relevo	como_se_caso	calc_gen2	result_gen2	valor_gen2	valor_legacy	delta_gen2_menos_legacy	veredicto_vista_hoy	razon_vista_hoy	causa_ceguera	pins_res_en_spec	corrida_natural	receta_demanda	entorno_demanda	nota
RES-0001	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida	motor	conducta_p_asignado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1;CALC-ENCUCI-0001			0.62		SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0005,RES-0006,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022,RES-0061,RES-0062	CORR-0001	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0002	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal	motor	conducta_p_asignado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1;CALC-ENCUCI-0001			0.38		SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0005,RES-0006,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022,RES-0061,RES-0062	CORR-0001	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0004	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	motor	conducta_p_medido	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1;CALC-ENCUCI-0001			0.914882		NO-ADOPTABLE-POR-VEREDICTO-SELLADO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO	NO-ES-CEGUERA-VEREDICTO-SELLADO-OBEDECIDO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0005,RES-0006,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022,RES-0061,RES-0062	CORR-0002	PARCIAL:script+spec+spec_sha	CAJA	
RES-0006	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	motor	conducta_p_derivado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1;CALC-ENCUCI-0001			0.873994		VETADO-POR-DECISION	CALC-ENCUCI-0001: DESTINO-SIN-CITA:SIN CITA (D1, NC-0108, complemento derivado)	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0005,RES-0006,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022,RES-0061,RES-0062	CORR-0003	PARCIAL:script+spec+spec_sha	CAJA	
RES-0007	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal	motor	conducta_p_asignado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1			0.88		SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0001	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0008	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida	motor	conducta_p_asignado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1			0.12		SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0001	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0009	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial	motor	conducta_p_medido	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1			0.116		NO-ADOPTABLE-POR-VEREDICTO-SELLADO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0009 = NO-ADOPTABLE-POR-GRANO:-0.000032000	NO-ES-CEGUERA-VEREDICTO-SELLADO-OBEDECIDO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0002	PARCIAL:script+spec+spec_sha	CAJA	
RES-0010	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial	motor	conducta_p_derivado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1			0.884		NO-ADOPTABLE-POR-VEREDICTO-SELLADO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO	NO-ES-CEGUERA-VEREDICTO-SELLADO-OBEDECIDO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0002	PARCIAL:script+spec+spec_sha	CAJA	
RES-0011	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital	motor	conducta_p_medido	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1			0.027358		NO-ADOPTABLE-POR-VEREDICTO-SELLADO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0011 = NO-ADOPTABLE-POR-GRANO:-0.000002000	NO-ES-CEGUERA-VEREDICTO-SELLADO-OBEDECIDO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0002	PARCIAL:script+spec+spec_sha	CAJA	
RES-0012	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital	motor	conducta_p_derivado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1			0.972642		NO-ADOPTABLE-POR-VEREDICTO-SELLADO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO	NO-ES-CEGUERA-VEREDICTO-SELLADO-OBEDECIDO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0002	PARCIAL:script+spec+spec_sha	CAJA	
