"id"	"origen"	"linea"	"linea_fin"	"mapa_id"	"afirmacion"	"tipo"	"dictamen"	"razon_sin_cifra"	"argumento"	"evidencia"	"estado_adopcion"	"vigencia"	"cambio_editorial"
"REL-M001"	"mapa"	"9"	"9"	"ASTRA5-U0-RELIG-001"	"El catolicismo paso de 82.7% (2010) a 77.7% (2020, INEGI)."	"CIFRA-PUBLICADA"	"CONFIRMA"	""	"El cuadro primario INEGI publica ambos puntos con universo población total; confirma descenso descriptivo, no crisis causal institucional ni descreimiento."	"REL-S10;REL-E1;REL-E2"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M002"	"mapa"	"9"	"9"	"ASTRA5-U0-RELIG-002"	"El estudio del Pew Research Center 'Catholicism Has Declined in Latin America Over the Past Decade' (21 de enero de 2026) situa a los catolicos adultos mexicanos en 67%, mientras la creencia en Dios permanece en 'alrededor de nueve de cada diez o mas adultos'."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"restricción del proyecto"	"La nota de cierre atribuye Pew 2026 a ola reservada 2025; el mapa atribuye campo 2024. No resolver leyendo tabulado. Se excluye su cifra hasta dictamen documental autorizado."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M003"	"mapa"	"97"	"97"	"ASTRA5-U0-RELIG-003"	"Pew 2026 documenta que 15% de todos los adultos mexicanos fueron criados catolicos y hoy son 'sin religion', frente a apenas 4% que pasaron de catolicos a protestantes."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"restricción del proyecto"	"Switching depende del mismo informe potencialmente reservado; ninguna prevalencia de afiliación identifica flujos individuales."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M004"	"mapa"	"11"	"11"	"ASTRA5-U0-RELIG-004"	"Segun ENCREER/RIFREM (2016), solo ~47.8% de los catolicos asisten semanalmente y apenas 6.5% diariamente."	"CIFRA-PUBLICADA"	"MATIZA"	""	"La asistencia mensual GEN2 es de todos los adultos válidos, no de católicos semanales. ENCREER requiere verificación del gráfico; no respalda llamar baja a toda práctica."	"GEN2-01;GEN2-04;REL-S6"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M005"	"mapa"	"13"	"13"	"ASTRA5-U0-RELIG-005"	"El 53.5% de los evangelicos asisten a servicios diariamente frente al 6.5% de los catolicos (ENCREER)."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"No se cotejó la tabla ENCREER con la categoría diariamente; no trasladar oración diaria a asistencia diaria ni intensidad a eficacia comunitaria."	"REL-S6"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M006"	"mapa"	"15"	"15"	"ASTRA5-U0-RELIG-006"	"Chiapas es el estado menos catolico (53.9%) y con mas protestantes (32.4%); Zacatecas (92.3%), Guanajuato (90.8%), Michoacan (89.3%) y Jalisco (89.2%) siguen ultracatolicos."	"CIFRA-PUBLICADA"	"MATIZA"	""	"La presentación censal Chiapas confirma 53.9 católico y 32.4 protestante/cristiano evangélico. No se cotejaron aquí cifras de todo el Bajío ni superioridad política; dato regional existe, falta RESULT propio."	"REL-S11;REL-E5;REL-E6"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M007"	"mapa"	"17"	"17"	"ASTRA5-U0-RELIG-007"	"Los 'sin religion' casi se duplicaron a 8.1% (10.2 millones); siete entidades (Edomex, CDMX, BC, Chiapas, Veracruz, NL y Chihuahua) reunen el 51.2% de esta poblacion."	"CIFRA-PUBLICADA"	"MATIZA"	""	"El cuadro INEGI confirma aumento sin religión 4.7 a 8.1 en población total. Latinobarómetro confirma gradiente adulto etario; concentración absoluta de siete entidades no prueba tasa urbana ni crecimiento de creencia."	"GEN2-02;REL-S10;REL-E3;REL-E4"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M008"	"mapa"	"17"	"17"	"ASTRA5-U0-RELIG-008"	"El propio censo creo la categoria 'creyente sin adscripcion religiosa' (3.1 millones), inexistente en 2010."	"CIFRA-PUBLICADA"	"MATIZA"	""	"El cuadro Chiapas mantiene separado sin adscripción religiosa creyente y sin religión. Confirma distinción de categorías, no total nacional de 3.1 millones ni inexistencia de toda categoría previa."	"REL-S11"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M009"	"mapa"	"19"	"19"	"ASTRA5-U0-RELIG-009"	"El auge evangelico responde tanto a incentivos racionales (disciplina, redes, sobriedad, movilidad) como a busqueda de sentido; la teologia de la prosperidad ofrece un marco de esperanza material."	"INTERPRETACION-DEL-REPORT"	"SIN-CIFRA"	"instrumento"	"Pluralidad de incentivos es mecanismo rival, no causa identificada de conversión. Un panel antes/después separaría selección de cambio."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M010"	"mapa"	"77"	"77"	"ASTRA5-U0-RELIG-010"	"La experiencia migratoria Mexico-EE.UU. es catalizador de conversion: en estudios sobre mixtecos en Baja California y Santa Barbara, 'la mayoria de los integrantes de estas congregaciones cambio de religion despues de emigrar'."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"adquisición"	"Estudio de congregaciones mixtecas no recuperado completo; temporalidad posterior a emigrar no identifica efecto migratorio ni representa a todos los migrantes."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M011"	"mapa"	"71"	"71"	"ASTRA5-U0-RELIG-011"	"En Los Altos de Chiapas, la primera ruptura fue religiosa y enseguida la economica; las expulsiones de tsotsiles y tseltales (cerca de 30,000 personas) combinan conflicto religioso, politico y economico."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"adquisición"	"Expulsiones requieren registro con ventana y unidad; tampoco prueba secuencia causal religiosa-económica para toda comunidad."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M012"	"mapa"	"21"	"21"	"ASTRA5-U0-RELIG-012"	"La Basilica de Guadalupe recibio alrededor de 13 millones de personas entre el 5 y el 12 de diciembre de 2025 (cifra oficial de la Secretaria de Gobierno de la CDMX, Operativo Basilica 2025), que supero los ~12 millones de 2024."	"CIFRA-PUBLICADA"	"MATIZA"	""	"Comunicado primario reciente confirma afluencia masiva, no fieles únicos. No se confirmó el cierre de temporada ni ranking mundial y no usar flujo como porcentaje de población."	"REL-S5"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M013"	"mapa"	"21"	"21"	"ASTRA5-U0-RELIG-013"	"San Judas Tadeo, con afluencias de ~120 mil personas el 28 de octubre de 2024 y expectativas de hasta 200 mil en 2025 en el Templo de San Hipolito, CDMX."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"Una expectativa de operativo no es asistencia observada; cifras San Hipólito no cotejadas en fuente primaria."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M014"	"mapa"	"21"	"21"	"ASTRA5-U0-RELIG-014"	"Andrew Chesnut (VCU), autor de 'Devoted to Death', estima 'unos 12 millones de seguidores [de la Santa Muerte], con 70% en Mexico, 15% en EE.UU. y 10% en Centroamerica', y la califica como el movimiento religioso nuevo de mas rapido crecimiento en Occidente."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"instrumento"	"Estimación experta sin marco muestral comparable no acredita total, composición ni ranking de crecimiento occidental; se retiran números."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M015"	"mapa"	"35"	"35"	"ASTRA5-U0-RELIG-015"	"La Santa Muerte NO es 'solo del narco'; sus devotos son mayoritariamente pobres urbanos, mujeres y trabajadores precarios. Criminalizar la devocion es un error analitico y etico."	"RECOMENDACION"	"MATIZA"	""	"No estigmatizar es criterio de trato; el cuantificador mayoritariamente necesita muestra representativa. Diversidad de devotos no prueba su composición nacional."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M016"	"mapa"	"25"	"25"	"ASTRA5-U0-RELIG-016"	"Lo que se etiqueta como 'fatalismo mexicano' se explica en parte sustancial -posiblemente mayoritaria- por barreras estructurales y baja confianza institucional, no por un rasgo religioso intrinseco."	"HIPOTESIS"	"MATIZA"	""	"Religión y fatalismo son constructos distintos; no hay descomposición que permita atribuir fracción sustancial o mayoritaria a estructura. Se conserva rival estructural como hipótesis."	"REL-S1;REL-S8"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M017"	"mapa"	"147"	"147"	"ASTRA5-U0-RELIG-017"	"Pew (2014): ~40% de los mexicanos atribuyen el exito a fuerzas fuera de su control, con un claro gradiente educativo (menos escolaridad -> menor percepcion de control)."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"Informe Pew 2014 no está medido en corpus y porcentaje/control individual no cotejados; tampoco equivalen a fatalismo religioso."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M018"	"mapa"	"147"	"147"	"ASTRA5-U0-RELIG-018"	"Abraido-Lanza et al. (2007, Ethnicity & Disease) advierten formalmente contra confundir el 'fatalismo' con las barreras estructurales (baja educacion, pobreza, mal acceso a la salud) que enfrentan los latinos; un estudio previo comparando reclusas anglo e hispanoamericanas no hallo diferencias etnicas, y el nivel socioeconomico predijo mejor el afrontamiento activo que la cultura."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"adquisición"	"Literatura latina de crítica debe transportarse como (b); muestra reclusas y barreras de salud no identifica explicación nacional mexicana."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M019"	"mapa"	"149"	"149"	"ASTRA5-U0-RELIG-019"	"La revision de Espinosa de los Monteros & Gallo (2011) es mixta: 64% de los estudios hallan un efecto del fatalismo aun controlando la estructura."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"adquisición"	"Proporción de estudios positivos sin revisión recuperada no es tamaño de efecto y puede reflejar publicación o medición desigual; se retira cifra."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
