"id"	"origen"	"linea"	"linea_fin"	"mapa_id"	"afirmacion"	"tipo"	"dictamen"	"razon_sin_cifra"	"argumento"	"evidencia"	"estado_adopcion"	"vigencia"	"cambio_editorial"	"dictamen_mapa"	"localizador_mapa"	"siguiente_operacion"	"mapa_vinculos"
"ASTRA5-U0-CAPSOC-001"	"mapa"	"14"	"14"	"ASTRA5-U0-CAPSOC-001"	"Entre quienes ahorran informalmente, una fracción participa en tandas; el report cita 32.7% CONDUSEF y 22% ENSAFI 2023, con bases/fuentes por reconciliar."	"cifra publicada y mecanismo interpretativo"	"SIN-CIFRA"	"falta de ejecución"	"Tandas no equivalen a cooperación cívica general: ENSAFI y CONDUSEF usan bases diferentes; no hay resultado identificado aquí para reconciliarlas. Retirar ambas tasas de la tesis y conservar hipótesis acotada."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L14, hallazgo 3; L47 y L96"	"Preregistrar estimandos adulto e informal con P6_1_5, FAC_ELE, UPM_DIS, EST_DIS; cotejar RESULT compatible o medir en CAJA autorizada. Localizar tabulado CONDUSEF 32.7% y fuente de 41% con filtros exactos."	""
"ASTRA5-U0-CAPSOC-002"	"mapa"	"12"	"12"	"ASTRA5-U0-CAPSOC-002"	"El report atribuye a ENCUCI 2020 32.1% de confianza alta en «la mayoría de las personas»."	"cifra publicada y comparación de referentes"	"SIN-CIFRA"	"no comparabilidad"	"La escala ENCUCI de confianza alta no es el ítem binario Pew. La atribución mezcla reactivos; el antecedente C-06b del mapa apunta a otros valores, pero no se presenta como RESULT GEN2 ni se teclea una sustitución."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L12, hallazgo 2; L32"	"Corregir report/proyección a referente vecinos para 32.1%; conservar mayoría 21.9% solo con umbral ≥8 y CITAR C-06b. Localizar Pew 2025 por separado."	""
"ASTRA5-U0-CAPSOC-003"	"mapa"	"12"	"12"	"ASTRA5-U0-CAPSOC-003"	"ENCUCI 2020: 62.1% confía en personas conocidas (grado 8-10), en contraste con confianza generalizada."	"cifra publicada y comparación de referentes"	"SIN-CIFRA"	"no comparabilidad"	"El contraste conocidos/generalizada es plausible en el mapa, pero sin RESULT GEN2 seleccionado ENCUCI se conserva como antecedente; no se deduce radio individual de confianza de dos marginales."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L12, hallazgo 2; L32"	"Conservar 62.1% solo como confianza alta ≥8/10 ENCUCI 2020 en conocidos; para Pew 2025 y WVS 2018 crear cotejos separados."	""
"ASTRA5-U0-CAPSOC-004"	"mapa"	"10"	"10"	"ASTRA5-U0-CAPSOC-004"	"ENCUCI 2020 muestra asociacionismo formal bajo: menos de una de cuatro personas pertenece a alguna organización; 23% padres, 19% deportiva/religiosa, 16% estudiantil, 11% cultural/vecinal."	"cifra publicada de participación cívica"	"MATIZA"	""	"La tasa de cada organización no es la unión de pertenencias. LAPOP mide asistencia mensual y supera el límite general del v1 en organizaciones religiosas y padres: apoya heterogeneidad institucional, no una corrección numérica de ENCUCI."	"CAP-C01;CAP-C02;CAP-C03"	"RESULT adoptados por FP ac7b-04; regla editorial PROPUESTO-POR-EJECUTOR"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L10, hallazgo 1; L53,L57"	"Medir unión y tipos AP6_2_1..13 con FAC_SEL/diseño en CAJA autorizada; cotejar 23/19/16/11 y no llamar a la unión membresía actual."	""
"ASTRA5-U0-CAPSOC-005"	"mapa"	"10"	"10"	"ASTRA5-U0-CAPSOC-005"	"ENCUCI 2020: 27.4% ha firmado una petición para resolver asuntos comunitarios."	"cifra publicada de participación cívica"	"SIN-CIFRA"	"falta de ejecución"	"Firmar una petición es conducta cívica distinta de membresía. Su denominador ENCUCI requiere cotejo; las tasas de otras encuestas no sustituyen esa frecuencia ni construyen una tendencia."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L10, hallazgo 1; L53,L57"	"Cotejar 27.4% con AP7_3_2 ponderado, excluir 9/blanco y usar diseño; separar petición de trabajo colectivo."	""
"ASTRA5-U0-CAPSOC-006"	"mapa"	"10"	"10"	"ASTRA5-U0-CAPSOC-006"	"ENCUCI 2020: 22.1% ha trabajado con otras personas para resolver problemas de su comunidad."	"cifra publicada de participación cívica"	"MATIZA"	""	"Trabajar con otras personas no prueba que no sean familiares ni la intensidad de cooperación. LAPOP cp5 documenta contribución en el último año en olas históricas, con otro universo."	"CAP-C04"	"RESULT adoptados por FP ac7b-04; regla editorial PROPUESTO-POR-EJECUTOR"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L10, hallazgo 1; L53,L57"	"Cotejar 22.1% con AP7_3_3 ponderado/diseño en CAJA y preservar universo persona 15+."	""
"ASTRA5-U0-CAPSOC-007"	"mapa"	"10"	"10"	"ASTRA5-U0-CAPSOC-007"	"Estudios comparados situan a Mexico por encima de la media latinoamericana en asociacionismo formal pero por debajo en asociacionismo informal medido por encuesta -un hallazgo que conviene tomar con cautela."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"no comparabilidad"	"No hay comparación armonizada seleccionada. Que una encuesta omita una práctica no permite concluir que la subestima ni ordenar países por capital social total."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-CON-ADQUISICIÓN"	"L10"	"NO-ACCESIBLE-DESDE-SANDBOX (existencia no comprobada; no equivale a «no existe», A.4) → GEN2-ASTRA5-U5-ADQUISICION-1, con la receta forense/analisis/dominios/receta-acceso-fuentes-2026-09-24.md. faltante: identificar el topical brief/estudio comparado LatAm citado implícitamente (AmericasBarometer? Latinobarómetro Informe 2023?) con URL y tabla; repetir con WebSearch cuando el presupuesto se restablezca."	""
"ASTRA5-U0-CAPSOC-008"	"mapa"	"12"	"12"	"ASTRA5-U0-CAPSOC-008"	"Pew Research Center (publicado 1/dic/2025; encuesta presencial a 28,333 adultos entre 8/ene y 26/abr 2025): solo 18% de adultos mexicanos dice que se puede confiar en la mayoria de las personas -segundo nivel mas bajo de 25 paises tras Turquia (14%), por debajo de Kenia (20%) y Brasil (22%)."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"restricción del proyecto"	"PEW 2025 queda fuera por reserva del proyecto: el texto v1 y el mapa son antecedentes, no autorización para abrir su publicación ni validar su ranking. No publicar esa frecuencia en v2."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L12"	"Verificar N=28,333 y fechas 8/ene-26/abr en el shortread HTML (pew_gas2025_social_trust_shortread) fuera del cache de u0pdf; registrar RESULT si se adopta."	""
"ASTRA5-U0-CAPSOC-009"	"mapa"	"14"	"14"	"ASTRA5-U0-CAPSOC-009"	"Segun la CONDUSEF, entre quienes ahorran de manera informal, las tandas son el segundo mecanismo mas usado tras 'guardar en casa', con 32.7% de participacion."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición pendiente"	"CONDUSEF requiere fuente primaria identificable y denominador. El ranking segundo mecanismo y su tasa se suspenden, sin inferir inexistencia de tandas."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-CON-ADQUISICIÓN"	"L14,L47,L96"	"faltante: registrar en manifiesto el documento CONDUSEF/gob.mx AHORRO-2018.pdf (o edicion que de 32.7% exacto) con sha256; cotejo de cifra 32.7 vs 32.5 como residual."	""
"ASTRA5-U0-CAPSOC-010"	"mapa"	"14"	"14"	"ASTRA5-U0-CAPSOC-010"	"El estudio etnografico clasico de Velez-Ibañez documento en 130 ROSCAs (1,300 miembros) una tasa de incumplimiento minima (~0.005% de los fondos), sostenida por redes densas y confianza."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"no comparabilidad"	"La etnografía mencionada requiere ubicación, periodo y definición de incumplimiento. La literatura de diáspora no mide a residentes de México; no se transporta una tasa de pérdida casi nula."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-CON-ADQUISICIÓN"	"L14"	"faltante: Velez-Ibañez, C.G. (1983) Bonds of Mutual Trust / (1993) cap. citado por Campos 1998 p.13,16 -localizar y cotejar 130 ROSCAs/1300 miembros/0.005%; declarar explicitamente procedencia mixta Mexico/EE.UU. en el hallazgo, no solo en caveats."	""
