"id"	"origen"	"report"	"report_sha256"	"linea"	"linea_fin"	"mapa_id"	"afirmacion"	"tipo"	"dictamen"	"razon_sin_cifra"	"argumento"	"evidencia"	"estado_adopcion"	"vigencia"	"cambio_editorial"	"dictamen_mapa_previo"
"CONF-V1-L003-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"3"	"3"	""	"**La confianza en México no está rota: está redistribuida.** México presenta uno de los patrones de confianza más complejos del mundo contemporáneo: una sociedad donde **el 87.4% confía profundamente en su familia** pero solo el 22% cree que ""se puede confiar en la mayoría de las personas""; donde la calidez interpersonal coexiste con una desconfianza institucional profunda; donde el 52% dice confiar en el gobierno federal mientras el índice de percepción de corrupción marca su peor nivel histórico (26/100)."	"generalización o marco conceptual"	"MATIZA"	""	"El gradiente relacional existe en WVS, pero concentración no demuestra transferencia de un stock de confianza ni adaptación óptima; se retira el cierre que descarta todo déficit."	"[""CONF-C35"", ""CONF-C42"", ""CONF-OECD25""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L003-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"3"	"3"	""	"Este informe demuestra que la desconfianza mexicana no es un déficit cultural sino un sistema adaptativo sofisticado, moldeado por décadas de corrupción sistémica, violencia, desigualdad extrema y 71 años de partido único, que redirige la confianza desde las instituciones formales hacia redes personales densas y funcionales."	"generalización o marco conceptual"	"MATIZA"	""	"El gradiente relacional existe en WVS, pero concentración no demuestra transferencia de un stock de confianza ni adaptación óptima; se retira el cierre que descarta todo déficit."	"[""CONF-C35"", ""CONF-C42"", ""CONF-OECD25""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L003-S03"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"3"	"3"	""	"Comprender este sistema es indispensable para cualquier actor —empresarial, político o social— que opere en el país."	"generalización o marco conceptual"	"MATIZA"	""	"El gradiente relacional existe en WVS, pero concentración no demuestra transferencia de un stock de confianza ni adaptación óptima; se retira el cierre que descarta todo déficit."	"[""CONF-C35"", ""CONF-C42"", ""CONF-OECD25""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L009-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"9"	"9"	""	"1. **La confianza interpersonal generalizada en México es del ~22%** (WVS 2018), muy por debajo del promedio OCDE (~40%), pero significativamente superior a Colombia (5%), Brasil (7%) y Perú (5%)."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"ROMPE"	""	"Q57 ponderada 18+ WVS2018 da 10.5%, incompatible con la atribución 22%; Latinobarómetro2023 es otro periodo y diseño. Serie histórica y comparadores no se reconstruyen con una sola ola."	"[""CONF-C42"", ""CONF-C29""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L009-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"9"	"9"	""	"Ha caído desde 33% en 1990 hasta un mínimo de 16% en 2005, con recuperación parcial."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"adquisición pendiente"	"Serie histórica y convergencia de fuentes requieren olas, fichas y tabulados independientes; no se derivan ni se refutan por corregir WVS2018."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L011-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"11"	"11"	""	"2. **La familia es la única institución con diferencial de confianza positivo** (+52 puntos netos en 2026)."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"adquisición pendiente"	"Saldo mucha menos ninguna no es porcentaje mucha/algo. Falta ficha completa Research Land2026 y comparadores; no prueba familia como única institución positiva."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L011-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"11"	"11"	""	"Ninguna otra institución —ni el ejército, ni la iglesia, ni las empresas— alcanza un saldo positivo entre confianza alta y nula."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"adquisición pendiente"	"Saldo mucha menos ninguna no es porcentaje mucha/algo. Falta ficha completa Research Land2026 y comparadores; no prueba familia como única institución positiva."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L013-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"13"	"13"	""	"3. **Existe una jerarquía institucional de confianza notablemente estable**: familia (87%) > escuelas públicas (77%) > universidades (76%) > ejército/marina (71-89%) > iglesia (65%) > medios (50%) > gobierno federal (50-54%) > jueces (39%) > policía (37%) > partidos políticos (29%)."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"MATIZA"	""	"WVS/LB sostienen posiciones relativas de iglesias/FFAA frente a partidos, pero no orden universal, estabilidad temporal ni escala homogénea; OCDE usa otro corte y contradice policía siempre baja. ENCIG es urbana y sus valores no son nacionales rurales."	"[""CONF-C21"", ""CONF-C25"", ""CONF-C33"", ""CONF-C38"", ""CONF-OECD24""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L015-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"15"	"15"	""	"4. **La desconfianza y la confianza operan como dimensiones independientes**, no como polos opuestos."	"generalización o marco conceptual"	"SIN-CIFRA"	"instrumento inadecuado"	"Distinguir objetos de confianza es necesario; un análisis factorial externo no prueba independencia psicológica en toda población mexicana ni que la mayoría adopte prudencia óptima."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L015-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"15"	"15"	""	"Un mexicano puede simultáneamente confiar profundamente en su red personal y desconfiar radicalmente de las instituciones sin contradicción psicológica."	"generalización o marco conceptual"	"SIN-CIFRA"	"instrumento inadecuado"	"Distinguir objetos de confianza es necesario; un análisis factorial externo no prueba independencia psicológica en toda población mexicana ni que la mayoría adopte prudencia óptima."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
