dimension,categoria,n,masa,libre,directo,sin_clasificar,ee_libre,ic95_libre,ee_directo,ic95_directo,ee_sin_clasificar,ic95_sin_clasificar
total,total,18689,45443693.0,0.4809714298527631,0.518945786382282,8.278376495501807e-05,0.005794259754812718,"[0.46948293098611854, 0.4923835296156313]",0.00579352246228956,"[0.5075341018963375, 0.5304052076930954]",5.741758869365704e-05,"[0.0, 0.00021825219017395763]"
sexo,hombre,8023,19706018.0,0.48756136323431754,0.5123701297745694,6.850699111307013e-05,0.008109345932602147,"[0.47144193086934444, 0.5030358615417267]",0.008107133087954313,"[0.49690714895265153, 0.5284212540353118]",5.948331253020655e-05,"[0.0, 0.00020650051896933623]"
sexo,mujer,10666,25737675.0,0.47592585577368585,0.5239804294676966,9.37147586174742e-05,0.007416708354724778,"[0.4610266694292605, 0.4902077711746455]",0.0074166066634348635,"[0.5097820127047968, 0.5388760158691527]",9.011871296239125e-05,"[0.0, 0.00028538481153965966]"
sexo,desconocido,0,0.0,,,,,,,,,
cohorte,<=1970,4001,10163984.0,0.30465720922032147,0.6953427907796785,0.0,0.010525772949229918,"[0.28465365644905216, 0.32560639556151705]",0.01052577294922992,"[0.674393604438483, 0.7153463435509478]",0.0,"[0.0, 0.0]"
cohorte,1971-1980,6274,15089988.0,0.3901660491711458,0.6098339508288542,0.0,0.008966175098682198,"[0.37222068129476854, 0.40754658126291243]",0.008966175098682198,"[0.5924534187370876, 0.6277793187052314]",0.0,"[0.0, 0.0]"
cohorte,1981-1990,5905,13617497.0,0.5722901205706159,0.42743361720586387,0.0002762622235202255,0.008840313410813224,"[0.5553644671976162, 0.5890726205672445]",0.008830637626135174,"[0.4107300965385008, 0.4442297647291196]",0.00019193022741030208,"[0.0, 0.0007326555270605798]"
cohorte,1991+,2509,6572224.0,0.7729235948135669,0.22707640518643307,0.0,0.011241874959210692,"[0.7509952402420002, 0.7957686790303803]",0.011241874959210692,"[0.2042313209696197, 0.2490047597579998]",0.0,"[0.0, 0.0]"
cohorte,desconocida,0,0.0,,,,,,,,,
sexo_x_cohorte,hombre|<=1970,1731,4567221.0,0.3139425484337193,0.6860574515662807,0.0,0.01660908070934542,"[0.2813129262514273, 0.34583447878657647]",0.01660908070934542,"[0.6541655212134235, 0.7186870737485727]",0.0,"[0.0, 0.0]"
sexo_x_cohorte,hombre|1971-1980,2810,6874331.0,0.3999522280786305,0.6000477719213695,0.0,0.013331512124629075,"[0.3742467482383744, 0.42671438485325164]",0.013331512124629073,"[0.5732856151467484, 0.6257532517616256]",0.0,"[0.0, 0.0]"
sexo_x_cohorte,hombre|1981-1990,2484,5771174.0,0.5846583381474896,0.41510774064341155,0.00023392120909887659,0.013202211803441452,"[0.5575222951616782, 0.6095239992345394]",0.013197175086496397,"[0.3900826538937425, 0.442007828405583]",0.00020329051231132123,"[0.0, 0.0007046274627867699]"
sexo_x_cohorte,hombre|1991+,998,2493292.0,0.8223982590085718,0.1776017409914282,0.0,0.014651357114587473,"[0.7933914910350809, 0.8504172135982705]",0.014651357114587472,"[0.1495827864017296, 0.20660850896491917]",0.0,"[0.0, 0.0]"
sexo_x_cohorte,mujer|<=1970,2270,5596763.0,0.2970799370993555,0.7029200629006446,0.0,0.013311018403880331,"[0.271914210441384, 0.3228681756146085]",0.013311018403880333,"[0.6771318243853914, 0.728085789558616]",0.0,"[0.0, 0.0]"
sexo_x_cohorte,mujer|1971-1980,3464,8215657.0,0.38197760690350147,0.6180223930964985,0.0,0.011050731849106056,"[0.3597245799702228, 0.4021201979826781]",0.011050731849106052,"[0.5978798020173218, 0.6402754200297773]",0.0,"[0.0, 0.0]"
sexo_x_cohorte,mujer|1981-1990,3421,7846323.0,0.563192975869079,0.43649961899350814,0.00030740513741277285,0.01132675421161013,"[0.5403515489464201, 0.5848762871628639]",0.011308950184931962,"[0.41486840226510924, 0.45922058121053894]",0.00029635551316248016,"[0.0, 0.00094617752970831]"
sexo_x_cohorte,mujer|1991+,1511,4078932.0,0.7426816627489745,0.2573183372510255,0.0,0.015350985982693775,"[0.7113803021354527, 0.7722699616703703]",0.015350985982693775,"[0.22773003832962962, 0.2886196978645473]",0.0,"[0.0, 0.0]"
