# GENERADO por tools/dominios/ensu/tablas.py -- sólo ids; el valor vive en el resultados.json sellado
conducta	eje	categoria	ola	calc	result_p	result_ic_lo	result_ic_hi	result_n
C01-INSEG-CIUDAD	TOTAL	TODOS	2013T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2013T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2014T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2014T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2014T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2014T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2015T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2015T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2015T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2015T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T4-TOTAL-TODOS-N
