# NO DERIVADO -- mapa de mesa, escrito a mano por ACTO GEN2-SPECS-DEMANDA-1 (15/sep/2026, NUBE, sobre f5a5227).
# ACTUALIZADO (filas 0016/0017, tanda 2) por ACTO GEN2-SPECS-DEMANDA-1 (PR #776, fusionada primero) y
# ACTUALIZADO (filas 0007/0008/0009/0010/0015/0018) por ACTO GEN2-SPECS-DEMANDA-2 (rama propia, PR #781) --
# advertencia propia del mapa ya citada: "no se re-genera y envejece"; ambas son la re-derivacion manual
# que esa misma advertencia prevé, con comando en cada nota. GEN2-SPECS-DEMANDA-2 se retiro de 0016/0017
# (duplicaban trabajo ya fusionado) -- ver forense/encargos/2026-09-15-GEN2-SPECS-DEMANDA-2.md ## NO-CORRIDO.
# Las columnas corrida_id / instrumento / n_resultados / resultados_ids se COPIAN de data/corrida0/demanda-corridas.tsv
# (ese si es DERIVADO). Las demas son el juicio de este acto, con su comando citado en la nota de cierre:
# forense/notas/2026-09-15-GEN2-SPECS-DEMANDA-1-mapa-19.md (tanda 1) y
# forense/notas/2026-09-15-GEN2-SPECS-DEMANDA-2-mapa-19-tanda2.md (tanda 2)
# Vocabulario de `estado` (A.4, sin inventar terminos nuevos):
#   SPEC-CONGELADA      -- este acto escribio y congelo las dos capas de D-15; el medidor es de CAJA
#   EXISTE-SATISFACE    -- ya relevada por una spec congelada anterior; NO se re-especifica
#   EXISTE-NO-SATISFACE -- hay spec o CALC, pero no releva esta corrida (o la releva en parte); la razon va en `nota`
#   BLOQUEADA           -- no se puede congelar spec hoy; `bloqueador` lo nombra y `sucesor` dice quien lo levanta
# ACTUALIZADO (filas 0004/0005/0006/0019) por ACTO GEN2-FIRMAS-MESA-1 (15/sep/2026, NUBE): OBJETO 3 de la HOJA DE FIRMAS DE MESA 2026-09-15 firma D2 opcion (a) -- precedencia del MEDIDO. Las tres filas con MEDIDO de la misma regla se retiran; CORR-0004 NO puede aplicarla (no tiene MEDIDO) y queda en NO-CORRIDO, no reinterpretada.
corrida_id	instrumento	n_resultados	estado	bloqueador	spec_o_calc	cobertura	sucesor	nota
CORR-0001	ENCIG2023	4	BLOQUEADA	DECISION-DE-MESA	NINGUNO	0/4	MESA · decision D1 armada	El payload NO falta: encig23_base_datos_csv (sha af733d86..., 38309647 bytes, 29/jul/2026) mas cuatro gemelos (RData/DBF/DTA/SAV, 5/ago/2026) estan en el manifiesto. La frase «ENCIG2023, sin payload» de ENCIG-MORDIDA-spec-v1_0.md:142 es FALSA EN LA LETRA desde el 29/jul/2026 -- no se edita el sellado (E.3), se corrige aqui la lectura. Lo que falta es una decision: los 4 RESULT son ASIGNADOS (0.62/0.38, 0.88/0.12) de dos reglas cuyas celdas ENCIG2025 YA estan MEDIDAS por CORR-0002. [TANDA 2] Re-verificado, sin drift (forense/notas/2026-09-15-GEN2-SPECS-DEMANDA-2-CORR-0001-premisa.md): sigue BLOQUEADA por D1, no por fuente -- no se corrio /sonda sobre un objeto ya EXISTE-SATISFACE por identidad.
CORR-0002	ENCIG2025	12	EXISTE-SATISFACE	NO-APLICA	CALC-ENCIG-0001 · prereg-caja-ENCIG-MORDIDA	12/12	NINGUNO	Relevada entera por ACTO GEN2-LOTE-ENCIG-1 (9/sep/2026). No se re-especifica: encontrar que el trabajo ya estaba hecho es el entregable de A.8.
CORR-0003	ENCUCI2020	4	EXISTE-SATISFACE	NO-APLICA	CALC-ENCUCI-0001 · prereg-caja-ENCUCI-MORDIDA-PROTESTA	4/4	NINGUNO	Relevada entera por ACTO GEN2-LOTE-ENCUCI-1. Dos constructos, no uno: mordida y protesta.
CORR-0004	validacion:CoDi	2	BLOQUEADA	DECISION-DE-MESA · NO-ALCANZADA-POR-D2(a)	NINGUNO	0/2	MESA · decision D2 armada	FIRMA DE MESA 15/sep/2026, OBJETO 3: la opcion (a) NO PUEDE APLICARSE aqui y el ejecutor no la reinterpreta (SELLA-3). La precedencia del MEDIDO exige un MEDIDO de la misma regla, y tramite.gobierno_digital.coercitivo:adopta (ASIGNADO 0.09) NO TIENE NINGUNO -- la propia nota de mesa que armo D2 lo dice: «CORR-0004 queda fuera de (a) -- no tiene medido». La segunda casilla que esa nota abrio para esta fila (buscar instrumento de unidad persona / rotular ASIGNADO·SIN-INSTRUMENTO) NO viene firmada en la HOJA DE FIRMAS. Sigue BLOQUEADA, con la razon dicha. Ver NC nueva en forense/no-corrido.tsv.
CORR-0005	validacion:SPEI	2	RETIRADA-POR-PRECEDENCIA	NINGUNO -- la celda ASIGNADA se retira	NINGUNO	0/2	MESA · decision D2 armada	FIRMA DE MESA 15/sep/2026, OBJETO 3 (D2/NC-0197 opcion (a)): la celda ASIGNADA se retira en cuanto existe MEDIDO de la misma regla, sea cual sea la ola. MEDIDO citado: tramite.gobierno_digital.util_sin_coercion -> adopta_encig2025_luz = 0.673393 (CORR-0002), frente al ASIGNADO 0.71 de aqui. El bloqueador de unidad (series SPEI diarias agregadas) deja de importar: ya no hay que medir esta celda, se retira. 2/2 resueltas.
CORR-0006	report:politica	2	RETIRADA-POR-PRECEDENCIA	NINGUNO -- la celda ASIGNADA se retira	NINGUNO	0/2	MESA · decision D2 armada	FIRMA DE MESA 15/sep/2026, OBJETO 3 (D2/NC-0197 opcion (a)). MEDIDO citado: tramite.evasion_norma -> evade_norma_envipe2025 = 0.562774 (CORR-0007), frente al ASIGNADO 0.66 de aqui. `report:politica` sigue sin ser un instrumento, y con la precedencia ya no necesita serlo. 2/2 resueltas.
CORR-0007	ENVIPE2025	8	EXISTE-NO-SATISFACE	SPEC-PARCIAL	CALC-ENVIPE-0001 · prereg-caja-ENVIPE-DENUNCIA (+ correccion 15/sep) · CALC-EVASION-NORMA-0001 · prereg-caja-ENVIPE-EVASION-NORMA (tanda 2)	6/8	MESA · decision sobre RES-0039..0042 (NC-0088)	[TANDA 2] Correccion de premisa: RES-0025/RES-0026 (evasion_norma) SI tienen nada -- eran MEDIDOS y SELLADOS desde el 2/sep/2026 (ACTO MAESTRA35-N1), solo les faltaba capa 2; releados por CALC-EVASION-NORMA-0001. RES-0027/RES-0028 siguen via CALC-ENVIPE-0001 (tanda 1). Residuo real: RES-0039..0042, PROPUESTA no firmada (NC-0088) -- declaracion explicita en prereg-caja-ENVIPE-EVASION-NORMA-spec-v1_0.md §3, no se elige por mesa.
CORR-0008	ENNViH/MxFLS_olas2-3	2	BLOQUEADA	NO-HAY-DISENO-PUBLICO	NINGUNO	0/2	NC-0156 · MESA	El payload SI esta localizado y su identidad esta corregida desde NC-0188: ennvih2_2005_hogar_dta (fc4ea4ae...), ennvih3_2009_hogar_dta (00a7649a...), ennvih2_2005_ponderador_transversal (34ee12b0...), los tres con sha256 que COINCIDE con el declarado por la regla. Lo que no existe es diseno muestral publicado (NC-0156: EXPEDIENTE-TECNICO-LISTO, DECISION-DE-MESA-PENDIENTE): el PUNTO es especificable, el IC de diseno no. Congelar una spec sin resolver eso fijaria un metodo de varianza que mesa no ha elegido. [TANDA 2] /sonda LATERAL+HERMANAS corrida (forense/notas/2026-09-15-GEN2-SPECS-DEMANDA-2-sonda-CORR-0008.md): expediente 03-ENNVIH-DIN-S6.md ya LISTO-PARA-TITULAR pero no cubre estos 2 RESULT; ampliarlo es la receta de un minuto. Tres candidatas web (doc oficial, RAND, ICPSR) quedan SIN-FETCH -- bloqueo de red de ESTA sesion, confirmado por 3 mecanismos y por control de calibracion contra INEGI (tambien bloqueado hoy, a diferencia de sesiones previas del mismo entorno).
CORR-0009	ENIF2024	9	SPEC-CONGELADA	NO-APLICA	CALC-ENIF-0001 · CALC-ENIF-0002 (previos) · CALC-TIENE-AHORROS-0001 · prereg-caja-ENIF-TIENE-AHORROS (tanda 2)	9/9	CAJA · escribir medidor.py de CALC-TIENE-AHORROS-0001	[TANDA 2] AGOTADA. Correccion de premisa doble: RES-0031/RES-0032 SI tenian valor MEDIDO/SELLADO (ACTO MAESTRA35-N1, 2/sep/2026) -- solo faltaba capa 2, releados por CALC-TIENE-AHORROS-0001. RES-0065 YA estaba relevado por CALC-ENIF-0002 (sellado, ADR-459) desde antes de este acto -- el "cero apariciones" de tanda 1 era falso, verificado con grep. Los 6 de CALC-ENIF-0001 (tanda 1) sin cambio.
CORR-0010	ENIF2024	2	SPEC-CONGELADA	NO-APLICA	CALC-DINERO-FAMILIARES-VEJEZ-0001 · prereg-caja-ENIF-DINERO-FAMILIARES-VEJEZ	2/2	CAJA · escribir medidor.py	[TANDA 2] AGOTADA. Identidad resuelta por hash (A.7): sha256_payload de la regla (00e4b0b4...f039) COINCIDE EXACTO con enif_2024_enif_2024_bd_csv del manifiesto. milpa/tramite.yaml:845 sigue diciendo NO-LOCALIZADO en la letra -- NC-0195 permanece ABIERTA (FUERA-DE-PERIMETRO, la corrige el acto que toque milpa/), pero la spec se congela sin esperarla.
CORR-0011	ENIGH2022	2	SPEC-CONGELADA	NO-APLICA	CALC-ENIGH-0001 · prereg-caja-ENIGH-REMESAS-R51	2/2	CAJA · escribir medidor.py	El bloqueo era de AUTORIZACION, no de medicion: CALC-B-0001 ya produjo el punto 2022 con sello valido y su propia spec sellada le prohibe alimentar un veredicto (T9, firma de mesa). Esta spec nace del lado de la regla y anade el complemento contado y una reejecucion rotulada REPLICA-RESULTADO (E.3).
CORR-0012	ENFIH2019	2	SPEC-CONGELADA	NO-APLICA	CALC-ENFIH-0001 · prereg-caja-ENFIH-AFORE	2/2	CAJA · escribir medidor.py	IC de diseno donde GEN1 no declaro campo de diseno. FAC_HOG fijado POR ARCHIVO (TCONCENTRADORA.csv): la misma etiqueta existe en THOGAR.csv sobre otro universo.
CORR-0013	EDER2017	2	SPEC-CONGELADA	NO-APLICA	CALC-EDER-0003 · prereg-caja-EDER-UNION-LIBRE	2/2 (del PAYLOAD)	CAJA · medidor.py + MESA · celda ENADID	DEFECTO MATERIAL asentado: RES-0043/RES-0044 declaran payload EDER 2017 y clase «ENADID 2023, p3_27_ag». El payload declarado no produjo el numero, y un verify resolveria el ZIP de EDER como INPUT de una cifra de ENADID con el hash COINCIDIENDO. ENADID no aparece en ninguna corrida (grep -> 0). Consecuencia: A-DELTA-VS-GEN1 = NO-APLICA-ESTIMANDO-DISTINTO.
CORR-0014	ENUT2024	1	SPEC-CONGELADA	NO-APLICA	CALC-ENUT-0001 · prereg-caja-ENUT-CUIDADO	1/1	CAJA · escribir medidor.py	HALLAZGO A.15: milpa declara ponderador FAC_HOG sobre tvar_crea.csv; tvar_crea.csv NO tiene FAC_HOG (60 columnas, las 60 del FD). FAC_HOG vive en tsdem.csv Y en thogar.csv. La spec fija tsdem.csv y anade la guarda que nadie habia corrido: los dos comparados hogar por hogar.
CORR-0015	ENIF2024	7	SPEC-CONGELADA	NO-APLICA	CALC-HORIZONTE-VIA-DERIVADOS-0001 · prereg-caja-ENIF-HORIZONTE-VIA-DERIVADOS	7/7	CAJA · escribir medidor.py	[TANDA 2, GEN2-SPECS-DEMANDA-2] AGOTADA. Condicion de encadenamiento verificada cumplida: CORR-0009 (padre) quedo agotada en esta misma tanda. Los 7 RESULT son derivados por aritmetica exacta (complemento 1-p, inclusion-exclusion) sobre insumos ya sellados (CALC-ENIF-0001, CALC-ENIF-0002, CALC-TIENE-AHORROS-0001) -- cero microdato, cero bootstrap propio.
CORR-0016	data/l8-resultados-tipo-boleta-v1_0.json	3	SPEC-CONGELADA	NO-APLICA	CALC-L8-CONVERSION-0001 · prereg-caja-L8-CONVERSION-PRESIDENCIAL	3/3	CAJA o NUBE · escribir medidor.py	CONGELADA EN LA TANDA 2 (ACTO GEN2-SPECS-DEMANDA-1, PR #776). Caso distinto a todos los demas: el `payload` es un ARTEFACTO DEL REPO (data/l8-resultados-tipo-boleta-v1_0.json, sha256 30f3e16d..., 43545 bytes, versionado), resuelto por origen: repo -- es la UNICA de las 19 que NO necesita data/raw y puede correr en nube; su preflight bloquea SOLO por script_ausente. Hallazgo material que decide si reproduce: los tres valores GEN1 salen exactos SOLO si el ancla p0 se redondea a CUATRO decimales antes de sumar el delta (sin redondear: 0.345263/0.750605/0.619830 contra 0.345267/0.750567/0.619867). La diferencia llega a 3.8e-5, tres ordenes por encima de la tolerancia de flotante: un medidor con precision completa reportaria NO-REPRODUCE por el redondeo y no por la cifra. Los tres RESULT salen rotulados DERIVADO-ECOLOGICO.
CORR-0017	forense/prereg-caja/S7-L17-spec-v1_0.md	2	SPEC-CONGELADA	NO-APLICA	CALC-ENSANUT-0001 · prereg-caja-S7-L17 (v1_1, ya sellada)	2/2	CAJA · escribir medidor.py + enlazar raiz descargas_mx	CONGELADA EN LA TANDA 2 (ACTO GEN2-SPECS-DEMANDA-1, PR #776), y es la unica que NO trae spec humana nueva: su capa humana de D-15 ya estaba sellada desde el 5/sep (v1.0) y el 7/sep (v1.1), y escribir una segunda duplicaria un sellado que E.3 prohibe -- se cabla su Rama B y nada mas. Dos hallazgos: (1) UNIDAD -- milpa declara el universo como «254 menciones Si (179 personas distintas)» y ponde_f es ponderador DE PERSONA, asi que en filas de mencion una persona con dos menciones entra con su peso dos veces; la primaria conserva ese universo (es el de la cifra GEN1) y B-P-PERSONA mide lo mismo colapsado, con delta con signo. (2) INVENTARIO SUPERADO -- la sellada verifica a0927 contra -descargas-mx-v1_1 y A.15(a) exige el vigente; re-verificado contra v1_2, las 20 variables existen en adultos_ensanut2024_w.dta con el sha256_12 del manifiesto y su texto confirma el mapeo letra=razon/digito=vacuna de ADR-357/FP-326. preflight bloquea por script_ausente Y por RAIZ_NO_CONFIGURADA=descargas_mx (este clon de nube no declara esa raiz; se enlaza, no se descarga).
CORR-0018	NO-DECLARADO-EN-EL-REGISTRO	7	BLOQUEADA	SIN-SCRIPT-NI-PAYLOAD-DECLARADO	NINGUNO	0/7	MESA · decision D3 armada, SUPERADA POR HALLAZGO	Los 7 coeficientes de milpa/procedencia.yaml:coeficientes_generador_sellados (G1, G3, G4, G5) traen `fuente` en prosa (p. ej. «coeficientes_generador_medidos.G1_confianza_institucional, 4/ago/2026») y NINGUN payload_id, NINGUN hash, NINGUN script. Son exactamente los «7 coeficientes sin hash ni script» del diagnostico que motivo v2.13. Una spec por coeficiente exige primero trazar cual instrumento produjo cada uno: es trabajo de arqueologia, no de especificacion. [TANDA 2, GEN2-SPECS-DEMANDA-2] /sonda CONSTRUCTO corrida (forense/notas/2026-09-15-GEN2-SPECS-DEMANDA-2-sonda-CORR-0018.md): las 7 SI tienen procedencia verificable -- coeficientes_generador_medidos (bloque hermano, mismo archivo) ya cita instrumento+payload para las 7, y 6 de 7 resuelven a un payload con sha256 confirmado en data/manifiesto.yaml. D3 (rotular SIN-PROCEDENCIA-VERIFICABLE) queda superada: la tabla de candidatas es el insumo listo para que milpa/ formalice payload_id/sha256 sin arqueologia nueva -- decision de mesa si prefiere D3 tal cual o instruir la formalizacion.
CORR-0019	NO-DECLARADO-EN-EL-REGISTRO	21	RETIRADA-PARCIAL-POR-PRECEDENCIA	DECISION-DE-MESA (16 de 21 siguen ASIGNADAS)	NINGUNO	0/21	MESA · decision D2 armada	FIRMA DE MESA 15/sep/2026, OBJETO 3 (D2/NC-0197 opcion (a)) aplicada celda por celda, que es lo que la opcion (a) permite sin 21 decisiones. RETIRADAS 5 de 13 asignados_probabilidad, con su MEDIDO citado: dinero.planeacion.formal_estable (tiene_afore 0.538502), tramite.mordida.discrecional (paga_mordida_encig2025 0.085118), tramite.mordida.con_registro (paga_mordida_encig2025_presencial 0.116), tramite.gobierno_digital.util_sin_coercion (adopta_encig2025_luz 0.673393), civico.denuncia.con_seguro (denuncia 0.7909). CONSERVADAS 8 de 13 sin MEDIDO de su regla. CONSERVADOS los 8 asignados_coeficiente: ninguno de los 8 pares (G2.sens_estatus, G2.aversion_riesgo, G3.aversion_riesgo, G4.horizonte_temporal, G4.sens_estatus, G5.familismo_obligacion, G5.radio_confianza, G6.deferencia) tiene sellado de la misma regla -- los 7 sellados que si existen ya estaban fuera de esta fila. 5/21 resueltas por precedencia; las 16 restantes siguen como prior declarado, no por falta de criterio sino porque el criterio no las alcanza.
