# REGISTRO DE NUMEROS RES · SOLO-AÑADIR · el estado de una llave es su ULTIMA fila
# Firma de mesa 21/sep/2026 (D-r1 A): `RES` es un ALIAS ESTABLE de la llave logica.
# Lo escribe UNICAMENTE `python3 tools/corrida0.py numera-res --escribe`. Ningun comando de lectura lo toca.
llave_logica	resultado_id	estado	fecha	commit
tramite::tramite.mordida.discrecional::paga_mordida	RES-0001	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.discrecional::tramite_normal	RES-0002	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.discrecional::paga_mordida_encig2025	RES-0003	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.discrecional::tramite_normal_encig2025	RES-0004	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.discrecional::solicitud_o_entrega_mordida_encuci2020	RES-0005	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.discrecional::sin_solicitud_y_sin_entrega_encuci2020	RES-0006	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::tramite_normal	RES-0007	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::paga_mordida	RES-0008	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::paga_mordida_encig2025_presencial	RES-0009	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::tramite_normal_encig2025_presencial	RES-0010	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::paga_mordida_encig2025_digital	RES-0011	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::tramite_normal_encig2025_digital	RES-0012	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::paga_mordida_encig2025_presencial_r2	RES-0013	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::tramite_normal_encig2025_presencial_r2	RES-0014	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::paga_mordida_encig2025_digital_r2	RES-0015	vigente	2026-09-21	41ecf36b
tramite::tramite.mordida.con_registro::tramite_normal_encig2025_digital_r2	RES-0016	vigente	2026-09-21	41ecf36b
tramite::tramite.gobierno_digital.coercitivo::rechaza_servicio	RES-0017	vigente	2026-09-21	41ecf36b
tramite::tramite.gobierno_digital.coercitivo::adopta	RES-0018	vigente	2026-09-21	41ecf36b
tramite::tramite.gobierno_digital.util_sin_coercion::adopta	RES-0019	vigente	2026-09-21	41ecf36b
tramite::tramite.gobierno_digital.util_sin_coercion::rechaza_servicio	RES-0020	vigente	2026-09-21	41ecf36b
tramite::tramite.gobierno_digital.util_sin_coercion::adopta_encig2025_luz	RES-0021	vigente	2026-09-21	41ecf36b
tramite::tramite.gobierno_digital.util_sin_coercion::rechaza_servicio_encig2025_luz	RES-0022	vigente	2026-09-21	41ecf36b
tramite::tramite.evasion_norma::evade_norma	RES-0023	vigente	2026-09-21	41ecf36b
tramite::tramite.evasion_norma::cumple_norma	RES-0024	vigente	2026-09-21	41ecf36b
tramite::tramite.evasion_norma::evade_norma_envipe2025	RES-0025	vigente	2026-09-21	41ecf36b
tramite::tramite.evasion_norma::cumple_norma_envipe2025	RES-0026	vigente	2026-09-21	41ecf36b
tramite::civico.denuncia.miedo_desconfianza::denuncia_con_miedo_o_desconfianza	RES-0027	vigente	2026-09-21	41ecf36b
tramite::civico.denuncia.miedo_desconfianza::denuncia_por_otra_razon	RES-0028	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.tiene_ahorros::tiene_ahorros	RES-0029	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.tiene_ahorros::no_tiene_ahorros	RES-0030	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.tiene_ahorros::tiene_ahorros_enif2024	RES-0031	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.tiene_ahorros::no_tiene_ahorros_enif2024	RES-0032	vigente	2026-09-21	41ecf36b
tramite::familia.apoyo.recibe_dinero_familiares::recibe_dinero_familiares_para_vejez	RES-0033	vigente	2026-09-21	41ecf36b
tramite::familia.apoyo.recibe_dinero_familiares::no_recibe_dinero_familiares_para_vejez	RES-0034	vigente	2026-09-21	41ecf36b
tramite::familia.seguro.volatilidad_ausencia_estado::recibe_remesas	RES-0035	vigente	2026-09-21	41ecf36b
tramite::familia.seguro.volatilidad_ausencia_estado::no_recibe_remesas	RES-0036	vigente	2026-09-21	41ecf36b
tramite::dinero.planeacion.formal_estable::tiene_afore	RES-0037	vigente	2026-09-21	41ecf36b
tramite::dinero.planeacion.formal_estable::no_tiene_afore	RES-0038	vigente	2026-09-21	41ecf36b
tramite::civico.denuncia.con_seguro::denuncia	RES-0039	vigente	2026-09-21	41ecf36b
tramite::civico.denuncia.con_seguro::no_denuncia	RES-0040	vigente	2026-09-21	41ecf36b
tramite::civico.denuncia.sin_seguro::denuncia	RES-0041	vigente	2026-09-21	41ecf36b
tramite::civico.denuncia.sin_seguro::no_denuncia	RES-0042	vigente	2026-09-21	41ecf36b
