ola_encuesta	etapa	codigo	n_excluido
2011	BP1_20-DISTINTO-DE-02	01	1793
2011	BP1_20-DISTINTO-DE-02	07	14
2011	BP1_21-FUERA-DE-01..08	09	1044
2011	BP1_21-FUERA-DE-01..08	88	35
2011	BP1_21-FUERA-DE-01..08	99	344
2011	BPCOD-NO-PERSONAL	01	1232
2011	BPCOD-NO-PERSONAL	02	5642
2011	BPCOD-NO-PERSONAL	03	4067
2014	BP1_20-DISTINTO-DE-02	01	2151
2014	BP1_23-FUERA-DE-01..08	09	1822
2014	BP1_23-FUERA-DE-01..08	99	98
2014	BPCOD-NO-PERSONAL	01	1235
2014	BPCOD-NO-PERSONAL	02	7349
2014	BPCOD-NO-PERSONAL	03	8164
2014	BPCOD-NO-PERSONAL	04	5804
2016	BP1_20-DISTINTO-DE-02	01	2068
2016	BP1_23-FUERA-DE-01..08	09	1891
2016	BP1_23-FUERA-DE-01..08	99	140
2016	BPCOD-NO-PERSONAL	01	965
2016	BPCOD-NO-PERSONAL	02	6679
2016	BPCOD-NO-PERSONAL	03	6443
2016	BPCOD-NO-PERSONAL	04	5598
2017	BP1_20-DISTINTO-DE-02	01	2137
2017	BP1_23-FUERA-DE-01..08	09	2398
2017	BP1_23-FUERA-DE-01..08	99	192
2017	BPCOD-NO-PERSONAL	01	1106
2017	BPCOD-NO-PERSONAL	02	7475
2017	BPCOD-NO-PERSONAL	03	6618
2017	BPCOD-NO-PERSONAL	04	5799
2018	BP1_20-DISTINTO-DE-02	01	2295
2018	BP1_20-DISTINTO-DE-02	09	2
2018	BP1_23-FUERA-DE-01..08	09	2568
2018	BP1_23-FUERA-DE-01..08	99	126
2018	BPCOD-NO-PERSONAL	01	1385
2018	BPCOD-NO-PERSONAL	02	7738
2018	BPCOD-NO-PERSONAL	03	6692
2018	BPCOD-NO-PERSONAL	04	6217
2019	BP1_20-DISTINTO-DE-02	01	2220
2019	BP1_23-FUERA-DE-01..08	09	2679
2019	BP1_23-FUERA-DE-01..08	99	165
2019	BPCOD-NO-PERSONAL	01	1443
2019	BPCOD-NO-PERSONAL	02	7764
2019	BPCOD-NO-PERSONAL	03	6808
2019	BPCOD-NO-PERSONAL	04	6296
2020	BP1_20-DISTINTO-DE-02	01	2037
2020	BP1_23-FUERA-DE-01..08	09	2203
2020	BP1_23-FUERA-DE-01..08	99	171
2020	BPCOD-NO-PERSONAL	01	1303
2020	BPCOD-NO-PERSONAL	02	6362
2020	BPCOD-NO-PERSONAL	03	5441
2020	BPCOD-NO-PERSONAL	04	4894
2022	BP1_20-DISTINTO-DE-02	01	1818
2022	BP1_23-FUERA-DE-01..08	09	2459
2022	BP1_23-FUERA-DE-01..08	99	111
2022	BPCOD-NO-PERSONAL	01	965
2022	BPCOD-NO-PERSONAL	02	5597
2022	BPCOD-NO-PERSONAL	03	4514
2022	BPCOD-NO-PERSONAL	04	4439
