# DERIVADO — NO EDITAR
resultado_id	origen	corrida_id	spec_id	valor	tipo	unidad	estado	generacion	cuenta_gen2	tolerancia	tolerancia_adopcion	validacion_independiente	validacion_ref	alcance_validacion	rol_evaluacion	origen_numerico	funciones_dependencia	camino_linaje	valor_legacy	delta_legacy	sello	fuente_replay	depende_de	sucesor	n_usos
RES-0001	DEMANDA	CORR-0001	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0001/RES-0001 -> DEMANDA-PENDIENTE	0.62	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0002	DEMANDA	CORR-0001	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0001/RES-0002 -> DEMANDA-PENDIENTE	0.38	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0003	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0003 -> DEMANDA-PENDIENTE	0.085118	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0004	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0004 -> DEMANDA-PENDIENTE	0.914882	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0005	DEMANDA	CORR-0003	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0003/RES-0005 -> DEMANDA-PENDIENTE	0.126006	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0006	DEMANDA	CORR-0003	PENDIENTE	PENDIENTE	conducta_p_derivado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0003/RES-0006 -> DEMANDA-PENDIENTE	0.873994	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0007	DEMANDA	CORR-0001	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0001/RES-0007 -> DEMANDA-PENDIENTE	0.88	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0008	DEMANDA	CORR-0001	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0001/RES-0008 -> DEMANDA-PENDIENTE	0.12	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0009	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0009 -> DEMANDA-PENDIENTE	0.116	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0010	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_derivado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0010 -> DEMANDA-PENDIENTE	0.884	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
