# DERIVADO — NO EDITAR
# Una fila por CITA `RES`/`CORR` en la spec de un CALC SELLADO, resuelta contra la demanda del commit que fijo esa spec.
# Lo escribe `python3 tools/resuelve_citas.py tabla --escribe`. Las specs NO se tocan: estan selladas.
calc_id	spec	token	commit_spec	fecha_commit	llave_logica	numero_hoy	difiere_de_hoy
CALC-DINERO-FAMILIARES-VEJEZ-0001	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001/spec.yaml	CORR-0010	912bb4b7eb0e8832858132ad52deb62c56e1b057	2026-09-15	tramite::familia.apoyo.recibe_dinero_familiares::recibe_dinero_familiares_para_vejez;tramite::familia.apoyo.recibe_dinero_familiares::no_recibe_dinero_familiares_para_vejez	CORR-0010	NO
CALC-DINERO-FAMILIARES-VEJEZ-0001	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001/spec.yaml	CORR-0017	912bb4b7eb0e8832858132ad52deb62c56e1b057	2026-09-15	tramite::salud.vacunacion.disponible_ensanut2024::razon_no_vacunacion_logistica;tramite::salud.vacunacion.disponible_ensanut2024::razon_no_vacunacion_no_logistica	CORR-0017	NO
CALC-DINERO-FAMILIARES-VEJEZ-0001	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001/spec.yaml	RES-0033	912bb4b7eb0e8832858132ad52deb62c56e1b057	2026-09-15	tramite::familia.apoyo.recibe_dinero_familiares::recibe_dinero_familiares_para_vejez	RES-0033	NO
CALC-DINERO-FAMILIARES-VEJEZ-0001	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001/spec.yaml	RES-0034	912bb4b7eb0e8832858132ad52deb62c56e1b057	2026-09-15	tramite::familia.apoyo.recibe_dinero_familiares::no_recibe_dinero_familiares_para_vejez	RES-0034	NO
CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1/spec.md;data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1/spec.yaml	CORR-0010	fb43c8bab4106c3a66cfff50c364a6fa9809f692	2026-09-15	tramite::familia.apoyo.recibe_dinero_familiares::recibe_dinero_familiares_para_vejez;tramite::familia.apoyo.recibe_dinero_familiares::no_recibe_dinero_familiares_para_vejez	CORR-0010	NO
CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1/spec.yaml	CORR-0017	fb43c8bab4106c3a66cfff50c364a6fa9809f692	2026-09-15	tramite::salud.vacunacion.disponible_ensanut2024::razon_no_vacunacion_logistica;tramite::salud.vacunacion.disponible_ensanut2024::razon_no_vacunacion_no_logistica	CORR-0017	NO
CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1/spec.md;data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1/spec.yaml	RES-0033	fb43c8bab4106c3a66cfff50c364a6fa9809f692	2026-09-15	tramite::familia.apoyo.recibe_dinero_familiares::recibe_dinero_familiares_para_vejez	RES-0033	NO
CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1/spec.md;data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1/spec.yaml	RES-0034	fb43c8bab4106c3a66cfff50c364a6fa9809f692	2026-09-15	tramite::familia.apoyo.recibe_dinero_familiares::no_recibe_dinero_familiares_para_vejez	RES-0034	NO
CALC-EDER-0001	data/corrida0/CALC-EDER-0001/spec.yaml	CORR-0013	0cbaba6cea9773dfce52220bce4b7ad9dd4f75fd	2026-09-14	tramite::familia.union.libre::union_libre;tramite::familia.union.libre::matrimonio_directo	CORR-0013	NO
CALC-EDER-0001	data/corrida0/CALC-EDER-0001/spec.yaml	RES-0043	0cbaba6cea9773dfce52220bce4b7ad9dd4f75fd	2026-09-14	tramite::familia.union.libre::union_libre	RES-0043	NO
CALC-EDER-0001	data/corrida0/CALC-EDER-0001/spec.yaml	RES-0044	0cbaba6cea9773dfce52220bce4b7ad9dd4f75fd	2026-09-14	tramite::familia.union.libre::matrimonio_directo	RES-0044	NO
CALC-EDER-0003	data/corrida0/CALC-EDER-0003/spec.md;data/corrida0/CALC-EDER-0003/spec.yaml	CORR-0013	2cfc37e537741685e713d497f6aae22f2a42fc4c	2026-09-15	tramite::familia.union.libre::union_libre;tramite::familia.union.libre::matrimonio_directo	CORR-0013	NO
CALC-EDER-0003	data/corrida0/CALC-EDER-0003/spec.md;data/corrida0/CALC-EDER-0003/spec.yaml	RES-0043	2cfc37e537741685e713d497f6aae22f2a42fc4c	2026-09-15	tramite::familia.union.libre::union_libre	RES-0043	NO
CALC-EDER-0003	data/corrida0/CALC-EDER-0003/spec.md;data/corrida0/CALC-EDER-0003/spec.yaml	RES-0044	2cfc37e537741685e713d497f6aae22f2a42fc4c	2026-09-15	tramite::familia.union.libre::matrimonio_directo	RES-0044	NO
CALC-ENADID-0001	data/corrida0/CALC-ENADID-0001/spec.yaml	RES-0043	1c9afb30bf8339baf9cd04a082629e401aaa0dda	2026-09-19	tramite::familia.union.libre::union_libre	RES-0043	NO
CALC-ENCIG-0001	data/corrida0/CALC-ENCIG-0001/spec.md;data/corrida0/CALC-ENCIG-0001/spec.yaml	CORR-0001	c3ae00e62e5989f7cfc0ba55e2b27593cb1ea8cc	2026-09-09	tramite::tramite.mordida.discrecional::paga_mordida;tramite::tramite.mordida.discrecional::tramite_normal;tramite::tramite.mordida.con_registro::tramite_normal;tramite::tramite.mordida.con_registro::paga_mordida	CORR-0001	NO
CALC-ENCIG-0001	data/corrida0/CALC-ENCIG-0001/spec.md;data/corrida0/CALC-ENCIG-0001/spec.yaml	CORR-0002	c3ae00e62e5989f7cfc0ba55e2b27593cb1ea8cc	2026-09-09	tramite::tramite.mordida.discrecional::paga_mordida_encig2025;tramite::tramite.mordida.discrecional::tramite_normal_encig2025;tramite::tramite.mordida.con_registro::paga_mordida_encig2025_presencial;tramite::tramite.mordida.con_registro::tramite_normal_encig2025_presencial;tramite::tramite.mordida.con_registro::paga_mordida_encig2025_digital;tramite::tramite.mordida.con_registro::tramite_normal_encig2025_digital;tramite::tramite.mordida.con_registro::paga_mordida_encig2025_presencial_r2;tramite::tramite.mordida.con_registro::tramite_normal_encig2025_presencial_r2;tramite::tramite.mordida.con_registro::paga_mordida_encig2025_digital_r2;tramite::tramite.mordida.con_registro::tramite_normal_encig2025_digital_r2;tramite::tramite.gobierno_digital.util_sin_coercion::adopta_encig2025_luz;tramite::tramite.gobierno_digital.util_sin_coercion::rechaza_servicio_encig2025_luz	CORR-0002	NO
CALC-ENCIG-0001	data/corrida0/CALC-ENCIG-0001/spec.md;data/corrida0/CALC-ENCIG-0001/spec.yaml	RES-0003	c3ae00e62e5989f7cfc0ba55e2b27593cb1ea8cc	2026-09-09	tramite::tramite.mordida.discrecional::paga_mordida_encig2025	RES-0003	NO
CALC-ENCIG-0001	data/corrida0/CALC-ENCIG-0001/spec.md;data/corrida0/CALC-ENCIG-0001/spec.yaml	RES-0004	c3ae00e62e5989f7cfc0ba55e2b27593cb1ea8cc	2026-09-09	tramite::tramite.mordida.discrecional::tramite_normal_encig2025	RES-0004	NO
CALC-ENCIG-0001	data/corrida0/CALC-ENCIG-0001/spec.md;data/corrida0/CALC-ENCIG-0001/spec.yaml	RES-0009	c3ae00e62e5989f7cfc0ba55e2b27593cb1ea8cc	2026-09-09	tramite::tramite.mordida.con_registro::paga_mordida_encig2025_presencial	RES-0009	NO
CALC-ENCIG-0001	data/corrida0/CALC-ENCIG-0001/spec.yaml	RES-0010	c3ae00e62e5989f7cfc0ba55e2b27593cb1ea8cc	2026-09-09	tramite::tramite.mordida.con_registro::tramite_normal_encig2025_presencial	RES-0010	NO
CALC-ENCIG-0001	data/corrida0/CALC-ENCIG-0001/spec.yaml	RES-0011	c3ae00e62e5989f7cfc0ba55e2b27593cb1ea8cc	2026-09-09	tramite::tramite.mordida.con_registro::paga_mordida_encig2025_digital	RES-0011	NO
CALC-ENCIG-0001	data/corrida0/CALC-ENCIG-0001/spec.yaml	RES-0012	c3ae00e62e5989f7cfc0ba55e2b27593cb1ea8cc	2026-09-09	tramite::tramite.mordida.con_registro::tramite_normal_encig2025_digital	RES-0012	NO
