resultado_id	unidad_observacion	poblacion	periodo	uso_descriptivo	restricciones
RESULT-ENSAFI-DIS-HOG-FORMAL-P	hogar	hogares con tarjeta o crédito bancario, financiero o de tienda y respuesta de atraso válida	último mes antes de la entrevista de 2023	prevalencia de atraso por clase formal agregada	no producto exacto, CAT, BNPL, usura ni causalidad; clases no excluyentes; no convertir a riesgo individual
RESULT-ENSAFI-DIS-HOG-CAJA-FAMILIA-P	hogar	hogares con deuda de caja de ahorro, familiares o amistades y respuesta de atraso válida	último mes antes de la entrevista de 2023	prevalencia de atraso por clase amplia	no producto exacto ni causalidad; clases no excluyentes; no convertir a riesgo individual
RESULT-ENSAFI-DIS-HOG-EMPENO-P	hogar	hogares con deuda de casa de empeño y respuesta de atraso válida	último mes antes de la entrevista de 2023	prevalencia de atraso por clase amplia	no identifica costo, fricción ni causalidad; clases no excluyentes; no convertir a riesgo individual
RESULT-ENSAFI-DIS-HOG-PRESTAMISTA-P	hogar	hogares con deuda de prestamista o agiotista y respuesta de atraso válida	último mes antes de la entrevista de 2023	prevalencia de atraso por clase amplia	clase amplia no identifica usura legal/económica, costo ni causalidad; no convertir a riesgo individual
RESULT-ENSAFI-DIS-PER-ATRASO-P	persona elegida de 18 años y más	personas con deuda declarada en P6_8=1..4 y respuesta P6_7 válida	sin ventana explícita en P6_7; levantamiento 2023	prevalencia general de atraso entre personas con deuda	no liga atraso con producto; no identifica BNPL, costo o causalidad
RESULT-ENSAFI-DIS-PER-AFR-1-P	persona elegida de 18 años y más	personas cuyo ingreso no alcanzó sin endeudarse y respuesta válida en P6_10_1	último mes antes de la entrevista de 2023	pidió prestado a familiares o amistades	respuesta múltiple; no categoría excluyente ni mecanismo causal
RESULT-ENSAFI-DIS-PER-AFR-2-P	persona elegida de 18 años y más	personas cuyo ingreso no alcanzó sin endeudarse y respuesta válida en P6_10_2	último mes antes de la entrevista de 2023	utilizó ahorros	respuesta múltiple; no categoría excluyente ni mecanismo causal
RESULT-ENSAFI-DIS-PER-AFR-3-P	persona elegida de 18 años y más	personas cuyo ingreso no alcanzó sin endeudarse y respuesta válida en P6_10_3	último mes antes de la entrevista de 2023	redujo gastos	respuesta múltiple; no categoría excluyente ni mecanismo causal
RESULT-ENSAFI-DIS-PER-AFR-4-P	persona elegida de 18 años y más	personas cuyo ingreso no alcanzó sin endeudarse y respuesta válida en P6_10_4	último mes antes de la entrevista de 2023	vendió o empeñó un bien	respuesta múltiple; no atribuye la acción a un producto ni identifica causalidad
RESULT-ENSAFI-DIS-PER-AFR-5-P	persona elegida de 18 años y más	personas cuyo ingreso no alcanzó sin endeudarse y respuesta válida en P6_10_5	último mes antes de la entrevista de 2023	solicitó adelanto salarial, horas extra o trabajo temporal	respuesta múltiple; no categoría excluyente ni mecanismo causal
RESULT-ENSAFI-DIS-PER-AFR-6-P	persona elegida de 18 años y más	personas cuyo ingreso no alcanzó sin endeudarse y respuesta válida en P6_10_6	último mes antes de la entrevista de 2023	usó tarjeta o solicitó crédito formal/de tienda	clase formal amplia; no BNPL exacto, costo, fricción ni causalidad; respuesta múltiple
RESULT-ENSAFI-DIS-PER-AFR-7-P	persona elegida de 18 años y más	personas cuyo ingreso no alcanzó sin endeudarse y respuesta válida en P6_10_7	último mes antes de la entrevista de 2023	se atrasó en otro crédito o préstamo	no liga atraso con producto; respuesta múltiple; no mecanismo causal
RESULT-ENSAFI-DIS-PER-AFR-8-P	persona elegida de 18 años y más	personas cuyo ingreso no alcanzó sin endeudarse y respuesta válida en P6_10_8	último mes antes de la entrevista de 2023	pidió a cajas, prestamistas o agiotistas	clase amplia no identifica usura, costo ni causalidad; respuesta múltiple
