# DERIVADO — NO EDITAR (tools/c2_compuesto.py dictamen, ACTO GEN2-C2-COMPUESTO-RESERVADAS-1)
celda_id_marcador	regla	bloque_desenlace	desenlace_id	par	veredicto	causa	reserva	n_celdas	unidad_dato_arbitro	unidad_dato_marcador	ola	ponderador	universo	nacional_p	nacional_clase	nacional_fuente	linea_regla_yaml
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	cuenta_formalxedad	EMITIBLE		cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	cuenta_formalxedad	EMITIBLE			8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxescolaridad	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	cuenta_formalxescolaridad	EMITIBLE		cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxescolaridad	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	cuenta_formalxescolaridad	EMITIBLE			8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxformalidad	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	cuenta_formalxformalidad	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional	cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxformalidad	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	cuenta_formalxformalidad	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional		4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxlocalidad	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	cuenta_formalxlocalidad	EMITIBLE		cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxlocalidad	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	cuenta_formalxlocalidad	EMITIBLE			4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxsexo	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	cuenta_formalxsexo	EMITIBLE		cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxsexo	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	cuenta_formalxsexo	EMITIBLE			4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
