ola	familia	canal	variable_canal	codigo	n_canal	masa_canal	p	ee	ic95_lo	ic95_hi	n_denominador	masa_denominador	delta_2024_menos_2021_pp	comparabilidad	estado	fuente
2018	cuenta	NO-APLICA	NO-EXISTE	NO-APLICA										RUPTURA-ESTRUCTURAL	NO-ESTIMABLE: no hay categoria fintech ni canal del ultimo producto	data/corrida0/enif-fintech-correspondencia-v1_0.tsv
2018	credito	NO-APLICA	NO-EXISTE	NO-APLICA										RUPTURA-ESTRUCTURAL	NO-ESTIMABLE: no hay categoria fintech ni canal del ultimo producto	data/corrida0/enif-fintech-correspondencia-v1_0.tsv
2021	cuenta	sucursal	P5_17	1	164	1122715	0.497268756730	0.040779993669	0.417341437830	0.577196075629	337	2257763	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2024	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	cuenta	app_celular	P5_17	2	69	508635	0.225282724538	0.035903683794	0.154912797372	0.295652651703	337	2257763	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2024	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	cuenta	pagina_internet	P5_17	3	35	251071	0.111203434550	0.029361695980	0.053655567890	0.168751301210	337	2257763	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2024	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	cuenta	establecimiento	P5_17	4	4	14809	0.006559147262	0.003676081715	0.000000000000	0.013764135030	337	2257763	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2024	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	cuenta	promotor	P5_17	5	10	50913	0.022550196810	0.007737965897	0.007384062334	0.037716331286	337	2257763	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2024	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	cuenta	empleador	P5_17	6	55	309620	0.137135740111	0.024819067576	0.088491261521	0.185780218700	337	2257763	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2024	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	cuenta	otro	P5_17	7	0	0	0.000000000000	0.000000000000	0.000000000000	0.000000000000	337	2257763	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2024	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2024	cuenta	sucursal	P5_16	1	423		0.290				1407	8919712	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2021	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
