resultado_id	unidad	estimando	n_expuesto	n_valido	n_desconocido	masa_desconocido	n_numerador	masa_numerador	masa_denominador	p	ee	ic95_lo	ic95_hi	gl	precision_estado
RESULT-ENSAFI-DIS-HOG-FORMAL-P	hogar	Tarjeta o crédito bancario, financiero o de tienda	4897	4855	42	74770	1379	2460369	8841713	0.278268362703	0.008809953781	0.260993244495	0.295543480911	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-HOG-CAJA-FAMILIA-P	hogar	Caja de ahorro, familiares o amistades	922	921	1	1384	279	486892	1618454	0.300837713027	0.021035316806	0.259590324745	0.34208510131	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-HOG-EMPENO-P	hogar	Casa de empeño	399	397	2	3833	107	176344	637557	0.27659330852	0.027777879129	0.222124674809	0.331061942231	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-HOG-PRESTAMISTA-P	hogar	Prestamistas o agiotistas	354	351	3	9959	120	197577	601995	0.328203722622	0.032534953727	0.264407114207	0.392000331037	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-PER-ATRASO-P	persona	Atraso en algún préstamo o crédito	7894	7894	0	0	2295	9161224	33603460	0.272627402059	0.008514128535	0.255932356825	0.289322447293	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-PER-AFR-1-P	persona	Pidió prestado a familiares o amistades	6224	6224	0	0	2668	11764109	28288447	0.41586266648	0.010114090788	0.396030313409	0.435695019551	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-PER-AFR-2-P	persona	Utilizó ahorros	6224	6224	0	0	2077	9041557	28288447	0.319620126195	0.011860431458	0.296363437168	0.342876815222	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-PER-AFR-3-P	persona	Redujo gastos	6224	6224	0	0	4220	19322981	28288447	0.683069699797	0.0107450013	0.66200021723	0.704139182363	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-PER-AFR-4-P	persona	Vendió o empeñó algún bien	6224	6224	0	0	649	2754260	28288447	0.097363421894	0.006197619477	0.08521073509	0.109516108699	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-PER-AFR-5-P	persona	Solicitó adelanto salarial, horas extra o trabajo temporal	6224	6224	0	0	753	2943282	28288447	0.104045372303	0.005784303591	0.092703141599	0.115387603007	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-PER-AFR-6-P	persona	Usó tarjeta o solicitó crédito formal/de tienda	6224	6224	0	0	585	2907852	28288447	0.102792917547	0.012763046812	0.077766322874	0.127819512219	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-PER-AFR-7-P	persona	Se atrasó en el pago de un crédito o préstamo	6224	6224	0	0	753	2849805	28288447	0.100740949123	0.006294283725	0.088398716907	0.113083181339	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
RESULT-ENSAFI-DIS-PER-AFR-8-P	persona	Pidió a cajas de ahorro, prestamistas o agiotistas	6224	6224	0	0	176	598417	28288447	0.021154112843	0.002132457075	0.016972655261	0.025335570426	2638	DISPONIBLE:T95-LINEALIZACION-RAZON;SINGLETON=0;FPC-NO-APLICADA
