variante	escala	eje	categoria	objetivo	metodo	olas_previas	pronostico	observado	ic_lo	ic_hi	n	error	error_relativo	cobertura_ic_piso	cobertura_proxy	piso_ic_lo	piso_ic_hi	nota
NUCLEO	media	NACIONAL	NAC	2019	V1-PERSISTENCIA	2014	12.251482	11.940440	11.627581	12.256407	71404	-0.311042	-0.025388	1	1	11.884204	12.614998	
NUCLEO	media	NACIONAL	NAC	2019	V2-TENDENCIA-2-OLAS			11.940440	11.627581	12.256407	71404							NO-APLICA: olas previas insuficientes
NUCLEO	media	NACIONAL	NAC	2019	V3-TENDENCIA-SERIE			11.940440	11.627581	12.256407	71404							NO-APLICA: olas previas insuficientes
NUCLEO	media	SEXO	HOMBRE	2019	V1-PERSISTENCIA	2014	6.329939	6.400896	6.180334	6.618963	33506	0.070958	0.011210	1	1	6.082034	6.581482	
NUCLEO	media	SEXO	HOMBRE	2019	V2-TENDENCIA-2-OLAS			6.400896	6.180334	6.618963	33506							NO-APLICA: olas previas insuficientes
NUCLEO	media	SEXO	HOMBRE	2019	V3-TENDENCIA-SERIE			6.400896	6.180334	6.618963	33506							NO-APLICA: olas previas insuficientes
NUCLEO	media	SEXO	MUJER	2019	V1-PERSISTENCIA	2014	17.548840	16.922239	16.472896	17.388549	37898	-0.626601	-0.035706	0	0	16.998665	18.097239	
NUCLEO	media	SEXO	MUJER	2019	V2-TENDENCIA-2-OLAS			16.922239	16.472896	17.388549	37898							NO-APLICA: olas previas insuficientes
NUCLEO	media	SEXO	MUJER	2019	V3-TENDENCIA-SERIE			16.922239	16.472896	17.388549	37898							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	12-17	2019	V1-PERSISTENCIA	2014	4.803123	4.586862	4.262597	4.930395	9616	-0.216262	-0.045025	1	1	4.455715	5.167077	
NUCLEO	media	EDAD	12-17	2019	V2-TENDENCIA-2-OLAS			4.586862	4.262597	4.930395	9616							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	12-17	2019	V3-TENDENCIA-SERIE			4.586862	4.262597	4.930395	9616							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	18-29	2019	V1-PERSISTENCIA	2014	15.788304	15.891506	15.338628	16.461266	16697	0.103202	0.006537	1	1	15.148353	16.446851	
NUCLEO	media	EDAD	18-29	2019	V2-TENDENCIA-2-OLAS			15.891506	15.338628	16.461266	16697							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	18-29	2019	V3-TENDENCIA-SERIE			15.891506	15.338628	16.461266	16697							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	30-39	2019	V1-PERSISTENCIA	2014	20.961833	20.733527	20.020518	21.439582	12242	-0.228306	-0.010892	1	1	20.196028	21.755777	
NUCLEO	media	EDAD	30-39	2019	V2-TENDENCIA-2-OLAS			20.733527	20.020518	21.439582	12242							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	30-39	2019	V3-TENDENCIA-SERIE			20.733527	20.020518	21.439582	12242							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	40-59	2019	V1-PERSISTENCIA	2014	10.188974	9.861126	9.467067	10.265434	21355	-0.327848	-0.032177	1	1	9.736341	10.639322	
NUCLEO	media	EDAD	40-59	2019	V2-TENDENCIA-2-OLAS			9.861126	9.467067	10.265434	21355							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	40-59	2019	V3-TENDENCIA-SERIE			9.861126	9.467067	10.265434	21355							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	60-MAS	2019	V1-PERSISTENCIA	2014	6.753445	6.916706	6.460938	7.387358	11494	0.163261	0.024174	1	1	6.150099	7.340789	
NUCLEO	media	EDAD	60-MAS	2019	V2-TENDENCIA-2-OLAS			6.916706	6.460938	7.387358	11494							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	60-MAS	2019	V3-TENDENCIA-SERIE			6.916706	6.460938	7.387358	11494							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	HASTA-PRIMARIA	2019	V1-PERSISTENCIA	2014	10.502028	9.400816	8.991840	9.814162	19959	-1.101213	-0.104857	0	0	9.987690	11.032692	
NUCLEO	media	ESCOLARIDAD	HASTA-PRIMARIA	2019	V2-TENDENCIA-2-OLAS			9.400816	8.991840	9.814162	19959							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	HASTA-PRIMARIA	2019	V3-TENDENCIA-SERIE			9.400816	8.991840	9.814162	19959							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	SECUNDARIA	2019	V1-PERSISTENCIA	2014	13.848709	13.652605	13.179051	14.123534	22418	-0.196104	-0.014160	1	1	13.299325	14.386995	
NUCLEO	media	ESCOLARIDAD	SECUNDARIA	2019	V2-TENDENCIA-2-OLAS			13.652605	13.179051	14.123534	22418							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	SECUNDARIA	2019	V3-TENDENCIA-SERIE			13.652605	13.179051	14.123534	22418							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	MEDIA-SUPERIOR	2019	V1-PERSISTENCIA	2014	12.875232	12.811758	12.308641	13.320027	16975	-0.063474	-0.004930	1	1	12.299089	13.468431	
NUCLEO	media	ESCOLARIDAD	MEDIA-SUPERIOR	2019	V2-TENDENCIA-2-OLAS			12.811758	12.308641	13.320027	16975							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	MEDIA-SUPERIOR	2019	V3-TENDENCIA-SERIE			12.811758	12.308641	13.320027	16975							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	SUPERIOR	2019	V1-PERSISTENCIA	2014	12.072721	11.693401	11.106985	12.304450	12052	-0.379320	-0.031420	1	1	11.317613	12.830397	
NUCLEO	media	ESCOLARIDAD	SUPERIOR	2019	V2-TENDENCIA-2-OLAS			11.693401	11.106985	12.304450	12052							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	SUPERIOR	2019	V3-TENDENCIA-SERIE			11.693401	11.106985	12.304450	12052							NO-APLICA: olas previas insuficientes
NUCLEO	media	LOCALIDAD	URBANO	2019	V1-PERSISTENCIA	2014	12.166659	11.487475	11.149117	11.828841	53472	-0.679184	-0.055823	0	0	11.749357	12.577927	
NUCLEO	media	LOCALIDAD	URBANO	2019	V2-TENDENCIA-2-OLAS			11.487475	11.149117	11.828841	53472							NO-APLICA: olas previas insuficientes
NUCLEO	media	LOCALIDAD	URBANO	2019	V3-TENDENCIA-SERIE			11.487475	11.149117	11.828841	53472							NO-APLICA: olas previas insuficientes
NUCLEO	media	LOCALIDAD	RURAL	2019	V1-PERSISTENCIA	2014	12.549235	13.545630	12.808872	14.286764	17932	0.996394	0.079399	0	0	11.803274	13.329343	
NUCLEO	media	LOCALIDAD	RURAL	2019	V2-TENDENCIA-2-OLAS			13.545630	12.808872	14.286764	17932							NO-APLICA: olas previas insuficientes
NUCLEO	media	LOCALIDAD	RURAL	2019	V3-TENDENCIA-SERIE			13.545630	12.808872	14.286764	17932							NO-APLICA: olas previas insuficientes
NUCLEO	media	NACIONAL	NAC	2024	V1-PERSISTENCIA	2019	11.940440	8.737153	8.460062	9.015826	74053	-3.203288	-0.268272	0	0	11.627581	12.256407	
NUCLEO	media	NACIONAL	NAC	2024	V2-TENDENCIA-2-OLAS	2014+2019	11.629398	8.737153	8.460062	9.015826	74053	-2.892246	-0.248701		0			
NUCLEO	media	NACIONAL	NAC	2024	V3-TENDENCIA-SERIE			8.737153	8.460062	9.015826	74053							NO-APLICA: olas previas insuficientes
NUCLEO	media	SEXO	HOMBRE	2024	V1-PERSISTENCIA	2019	6.400896	4.709042	4.531411	4.894260	34143	-1.691855	-0.264315	0	0	6.180334	6.618963	
NUCLEO	media	SEXO	HOMBRE	2024	V2-TENDENCIA-2-OLAS	2014+2019	6.471854	4.709042	4.531411	4.894260	34143	-1.762812	-0.272381		0			
NUCLEO	media	SEXO	HOMBRE	2024	V3-TENDENCIA-SERIE			4.709042	4.531411	4.894260	34143							NO-APLICA: olas previas insuficientes
NUCLEO	media	SEXO	MUJER	2024	V1-PERSISTENCIA	2019	16.922239	12.239730	11.836636	12.642446	39910	-4.682509	-0.276707	0	0	16.472896	17.388549	
NUCLEO	media	SEXO	MUJER	2024	V2-TENDENCIA-2-OLAS	2014+2019	16.295638	12.239730	11.836636	12.642446	39910	-4.055908	-0.248895		0			
NUCLEO	media	SEXO	MUJER	2024	V3-TENDENCIA-SERIE			12.239730	11.836636	12.642446	39910							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	12-17	2024	V1-PERSISTENCIA	2019	4.586862	3.748633	3.463043	4.064603	9696	-0.838229	-0.182746	0	0	4.262597	4.930395	
NUCLEO	media	EDAD	12-17	2024	V2-TENDENCIA-2-OLAS	2014+2019	4.370600	3.748633	3.463043	4.064603	9696	-0.621967	-0.142307		0			
NUCLEO	media	EDAD	12-17	2024	V3-TENDENCIA-SERIE			3.748633	3.463043	4.064603	9696							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	18-29	2024	V1-PERSISTENCIA	2019	15.891506	11.610601	11.071167	12.145517	16048	-4.280905	-0.269383	0	0	15.338628	16.461266	
NUCLEO	media	EDAD	18-29	2024	V2-TENDENCIA-2-OLAS	2014+2019	15.994709	11.610601	11.071167	12.145517	16048	-4.384108	-0.274097		0			
NUCLEO	media	EDAD	18-29	2024	V3-TENDENCIA-SERIE			11.610601	11.071167	12.145517	16048							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	30-39	2024	V1-PERSISTENCIA	2019	20.733527	16.561099	15.880420	17.263925	13044	-4.172428	-0.201241	0	0	20.020518	21.439582	
NUCLEO	media	EDAD	30-39	2024	V2-TENDENCIA-2-OLAS	2014+2019	20.505220	16.561099	15.880420	17.263925	13044	-3.944121	-0.192347		0			
NUCLEO	media	EDAD	30-39	2024	V3-TENDENCIA-SERIE			16.561099	15.880420	17.263925	13044							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	40-59	2024	V1-PERSISTENCIA	2019	9.861126	6.790386	6.450958	7.151834	22075	-3.070740	-0.311399	0	0	9.467067	10.265434	
NUCLEO	media	EDAD	40-59	2024	V2-TENDENCIA-2-OLAS	2014+2019	9.533278	6.790386	6.450958	7.151834	22075	-2.742892	-0.287718		0			
NUCLEO	media	EDAD	40-59	2024	V3-TENDENCIA-SERIE			6.790386	6.450958	7.151834	22075							NO-APLICA: olas previas insuficientes
NUCLEO	media	EDAD	60-MAS	2024	V1-PERSISTENCIA	2019	6.916706	4.486871	4.173713	4.809264	13190	-2.429834	-0.351299	0	0	6.460938	7.387358	
NUCLEO	media	EDAD	60-MAS	2024	V2-TENDENCIA-2-OLAS	2014+2019	7.079967	4.486871	4.173713	4.809264	13190	-2.593095	-0.366258		0			
NUCLEO	media	EDAD	60-MAS	2024	V3-TENDENCIA-SERIE			4.486871	4.173713	4.809264	13190							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	HASTA-PRIMARIA	2024	V1-PERSISTENCIA	2019	9.400816	6.350887	5.969644	6.738717	19773	-3.049928	-0.324432	0	0	8.991840	9.814162	
NUCLEO	media	ESCOLARIDAD	HASTA-PRIMARIA	2024	V2-TENDENCIA-2-OLAS	2014+2019	8.299603	6.350887	5.969644	6.738717	19773	-1.948716	-0.234796		0			
NUCLEO	media	ESCOLARIDAD	HASTA-PRIMARIA	2024	V3-TENDENCIA-SERIE			6.350887	5.969644	6.738717	19773							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	SECUNDARIA	2024	V1-PERSISTENCIA	2019	13.652605	9.676591	9.206654	10.149536	22433	-3.976014	-0.291228	0	0	13.179051	14.123534	
NUCLEO	media	ESCOLARIDAD	SECUNDARIA	2024	V2-TENDENCIA-2-OLAS	2014+2019	13.456501	9.676591	9.206654	10.149536	22433	-3.779910	-0.280898		0			
NUCLEO	media	ESCOLARIDAD	SECUNDARIA	2024	V3-TENDENCIA-SERIE			9.676591	9.206654	10.149536	22433							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	MEDIA-SUPERIOR	2024	V1-PERSISTENCIA	2019	12.811758	10.097645	9.659619	10.546582	17693	-2.714113	-0.211845	0	0	12.308641	13.320027	
NUCLEO	media	ESCOLARIDAD	MEDIA-SUPERIOR	2024	V2-TENDENCIA-2-OLAS	2014+2019	12.748285	10.097645	9.659619	10.546582	17693	-2.650639	-0.207921		0			
NUCLEO	media	ESCOLARIDAD	MEDIA-SUPERIOR	2024	V3-TENDENCIA-SERIE			10.097645	9.659619	10.546582	17693							NO-APLICA: olas previas insuficientes
NUCLEO	media	ESCOLARIDAD	SUPERIOR	2024	V1-PERSISTENCIA	2019	11.693401	8.534749	8.079811	9.022188	14153	-3.158652	-0.270123	0	0	11.106985	12.304450	
NUCLEO	media	ESCOLARIDAD	SUPERIOR	2024	V2-TENDENCIA-2-OLAS	2014+2019	11.314081	8.534749	8.079811	9.022188	14153	-2.779332	-0.245652		0			
NUCLEO	media	ESCOLARIDAD	SUPERIOR	2024	V3-TENDENCIA-SERIE			8.534749	8.079811	9.022188	14153							NO-APLICA: olas previas insuficientes
NUCLEO	media	LOCALIDAD	URBANO	2024	V1-PERSISTENCIA	2019	11.487475	8.404092	8.124033	8.687978	55388	-3.083383	-0.268413	0	0	11.149117	11.828841	
NUCLEO	media	LOCALIDAD	URBANO	2024	V2-TENDENCIA-2-OLAS	2014+2019	10.808291	8.404092	8.124033	8.687978	55388	-2.404199	-0.222440		0			
NUCLEO	media	LOCALIDAD	URBANO	2024	V3-TENDENCIA-SERIE			8.404092	8.124033	8.687978	55388							NO-APLICA: olas previas insuficientes
NUCLEO	media	LOCALIDAD	RURAL	2024	V1-PERSISTENCIA	2019	13.545630	10.039328	9.291654	10.786259	18665	-3.506302	-0.258851	0	0	12.808872	14.286764	
NUCLEO	media	LOCALIDAD	RURAL	2024	V2-TENDENCIA-2-OLAS	2014+2019	14.542024	10.039328	9.291654	10.786259	18665	-4.502696	-0.309633		0			
NUCLEO	media	LOCALIDAD	RURAL	2024	V3-TENDENCIA-SERIE			10.039328	9.291654	10.786259	18665							NO-APLICA: olas previas insuficientes
NUCLEO	razon	NACIONAL	NAC	2019	V1-PERSISTENCIA	2014	0.218442	0.237911	0.230147	0.245555	27214	0.019469	0.089126	0	0	0.209553	0.227551	
NUCLEO	razon	NACIONAL	NAC	2019	V2-TENDENCIA-2-OLAS			0.237911	0.230147	0.245555	27214							NO-APLICA: olas previas insuficientes
NUCLEO	razon	NACIONAL	NAC	2019	V3-TENDENCIA-SERIE			0.237911	0.230147	0.245555	27214							NO-APLICA: olas previas insuficientes
NUCLEO	razon	NACIONAL	NAC	2024	V1-PERSISTENCIA	2019	0.237911	0.225534	0.215970	0.235196	29181	-0.012378	-0.052027	0	0	0.230147	0.245555	
NUCLEO	razon	NACIONAL	NAC	2024	V2-TENDENCIA-2-OLAS	2014+2019	0.257380	0.225534	0.215970	0.235196	29181	-0.031847	-0.123734		0			
NUCLEO	razon	NACIONAL	NAC	2024	V3-TENDENCIA-SERIE			0.225534	0.215970	0.235196	29181							NO-APLICA: olas previas insuficientes
MIN	media	NACIONAL	NAC	2019	V1-PERSISTENCIA	2014	12.056399	11.723523	11.412690	12.034890	71404	-0.332876	-0.027610	1	0	11.692875	12.417668	
MIN	media	NACIONAL	NAC	2019	V2-TENDENCIA-2-OLAS	2009+2014	14.187419	11.723523	11.412690	12.034890	71404	-2.463897	-0.173668		0			
MIN	media	NACIONAL	NAC	2019	V3-TENDENCIA-SERIE			11.723523	11.412690	12.034890	71404							NO-APLICA: olas previas insuficientes
MIN	media	SEXO	HOMBRE	2019	V1-PERSISTENCIA	2014	6.195851	6.250601	6.033296	6.465697	33506	0.054750	0.008837	1	1	5.951023	6.444582	
MIN	media	SEXO	HOMBRE	2019	V2-TENDENCIA-2-OLAS	2009+2014	7.870901	6.250601	6.033296	6.465697	33506	-1.620299	-0.205859		0			
MIN	media	SEXO	HOMBRE	2019	V3-TENDENCIA-SERIE			6.250601	6.033296	6.465697	33506							NO-APLICA: olas previas insuficientes
MIN	media	SEXO	MUJER	2019	V1-PERSISTENCIA	2014	17.299191	16.645407	16.197749	17.106280	37898	-0.653784	-0.037793	0	0	16.750478	17.847543	
MIN	media	SEXO	MUJER	2019	V2-TENDENCIA-2-OLAS	2009+2014	19.810776	16.645407	16.197749	17.106280	37898	-3.165368	-0.159780		0			
MIN	media	SEXO	MUJER	2019	V3-TENDENCIA-SERIE			16.645407	16.197749	17.106280	37898							NO-APLICA: olas previas insuficientes
MIN	media	EDAD	12-17	2019	V1-PERSISTENCIA	2014	4.714398	4.493389	4.171442	4.833865	9616	-0.221009	-0.046880	1	1	4.370103	5.074860	
MIN	media	EDAD	12-17	2019	V2-TENDENCIA-2-OLAS	2009+2014	6.144465	4.493389	4.171442	4.833865	9616	-1.651077	-0.268710		0			
MIN	media	EDAD	12-17	2019	V3-TENDENCIA-SERIE			4.493389	4.171442	4.833865	9616							NO-APLICA: olas previas insuficientes
MIN	media	EDAD	18-29	2019	V1-PERSISTENCIA	2014	15.574634	15.652982	15.106591	16.219482	16697	0.078349	0.005031	1	1	14.937546	16.234756	
MIN	media	EDAD	18-29	2019	V2-TENDENCIA-2-OLAS	2009+2014	18.050393	15.652982	15.106591	16.219482	16697	-2.397411	-0.132818		0			
MIN	media	EDAD	18-29	2019	V3-TENDENCIA-SERIE			15.652982	15.106591	16.219482	16697							NO-APLICA: olas previas insuficientes
MIN	media	EDAD	30-39	2019	V1-PERSISTENCIA	2014	20.662896	20.372886	19.669832	21.070838	12242	-0.290010	-0.014035	1	1	19.902172	21.448003	
MIN	media	EDAD	30-39	2019	V2-TENDENCIA-2-OLAS	2009+2014	23.292595	20.372886	19.669832	21.070838	12242	-2.919709	-0.125349		0			
MIN	media	EDAD	30-39	2019	V3-TENDENCIA-SERIE			20.372886	19.669832	21.070838	12242							NO-APLICA: olas previas insuficientes
