anio_hecho	ola_encuesta	p_c1_u1	ic95_boot_lo	ic95_boot_hi	n_u1	unidad	ponderador	reactivo	formato	comparabilidad	calc_id	result_id_punto
2010	2011	0.293290562046	0.274311767772	0.312793500845	13015	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_21	DBF	INSTRUMENTACION-NOMINAL-Y-RESIDUALES	CALC-ENVIPE-SERIE-2011	RESULT-ENVIPE-SERIE-2011-P-C1-U1
2011	2012	0.295572410468	0.278911347592	0.312171924721	14532	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	DBF	NINGUNA-EN-C1-U1	CALC-R-CIV-M-01	RESULT-R-CIV-M-01-P-C1-U1
2012	2013	0.293082069376	0.276097441631	0.310009003924	16411	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	DBF	NINGUNA-EN-C1-U1	CALC-R-CIV-M-02	RESULT-R-CIV-M-02-P-C1-U1
2013	2014	0.320293332364	0.301008408612	0.340626314688	16855	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	DBF	NINGUNA-EN-C1-U1	CALC-ENVIPE-SERIE-2014	RESULT-ENVIPE-SERIE-2014-P-C1-U1
2014	2015	0.285205420415	0.267635040811	0.305203468701	17393	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	DBF	NINGUNA-EN-C1-U1	CALC-R-CIV-M-04	RESULT-R-CIV-M-04-P-C1-U1
2015	2016	0.267849566847	0.255041993692	0.281044937168	16242	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	DBF	NINGUNA-EN-C1-U1	CALC-ENVIPE-SERIE-2016	RESULT-ENVIPE-SERIE-2016-P-C1-U1
2016	2017	0.256353101008	0.243751989320	0.268999261564	18905	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	DBF	NINGUNA-EN-C1-U1	CALC-ENVIPE-SERIE-2017	RESULT-ENVIPE-SERIE-2017-P-C1-U1
2017	2018	0.262354570843	0.245131106725	0.280354074699	19651	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	CSV	NINGUNA-EN-C1-U1	CALC-ENVIPE-SERIE-2018	RESULT-ENVIPE-SERIE-2018-P-C1-U1
2018	2019	0.276248236412	0.262948332621	0.288910094276	18981	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	CSV	NINGUNA-EN-C1-U1	CALC-ENVIPE-SERIE-2019	RESULT-ENVIPE-SERIE-2019-P-C1-U1
2019	2020	0.236757675475	0.223526655061	0.251013049631	16164	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	CSV	NINGUNA-EN-C1-U1	CALC-ENVIPE-SERIE-2020	RESULT-ENVIPE-SERIE-2020-P-C1-U1
2020	2021	0.239889932104	0.228350003005	0.251225978230	16798	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	CSV	NINGUNA-EN-C1-U1	CALC-R-CIV-M-10	RESULT-R-CIV-M-10-P-C1-U1
2021	2022	0.249388968237	0.236995028902	0.262793333066	16241	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	CSV	NINGUNA-EN-C1-U1	CALC-ENVIPE-SERIE-2022	RESULT-ENVIPE-SERIE-2022-P-C1-U1
2022	2023	0.243799317519	0.232411106714	0.255910902943	16283	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	CSV	NINGUNA-EN-C1-U1	CALC-R-CIV-M-12	RESULT-R-CIV-M-12-P-C1-U1
2023	2024	0.226944801403	0.213111992628	0.241137080766	17297	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	CSV	NINGUNA-EN-C1-U1	CALC-R-CIV-M-13	RESULT-R-CIV-M-13-P-C1-U1
2024	2025	0.231688634945	0.219191019862	0.244461911456	20225	DELITO-PERSONAL-NO-DENUNCIADO	FAC_DEL	BP1_23	CSV	NINGUNA-EN-C1-U1	CALC-ENVIPE-0001	RESULT-ENVIPE-DEN-P-C1-U1
