# DERIVADO — NO EDITAR
corrida_id	instrumento	payload_ids	medidor_o_spec_candidato	n_resultados	resultados_ids	entorno_requerido	receta	orden_causal
CORR-0001	ENCIG2023	NO-DECLARADO-EN-EL-REGISTRO	SIN-CANDIDATO-EN-EL-REGISTRO	4	RES-0001;RES-0002;RES-0007;RES-0008	INDECIDIBLE-SIN-SPEC	SIN-RECETA	3
CORR-0002	ENCIG2025	encig25_base_datos_csv	SIN-CANDIDATO-EN-EL-REGISTRO	12	RES-0003;RES-0004;RES-0009;RES-0010;RES-0011;RES-0012;RES-0013;RES-0014;RES-0015;RES-0016;RES-0021;RES-0022	CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0003	ENCUCI2020	encuci2020_bd_dbf	SIN-CANDIDATO-EN-EL-REGISTRO	4	RES-0005;RES-0006;RES-0061;RES-0062	CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0004	validacion:CoDi	NO-DECLARADO-EN-EL-REGISTRO	SIN-CANDIDATO-EN-EL-REGISTRO	2	RES-0017;RES-0018	INDECIDIBLE-SIN-SPEC	SIN-RECETA	3
CORR-0005	validacion:SPEI	NO-DECLARADO-EN-EL-REGISTRO	SIN-CANDIDATO-EN-EL-REGISTRO	2	RES-0019;RES-0020	INDECIDIBLE-SIN-SPEC	SIN-RECETA	3
CORR-0006	report:politica	NO-DECLARADO-EN-EL-REGISTRO	SIN-CANDIDATO-EN-EL-REGISTRO	2	RES-0023;RES-0024	INDECIDIBLE-SIN-SPEC	SIN-RECETA	3
CORR-0007	ENVIPE2025	envipe2025_csv	SIN-CANDIDATO-EN-EL-REGISTRO	8	RES-0025;RES-0026;RES-0027;RES-0028;RES-0039;RES-0040;RES-0041;RES-0042	CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0008	ENNViH/MxFLS_olas2-3	NO-LOCALIZADO -- data/manifiesto.yaml declara 'ningun archivo de ENNViH se ha descargado ni se registra aqui' (id ennvih_mxfls_licencia, procedencia.yaml:84-95) pese a que el ZIP fisico existe en data/raw/ennvih/ y ya fue usado por CAL-G3-PUNTUAL	SIN-CANDIDATO-EN-EL-REGISTRO	2	RES-0029;RES-0030	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	SIN-RECETA	1
CORR-0009	ENIF2024	enif_2024_enif_2024_bd_csv	SIN-CANDIDATO-EN-EL-REGISTRO	9	RES-0031;RES-0032;RES-0046;RES-0048;RES-0057;RES-0058;RES-0059;RES-0060;RES-0065	CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0010	ENIF2024	NO-LOCALIZADO -- se uso data/raw/enif_2024_bd_csv.zip (trae TMODULO.csv con FILTRO_S9_1/P9_9_4/FAC_PER/EDAD_V); el id de manifiesto enif2024_csv apunta a un ZIP distinto (data/raw/enif2024_csv.zip) sin estas columnas confirmadas en este acto	SIN-CANDIDATO-EN-EL-REGISTRO	2	RES-0033;RES-0034	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	SIN-RECETA	1
CORR-0011	AMBIGUA	enigh2022_nc_csv	SIN-CANDIDATO-EN-EL-REGISTRO	2	RES-0035;RES-0036	CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0012	ENFIH2019	enfih2019_bd_csv_zip	SIN-CANDIDATO-EN-EL-REGISTRO	2	RES-0037;RES-0038	CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0013	EDER2017	eder_2017_eder2017_bases_csv	SIN-CANDIDATO-EN-EL-REGISTRO	2	RES-0043;RES-0044	CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0014	ENUT2024	enut2024_bd_csv	SIN-CANDIDATO-EN-EL-REGISTRO	1	RES-0045	CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0015	ENIF2024	enif_2024_enif_2024_bd_csv	SIN-CANDIDATO-EN-EL-REGISTRO	7	RES-0047;RES-0049;RES-0053;RES-0054;RES-0055;RES-0056;RES-0066	CAJA	PARCIAL:script+spec+spec_sha	3
CORR-0016	data/l8-resultados-tipo-boleta-v1_0.json	NO-DECLARADO-EN-EL-REGISTRO	SIN-CANDIDATO-EN-EL-REGISTRO	3	RES-0050;RES-0051;RES-0052	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	SIN-RECETA	1
