edicion_archivo,periodo,sector,producto,conteo_reclamaciones,n_instituciones,participacion_dentro_edicion_pct,unidad,nota
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,banca por internet,23608,30,0.9646395534,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,crédito automotriz,4988,4,0.2038132028,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,crédito de nómina,6885,8,0.2813259626,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,crédito en cuenta corriente,137,10,0.0055979168,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,crédito hipotecario,8102,4,0.3310534421,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,crédito para pesionados y jubilados,1592,4,0.0650502444,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,crédito personal,90169,15,3.6843690228,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,crédito simple para personas físicas,0,11,0,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,crédito simple para personas morales,0,11,0,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef,NO_INCLUIDO_EN_CSV,instituciones de banca múltiple,cuenta de nómina,22913,15,0.9362413626,reclamaciones por institución-producto,corte temporal ausente del payload; comparar ediciones como serie sería una inferencia no documentada
