tipo,calc_id,instrumento,version,pais,universo,dominio_id,dominio,clasificacion,n_elegible,masa_elegible_peso_utilizable,n,masa,cobertura_ponderada_valida,precision,estado
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",VALIDA,1002,1002.000000000000,983,983.000000000000,0.981037924152,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",NO_PUEDE_ELEGIR,1002,1002.000000000000,18,18.000000000000,0.981037924152,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",NO_RESPUESTA,1002,1002.000000000000,1,1.000000000000,0.981037924152,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",PESO_INVALIDO,1002,1002.000000000000,0,,0.981037924152,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,VALIDA,487,487.000000000000,478,478.000000000000,0.981519507187,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,NO_PUEDE_ELEGIR,487,487.000000000000,9,9.000000000000,0.981519507187,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,NO_RESPUESTA,487,487.000000000000,0,0.000000000000,0.981519507187,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,PESO_INVALIDO,487,487.000000000000,0,,0.981519507187,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,VALIDA,515,515.000000000000,505,505.000000000000,0.980582524272,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,NO_PUEDE_ELEGIR,515,515.000000000000,9,9.000000000000,0.980582524272,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,NO_RESPUESTA,515,515.000000000000,1,1.000000000000,0.980582524272,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
RESULT,CALC-ISSP2017-APOYO-MONETARIO-0001,"ISSP 2017 Social Networks and Social Resources, México, Q8a",ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,PESO_INVALIDO,515,515.000000000000,0,,0.980582524272,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK
