calc_id,variable,pregunta_integrada_exacta,ponderador,universo_elegible,dominio_id,dominio,codigo,categoria_integrada,categoria_mexico,n_elegible,masa_elegible,n_no_puede_elegir,n_no_respuesta,n_peso_invalido,n_denominador_valido,masa_denominador_valido,n_categoria,masa_categoria,porcentaje,unidad_punto,precision
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",1,Family members or close friends,Familiares o amigos cercanos,1002,1002.000000000000,18,1,0,983,983.000000000000,491,491.000000000000,49.949135300102,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",2,Other persons,Otras personas,1002,1002.000000000000,18,1,0,983,983.000000000000,135,135.000000000000,13.733468972533,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",3,Private companies,Compañías privadas,1002,1002.000000000000,18,1,0,983,983.000000000000,165,165.000000000000,16.785350966429,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",4,Public services,Servicios públicos,1002,1002.000000000000,18,1,0,983,983.000000000000,83,83.000000000000,8.443540183113,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",5,Non-profit or religious organisations,Organizaciones sin fines de lucro o religiosas,1002,1002.000000000000,18,1,0,983,983.000000000000,20,20.000000000000,2.034587995931,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",6,Other organisations,Otras organizaciones,1002,1002.000000000000,18,1,0,983,983.000000000000,50,50.000000000000,5.086469989827,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",TOTAL,"México, personas adultas",7,No person or organisation,Ninguna persona u organización,1002,1002.000000000000,18,1,0,983,983.000000000000,39,39.000000000000,3.967446592065,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,1,Family members or close friends,Familiares o amigos cercanos,487,487.000000000000,9,0,0,478,478.000000000000,235,235.000000000000,49.163179916318,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,2,Other persons,Otras personas,487,487.000000000000,9,0,0,478,478.000000000000,72,72.000000000000,15.062761506276,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,3,Private companies,Compañías privadas,487,487.000000000000,9,0,0,478,478.000000000000,82,82.000000000000,17.154811715481,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
