ola	cruce	categoria_a	categoria_b	n_tramites	personas	personas_evento	personas_no_evento	solape	num_w	den_w	p	p_ee	p_ic_lo	p_ic_hi	delta	delta_ee	delta_ic_lo	delta_ic_hi	b_validas	causa
2023	SEXO-EDAD	1	18-29	1672	1672	1099	573	0	5114383.0	7982334.0	0.6407127288835571	0.019488457590667557	0.6021515783443059	0.6788263821155597	-0.05311462195997518	0.05308358956350607	-0.15571823173044536	0.053402393211172	10000	OK
2023	SEXO-EDAD	1	30-44	3460	3460	2443	1017	0	12243129.0	18150982.0	0.6745160675053283	0.013126576434220556	0.6482538405902688	0.69988069582415	0.01679633575539652	0.03338149496070867	-0.04699291302241895	0.08338326337190431	10000	OK
2023	SEXO-EDAD	1	45-59	2928	2928	1747	1181	0	9562742.0	16854188.0	0.5673807602003728	0.014229510807119827	0.5390442661013349	0.5945113080275014	0.054375227844363105	0.03370552524154009	-0.01228592259457382	0.12040875414374062	10000	OK
2023	SEXO-EDAD	1	60-96	2296	2296	1069	1227	0	5195900.0	12560256.0	0.4136778740815474	0.01578276266551531	0.382853854858455	0.44473423456318495	-0.01138094208884366	0.037913060873594945	-0.08570461055341959	0.06285420529459855	10000	OK
2023	SEXO-EDAD	2	18-29	1644	1644	1071	573	0	4715855.0	7478273.0	0.6306074945378431	0.01918960978977442	0.5928963788666286	0.6672476879970749	0.056838956672141616	0.0558859588924088	-0.05175346888664229	0.1682639186260222	10000	OK
2023	SEXO-EDAD	2	30-44	3542	3542	2348	1194	0	10427430.0	16502307.0	0.631877106637272	0.012414185805612148	0.6078895579047805	0.6561092413316967	-0.01801931615875202	0.034033673755941886	-0.0840089371240269	0.04897440699499891	10000	OK
2023	SEXO-EDAD	2	45-59	3182	3182	1762	1420	0	9046434.0	17892440.0	0.5056009130113054	0.01385889394747674	0.4788117404936469	0.5331524716468897	-0.04080415375209068	0.03083731287958882	-0.10027678465422488	0.020474769929751134	10000	OK
2023	SEXO-EDAD	2	60-96	2103	2103	839	1264	0	3669603.0	9686489.0	0.3788372649780535	0.01684867238266122	0.3456948154146649	0.4118717453016649	-0.003496902583746686	0.05079337817569745	-0.10499096628414029	0.09435873149101234	10000	OK
2023	SEXO-ESCOLARIDAD	1	HASTA-PRIMARIA	1239	1239	438	801	0	1979191.0	6540482.0	0.3026062910959773	0.0199070226440371	0.26427720327901766	0.34259958251236067	-0.11672570728297724	0.06567919620677742	-0.24979852177459555	0.009472704139257486	10000	OK
2023	SEXO-ESCOLARIDAD	1	SECUNDARIA	2261	2261	1138	1123	0	5678272.0	12430792.0	0.4567908464722119	0.0156503282356638	0.4258895380579752	0.4878051241943855	-0.000344649005375286	0.03925029809156671	-0.07648429776578876	0.07729106147160787	10000	OK
2023	SEXO-ESCOLARIDAD	1	MEDIA-SUPERIOR	2775	2775	1736	1039	0	8892186.0	15456051.0	0.5753206947880801	0.015437371363003069	0.5449423389002247	0.6053255646088411	0.0016436787999497549	0.03511301153242849	-0.06522187723772925	0.07150924471002046	10000	OK
2023	SEXO-ESCOLARIDAD	1	SUPERIOR	4132	4132	3080	1052	0	15740366.0	21432993.0	0.7343988774689564	0.011701926247801479	0.7107917213226779	0.756609662929856	-0.05154731513235364	0.032144370238994566	-0.11299206402771098	0.01146012757031831	10000	OK
2023	SEXO-ESCOLARIDAD	2	HASTA-PRIMARIA	1454	1454	470	984	0	2415206.0	7538939.0	0.3203641785667718	0.019511126148382595	0.28256537307280993	0.35927552349731934	0.11513960884219013	0.05488420207609807	0.005449893289353124	0.22007038522903935	10000	OK
2023	SEXO-ESCOLARIDAD	2	SECUNDARIA	2333	2333	1086	1247	0	5046044.0	11994903.0	0.42068235149546435	0.015659881536056224	0.3901463103662981	0.45161995908802705	0.001997740229376599	0.04128618028721993	-0.08069970069394114	0.08155363680177091	10000	OK
2023	SEXO-ESCOLARIDAD	2	MEDIA-SUPERIOR	2978	2978	1717	1261	0	8164795.0	15154752.0	0.5387613733302927	0.014628737659631543	0.510199762212994	0.5677970935950971	0.0024540711493098444	0.03484234642195681	-0.0656318233891547	0.0697019910624609	10000	OK
2023	SEXO-ESCOLARIDAD	2	SUPERIOR	3762	3762	2787	975	0	12425308.0	17130111.0	0.7253489484102	0.011787230812866714	0.7020610208053987	0.7481161599947167	0.05159396191323509	0.03928621239866974	-0.021421887529745755	0.13101034647106843	10000	OK
2023	EDAD-ESCOLARIDAD	18-29	HASTA-PRIMARIA	70	70	35	35	0	155926.0	322556.0	0.4834075323354704	0.0834853411498405	0.319927308999734	0.6463945806960095	0.4197042845652326	0.33790837963451226	-0.2502699698310175	1.0682209328169794	10000	OK
2023	EDAD-ESCOLARIDAD	18-29	SECUNDARIA	559	559	285	274	0	1202007.0	2473998.0	0.4858560920421116	0.03362765918645613	0.4203652732894603	0.5525570698447271	-0.12511025141646465	0.1173661833208824	-0.3499870285510063	0.11059946747260165	10000	OK
2023	EDAD-ESCOLARIDAD	18-29	MEDIA-SUPERIOR	1171	1171	699	472	0	3351442.0	5697167.0	0.5882646585574901	0.02345278452842635	0.54170212607117	0.6329898578666577	-0.1886371428083276	0.06998013171497992	-0.32520140701293876	-0.04796023892112422	10000	OK
2023	EDAD-ESCOLARIDAD	18-29	SUPERIOR	1516	1516	1151	365	0	5120863.0	6966886.0	0.7350289641598844	0.01960060959152422	0.6960773482822913	0.7731020328095717	-0.2952582841278362	0.07235926603688332	-0.4290787599420797	-0.1471171502239964	10000	OK
2023	EDAD-ESCOLARIDAD	30-44	HASTA-PRIMARIA	391	391	159	232	0	797904.0	2117699.0	0.3767787584543412	0.03859118154727144	0.30243925868376687	0.4531815966118853	-0.09745738875274429	0.1450273128966518	-0.3918883978978869	0.1744034753715407	10000	OK
2023	EDAD-ESCOLARIDAD	30-44	SECUNDARIA	1568	1568	827	741	0	3625287.0	7687164.0	0.47160266126753636	0.01986549036841978	0.4323057308249036	0.5107238021945392	-0.26254375829095306	0.058829744714820394	-0.37877082321341976	-0.14788338704490822	10000	OK
2023	EDAD-ESCOLARIDAD	30-44	MEDIA-SUPERIOR	1896	1896	1280	616	0	6343924.0	9883262.0	0.6418856446383795	0.018036313434890823	0.6062292283751407	0.6776547050622449	-0.04218803291131262	0.055892954712488827	-0.14905489149123044	0.06899197866230895	10000	OK
2023	EDAD-ESCOLARIDAD	30-44	SUPERIOR	3147	3147	2525	622	0	11903444.0	14965164.0	0.7954101939678042	0.011522386107644405	0.7724871885204678	0.8179706394465851	-0.03800925993997223	0.05232477095595381	-0.1374420040548675	0.06761882709940231	10000	OK
2023	EDAD-ESCOLARIDAD	45-59	HASTA-PRIMARIA	803	803	308	495	0	1651762.0	4495744.0	0.3674057063747402	0.026946131941414816	0.3154206572261557	0.4204529745719205	0.35751210154570306	0.0865740273639374	0.17962660815142512	0.5232149571143411	10000	OK
2023	EDAD-ESCOLARIDAD	45-59	SECUNDARIA	1614	1614	780	834	0	4186754.0	9608773.0	0.43572202194806764	0.018427158164881732	0.4001059436092684	0.4724208964704471	0.08771410804100196	0.050544844963069394	-0.013223131733037272	0.185618155565776	10000	OK
2023	EDAD-ESCOLARIDAD	45-59	MEDIA-SUPERIOR	1740	1740	988	752	0	5217056.0	10145312.0	0.5142331748890522	0.019662648335148424	0.4766616276268507	0.553195570439374	-0.07370908299935292	0.050881882376613514	-0.17227526223537956	0.026565348354294412	10000	OK
2023	EDAD-ESCOLARIDAD	45-59	SUPERIOR	1953	1953	1433	520	0	7553604.0	10496799.0	0.7196102354632112	0.017183512632885905	0.6859107197681895	0.7530952797798558	0.041757559139372014	0.061980805685067655	-0.0743773530699475	0.16742097490238544	10000	OK
2023	EDAD-ESCOLARIDAD	60-96	HASTA-PRIMARIA	1408	1408	394	1014	0	1711884.0	7013273.0	0.24409202379545186	0.017618217405251085	0.21026795155541206	0.2794063008148103	0.32469855242258544	0.06901248628887117	0.18642767727579854	0.4573215477391636	10000	OK
2023	EDAD-ESCOLARIDAD	60-96	SECUNDARIA	837	837	321	516	0	1659199.0	4577651.0	0.36245642142662254	0.025346496083653622	0.31386779711926066	0.41257209479097134	0.3357364566702352	0.08894586082326986	0.15713062371987752	0.5013708683883649	10000	OK
