estrategia_a,estrategia_b,n_dos_validas,masa_dos_validas,cobertura_masa,p_ambas_dos_validas,p_ambas_vector_completo,diferencia,ee_diferencia,ic95_lo_diferencia,ic95_hi_diferencia,estado
P6_10_1,P6_10_2,6224,28288447.0,1.0,0.121021984699,0.121021984699,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_1,P6_10_3,6224,28288447.0,1.0,0.275532905712,0.275532905712,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_1,P6_10_4,6224,28288447.0,1.0,0.053986243925,0.053986243925,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_1,P6_10_5,6224,28288447.0,1.0,0.051144412417,0.051144412417,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_1,P6_10_6,6224,28288447.0,1.0,0.031814648574,0.031814648574,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_1,P6_10_7,6224,28288447.0,1.0,0.059182145983,0.059182145983,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_1,P6_10_8,6224,28288447.0,1.0,0.011429294793,0.011429294793,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_2,P6_10_3,6224,28288447.0,1.0,0.264782828128,0.264782828128,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_2,P6_10_4,6224,28288447.0,1.0,0.038148965901,0.038148965901,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_2,P6_10_5,6224,28288447.0,1.0,0.046483534427,0.046483534427,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_2,P6_10_6,6224,28288447.0,1.0,0.035187615637,0.035187615637,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_2,P6_10_7,6224,28288447.0,1.0,0.045900222094,0.045900222094,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_2,P6_10_8,6224,28288447.0,1.0,0.006699024517,0.006699024517,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_3,P6_10_4,6224,28288447.0,1.0,0.077858674957,0.077858674957,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_3,P6_10_5,6224,28288447.0,1.0,0.081173738523,0.081173738523,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_3,P6_10_6,6224,28288447.0,1.0,0.075154037265,0.075154037265,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_3,P6_10_7,6224,28288447.0,1.0,0.081423416422,0.081423416422,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_3,P6_10_8,6224,28288447.0,1.0,0.014524657363,0.014524657363,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_4,P6_10_5,6224,28288447.0,1.0,0.018803294504,0.018803294504,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_4,P6_10_6,6224,28288447.0,1.0,0.014036330803,0.014036330803,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_4,P6_10_7,6224,28288447.0,1.0,0.024717652404,0.024717652404,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_4,P6_10_8,6224,28288447.0,1.0,0.0048843261,0.0048843261,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_5,P6_10_6,6224,28288447.0,1.0,0.014569976217,0.014569976217,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_5,P6_10_7,6224,28288447.0,1.0,0.025129834805,0.025129834805,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_5,P6_10_8,6224,28288447.0,1.0,0.005396160489,0.005396160489,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_6,P6_10_7,6224,28288447.0,1.0,0.026816247636,0.026816247636,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_6,P6_10_8,6224,28288447.0,1.0,0.00395451189,0.00395451189,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
P6_10_7,P6_10_8,6224,28288447.0,1.0,0.009184844965,0.009184844965,0.0,0.0,0.0,0.0,ESTIMABLE:T95-INFLUENCIA-CONJUNTA
