estrategia_a,estrategia_b,n00_masa,n01_masa,n10_masa,n11_masa,denominador,p_ambas,p_b_dado_a,p_a_dado_b,ee,ic95_lo,ic95_hi,estado
P6_10_1,P6_10_2,10906305.0,5618033.0,8340585.0,3423524.0,28288447.0,0.121021984699,0.291014304611,0.378643191654,0.007064515771,0.107169432455,0.134874536944,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_3,4995755.0,11528583.0,3969711.0,7794398.0,28288447.0,0.275532905712,0.662557444852,0.403374510382,0.008680107293,0.258512398764,0.292553412661,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_4,15297265.0,1227073.0,10236922.0,1527187.0,28288447.0,0.053986243925,0.12981748129,0.554481784581,0.004697082236,0.044775906064,0.063196581786,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_5,15027852.0,1496486.0,10317313.0,1446796.0,28288447.0,0.051144412417,0.122983899588,0.491558742927,0.004075806761,0.043152311058,0.059136513776,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_6,14516473.0,2007865.0,10864122.0,899987.0,28288447.0,0.031814648574,0.076502776368,0.309502340559,0.00340034508,0.025147035477,0.03848226167,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_7,15348704.0,1175634.0,10089938.0,1674171.0,28288447.0,0.059182145983,0.142311755187,0.587468616274,0.004364114233,0.05062471298,0.067739578987,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_8,16249238.0,275100.0,11440792.0,323317.0,28288447.0,0.011429294793,0.027483339367,0.540287124196,0.001541278849,0.00840705711,0.014451532476,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_3,7414204.0,11832686.0,1551262.0,7490295.0,28288447.0,0.264782828128,0.828429771554,0.387636617766,0.010787394057,0.243630219145,0.28593543711,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_4,17571805.0,1675085.0,7962382.0,1079175.0,28288447.0,0.038148965901,0.119357208056,0.391820307451,0.00412295492,0.03006441343,0.046233518372,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_5,17618555.0,1628335.0,7726610.0,1314947.0,28288447.0,0.046483534427,0.145433690237,0.446762151911,0.003627809635,0.039369894351,0.053597174503,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_6,17334441.0,1912449.0,8046154.0,995403.0,28288447.0,0.035187615637,0.110091989687,0.342315564891,0.00348798208,0.028348158332,0.042027072942,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_7,17695531.0,1551359.0,7743111.0,1298446.0,28288447.0,0.045900222094,0.14360867271,0.455626262148,0.004198051597,0.037668415278,0.05413202891,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_8,18837978.0,408912.0,8852052.0,189505.0,28288447.0,0.006699024517,0.020959332557,0.316677166591,0.001105363569,0.004531557264,0.00886649177,ESTIMABLE:T95-LINEALIZACION
P6_10_3,P6_10_4,8413707.0,551759.0,17120480.0,2202501.0,28288447.0,0.077858674957,0.113983499751,0.799670691946,0.005594629276,0.066888369722,0.088828980191,ESTIMABLE:T95-LINEALIZACION
P6_10_3,P6_10_5,8318463.0,647003.0,17026702.0,2296279.0,28288447.0,0.081173738523,0.118836684671,0.780176347356,0.004945620753,0.071476050517,0.090871426529,ESTIMABLE:T95-LINEALIZACION
P6_10_3,P6_10_6,8183605.0,781861.0,17196990.0,2125991.0,28288447.0,0.075154037265,0.110023965764,0.731120772309,0.012694698679,0.050261463962,0.100046610567,ESTIMABLE:T95-LINEALIZACION
P6_10_3,P6_10_7,8419003.0,546463.0,17019639.0,2303342.0,28288447.0,0.081423416422,0.119202207982,0.808245476445,0.005643088997,0.070358088283,0.09248874456,ESTIMABLE:T95-LINEALIZACION
