worker_id	necesidad_id	fuente_canonica	objeto_evidencia_id	estado_anterior	estado_propuesto	tipo_resultado	evidencia_ref	evidencia_localizador	evidencia_explicita	razon	reserva_incertidumbre	requiere_decision_humana	siguiente_accion
worker-4	N1	ENCIG	OE-27a5b3ff4507764a40380904	CANDIDATA	CANDIDATA	EVIDENCIA_INSUFICIENTE	MAIN:README.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Relación entre confianza en servidores públicos y pago de mordida en la misma muestra.	Relación entre confianza en servidores públicos y pago de mordida en la misma muestra.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	Hay corpus ENCIG local, pero esta relación no trae localizador de reactivo y emparejamiento explícito para la necesidad.	NO	Abrir diccionario/cuestionario ENCIG local y registrar variables, tabla, llave de unión y universo aplicable a esta necesidad.
worker-4	N2	GPS	OE-8a46899fd75017e0dac7eacf	CANDIDATA	CANDIDATA	BLOQUEO	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3	APERTURA_INDETERMINADA	Solo existe ficha/indexación; no se abrió evidencia concreta suficiente en esta ronda.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	La ficha confirma constructos generales, pero faltan codebook, texto/codificación, n México y desenlace coobservado; la descarga exige aceptar licencia.	NO	Obtener autorización de licencia y abrir codebook/archivo México; localizar el par reactivo–desenlace exacto.
worker-4	N3	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	OE-0b4087e3279cfa0fe5c27919	CANDIDATA	CANDIDATA	EVIDENCIA_INSUFICIENTE	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L4	INDEXADO-NO-DESCARGADO	INDEXADO-NO-DESCARGADO	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	El RCT está indexado y documenta crédito/outcomes, pero no se abrió codebook ni se encontró reactivo explícito del constructo de N3.	NO	Abrir codebook OpenICPSR y buscar el reactivo exacto de sensibilidad de estatus; no inferirlo desde gasto o bienestar.
worker-4	N4	GPS	OE-beccef6f2f8cbed3a574285d	CANDIDATA	CANDIDATA	BLOQUEO	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3	APERTURA_INDETERMINADA	Solo existe ficha/indexación; no se abrió evidencia concreta suficiente en esta ronda.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	La ficha confirma constructos generales, pero faltan codebook, texto/codificación, n México y desenlace coobservado; la descarga exige aceptar licencia.	NO	Obtener autorización de licencia y abrir codebook/archivo México; localizar el par reactivo–desenlace exacto.
worker-4	N5	FINANZAS	OE-6307d64ad71090b293815f82	CANDIDATA	CANDIDATA	EVIDENCIA_INSUFICIENTE	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	La referencia formula una necesidad o hipótesis financiera, pero no identifica un instrumento/payload único ni una variable verificable.	NO	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.
worker-4	N5	GPS	OE-c06b564e1c2bf918fe1e6268	CANDIDATA	CANDIDATA	BLOQUEO	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3	APERTURA_INDETERMINADA	Solo existe ficha/indexación; no se abrió evidencia concreta suficiente en esta ronda.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	La ficha confirma constructos generales, pero faltan codebook, texto/codificación, n México y desenlace coobservado; la descarga exige aceptar licencia.	NO	Obtener autorización de licencia y abrir codebook/archivo México; localizar el par reactivo–desenlace exacto.
worker-4	N6	FINANZAS	OE-970f5d310c82d233016d272d	CANDIDATA	CANDIDATA	EVIDENCIA_INSUFICIENTE	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/mapa-ext-general-2026-08-06.tsv;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	La referencia formula una necesidad o hipótesis financiera, pero no identifica un instrumento/payload único ni una variable verificable.	NO	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.
worker-4	N6	GPS	OE-b8aa8e44f3c2ce01baa1541e	CANDIDATA	CANDIDATA	BLOQUEO	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3	APERTURA_INDETERMINADA	Solo existe ficha/indexación; no se abrió evidencia concreta suficiente en esta ronda.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	La ficha confirma constructos generales, pero faltan codebook, texto/codificación, n México y desenlace coobservado; la descarga exige aceptar licencia.	NO	Obtener autorización de licencia y abrir codebook/archivo México; localizar el par reactivo–desenlace exacto.
worker-4	N8	ENCIG	OE-819aa50dad79d83364ba8f0f	CANDIDATA	CANDIDATA	EVIDENCIA_INSUFICIENTE	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	Hay corpus ENCIG local, pero esta relación no trae localizador de reactivo y emparejamiento explícito para la necesidad.	NO	Abrir diccionario/cuestionario ENCIG local y registrar variables, tabla, llave de unión y universo aplicable a esta necesidad.
worker-4	N14	01-	OE-138ce4f6be7cb2ddb42c982a	CANDIDATA	CANDIDATA	EVIDENCIA_INSUFICIENTE	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	La etiqueta/fuente no aporta en esta fila un payload e instrumento concreto con las variables requeridas.	NO	Resolver a un payload canónico local y abrir tabla/diccionario con unidad, periodo y variables de exposición y desenlace.
worker-4	N14	FINANZAS	OE-8b29fa956cf1685100bd55ee	CANDIDATA	CANDIDATA	EVIDENCIA_INSUFICIENTE	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	No se cambia el estado: la evidencia disponible no satisface el umbral de confirmación ni permite una ausencia delimitada.	La referencia formula una necesidad o hipótesis financiera, pero no identifica un instrumento/payload único ni una variable verificable.	NO	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.
worker-4	N15	ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	OE-cdf2629bb15a3bcdec46740a	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:data/mapa-ext-general-2026-08-06.tsv:L18	no en un microdato público normalizado	El estudio documenta estrategias de rechazo en muestra puntual, pero no un instrumento con diseño muestral publicado y desenlace G6 coobservable.	El estudio documenta estrategias de rechazo en muestra puntual, pero no un instrumento con diseño muestral publicado y desenlace G6 coobservable.	Ausencia delimitada al documento/archivo descrito; no afirma inexistencia en otras fuentes o versiones.	NO	Conservar como negativa fuente-específica; reabrir solo ante un payload distinto que contenga la variable faltante.
