worker_id	necesidad_id	fuente_canonica	objeto_evidencia_id	estado_anterior	estado_propuesto	tipo_resultado	evidencia_ref	evidencia_localizador	evidencia_explicita	razon	reserva_incertidumbre	requiere_decision_humana	siguiente_accion
worker-1	N2	ISSP	OE-e98c88fd0bd8f8493cef061f	CANDIDATA	CANDIDATA	BLOQUEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L8	INDEXADO-NO-DESCARGADO	La fuente está indexada pero el cuestionario o codebook México 2017 no está descargado.	No puede verificarse el reactivo ni su coobservación con el desenlace requerido.	Falta instrumento local.	NO	Obtener el codebook México 2017 ya identificado y localizar reactivo y desenlace en la misma unidad.
worker-1	N2	ISSP	OE-f0df762d8d95ea4d04b39ef2	CANDIDATA	CANDIDATA	CARENCIA_PRECISA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	El mapa identifica ISSP Social Networks 2017 pero no abre variables.	La referencia temática no demuestra la relación concreta.	Sin texto, codificación ni muestra mexicana verificable.	NO	Abrir el codebook México 2017 y documentar variable, escala y desenlace coobservado.
worker-1	N3	ISSP	OE-9de1114d76ce882ed34bf8e8	CANDIDATA	CANDIDATA	CARENCIA_PRECISA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L15	ISSP	La fila de mapa no aporta reactivo ni resultado para N3.	No se debe trasladar la negativa de otro objeto de evidencia ISSP.	Objeto no abierto.	NO	Revisar el cuestionario ISSP correspondiente y buscar literalmente el constructo N3 y su desenlace.
worker-1	N4	ENSAFI2023_BD_CSV_ZIP	OE-831d392846e0f6e74f60c0b6	CANDIDATA	CANDIDATA	CARENCIA_PRECISA	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	IMPULSIVID	TMODULO contiene IMPULSIVID binaria con 20448 filas, pero no existe texto del reactivo y no es verificable el desenlace coobservado.	Un nombre de columna derivada no demuestra aversión al riesgo ni demuestra que mida otra construcción; la evidencia no alcanza para adjudicar.	El sentido de los códigos 1/2 y el constructo son desconocidos.	NO	Obtener el diccionario oficial de IMPULSIVID y verificar el desenlace conjunto antes de adjudicar.
worker-1	N5	FABLE	OE-ac614a08b177265f004c266d	CANDIDATA	CANDIDATA	CARENCIA_PRECISA	MAIN:canon/modelo-decision-v4_0.md	FABLE	Las referencias son documentos de modelo y reportes, no un instrumento o payload FABLE.	No hay diseño longitudinal o experimental local identificable para adjudicar esta relación.	Fuente canónica ambigua y sin objeto abierto.	NO	Identificar el instrumento FABLE exacto ya indexado y abrir protocolo, muestra y outcomes financieros.
worker-1	N6	ENSAFI2023_BD_CSV_ZIP	OE-e14567b41b8dd6d210ed240d	CANDIDATA	CANDIDATA	CARENCIA_PRECISA	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	IMPULSIVID	IMPULSIVID existe en TMODULO, pero carece de texto verificable y no se verificó un desenlace de ahorro ante volatilidad.	La documentación incompleta no prueba satisfacción ni una construcción distinta; la relación permanece candidata.	Codificación, constructo y outcome conjunto no documentados.	NO	Obtener el diccionario oficial y verificar una variable explícita de ahorro ante volatilidad antes de adjudicar.
worker-1	N8	ENVIPE	OE-5e7583b82a9bd409ff3de7f4	CANDIDATA	CANDIDATA	CARENCIA_PRECISA	MAIN:forense/matriz-impacto-universal-2026-08-06.md:L82	ENVIPE	ENVIPE aporta exposición a violencia y desenlaces condicionados parciales.	La evidencia abierta no resuelve selección por victimización ni identifica ver, oír y callar como relación causal.	Asociación disponible; identificación no satisfecha.	NO	Mapear reactivos AP7_3_10..14 contra conducta de reporte y declarar población/condicionamiento.
worker-1	N9	ENVIPE	OE-d4dae09f023ab8dbde44755a	CANDIDATA	CANDIDATA	CARENCIA_PRECISA	MAIN:forense/matriz-impacto-universal-2026-08-06.md:L82	ENVIPE	La matriz documenta condicionales parciales de ENVIPE y que ninguna llave causal nueva fue hallada.	No demuestra confianza en justicia y respuesta conductual libres de selección por victimización.	Falta especificación conjunta e identificación.	NO	Abrir el cuestionario ENVIPE ya local y mapear confianza institucional con denuncia en población elegible común.
worker-1	N12	ISSP	OE-2d196672c346d9eb08441b65	CANDIDATA	CANDIDATA	BLOQUEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L8	INDEXADO-NO-DESCARGADO	ISSP Social Networks 2017 está indexado pero no descargado.	No puede verificarse apoyo familiar ni outcome coobservado.	Codebook ausente localmente.	NO	Obtener el codebook México y buscar ayuda o apoyo de familiares con codificación.
worker-1	N12	ISSP	OE-9c9700631e773d55e687e55c	CANDIDATA	CANDIDATA	CARENCIA_PRECISA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	El mapa solo identifica la fuente temática.	No contiene evidencia concreta de familismo-apoyo.	Sin apertura de variables.	NO	Abrir cuestionario Social Networks 2017 México y registrar reactivo y unidad.
