worker_id	fuente_id_canonico	candidatas_asignadas
worker-1	ISSP	13
worker-1	ENSAFI2023_BD_CSV_ZIP	4
worker-1	ENVIPE	3
worker-1	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	3
worker-1	INE	2
worker-1	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	2
worker-1	UCDP	2
worker-1	02-	1
worker-1	AHORRO FINANCIERO Y FINANCIAMI	1
worker-1	BIARE	1
worker-1	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	1
worker-1	ENCUCI	1
worker-1	ENIGH	1
worker-1	FABLE	1
worker-1	LAPOP	1
worker-1	OECD	1
worker-1	RELLABORALESPRUEBA	1
worker-1	SIN_CANDIDATO_IDENTIFICADO	1
worker-2	ENFIH	11
worker-2	ENIF	5
worker-2	ENBIARE2021	3
worker-2	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	3
worker-2	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	2
worker-2	LATINOBARÓMETRO	2
worker-2	MEXICO_PANEL_STUDY_2012	2
worker-2	VOTAR_ENTRE_BALAS	2
worker-2	BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	1
worker-2	CCPV	1
worker-2	ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	1
worker-2	ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	1
worker-2	ENNVIH	1
worker-2	GLOBAL_PREFERENCES_SURVEY	1
worker-2	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	1
worker-2	PI	1
worker-2	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	1
worker-3	ENSAFI	10
worker-3	ENCOAP	5
worker-3	GDELT	4
worker-3	MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	3
worker-3	ENFIH2019_FD_XLSX	2
worker-3	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	2
worker-3	PUB	2
worker-3	WVS	2
worker-3	BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	1
worker-3	CNGMD	1
worker-3	ENAFIN	1
worker-3	ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	1
worker-3	ENOE	1
worker-3	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	1
worker-3	MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	1
worker-3	PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	1
worker-3	REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	1
worker-4	GPS	6
worker-4	CSES	5
worker-4	FINANZAS	5
worker-4	ENCIG	3
worker-4	SE	3
worker-4	ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	2
worker-4	MASS_MOBILIZATION_PROTEST_DATA	2
worker-4	SERIES_SPEI_CODI_BANXICO	2
worker-4	01-	1
worker-4	ACLED	1
worker-4	BDIF	1
worker-4	COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	1
worker-4	ENBIARE	1
worker-4	ENCUP	1
worker-4	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	1
worker-4	IMSS	1
worker-4	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	1
worker-4	RELLABORALES	1
worker-4	SICS	1
