necesidad_id	fuente_canonica	objeto_evidencia_id	tipo_evidencia	evidencia_ref	evidencia_localizador	variable_reactivo_tabla	texto_evidencia	unidad_observacion	periodo	universo_muestra	codificacion	parte_necesidad_cubierta	parte_necesidad_no_cubierta	uso_potencial_modelo	transformacion_requerida	incertidumbre	traza_revision	siguiente_accion
N2	ENCOAP	OE-52c65e0d0129b5272522d037	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/mapa-ext-general-2026-08-06.tsv:L4	N2|ENCOAP|OE-52c65e0d0129b5272522d037	NO_DETERMINADO	La ficha local solo indexa la fuente; no contiene evidencia concreta adjudicable para esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	La ficha local documenta diseño, dominios y acceso, pero deja pendiente el mapeo de variables del objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:data/mapa-ext-general-2026-08-06.tsv:L4; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir cuestionario y diccionario ENCOAP; localizar el reactivo y el desenlace exactos exigidos por la necesidad.
N3	ENSAFI	OE-fb259558b58d975d64b7a5ff	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:canon/estado-programa-v1_10.md	N3|ENSAFI|OE-fb259558b58d975d64b7a5ff	NO_DETERMINADO	Reactivo explícito de sensibilidad de estatus coobservado con consumo mediado por crédito.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	El registro local describe una hipótesis de variable, pero no aporta diccionario ni texto literal del reactivo para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:canon/estado-programa-v1_10.md; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.
N3	MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	OE-f651d8070c16835c9901c40f	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L8	N3|MICROCREDIT_IMPACTS_COMPARTAMOS_RCT|OE-f651d8070c16835c9901c40f	NO_DETERMINADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	La ficha confirma RCT, tratamiento y outcomes, pero declara no documentado el reactivo explícito de sensibilidad de estatus.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L8; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir codebook y buscar el reactivo literal de estatus; no inferirlo de gasto, crédito o bienestar.
N4	ENFIH2019_FD_XLSX	OE-d82cbec8d1cd45676a9c95b6	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:canon/estado-programa-v1_10.md	N4|ENFIH2019_FD_XLSX|OE-d82cbec8d1cd45676a9c95b6	NO_DETERMINADO	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	La apertura local no identifica evidencia suficiente para este objeto específico.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:canon/estado-programa-v1_10.md; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir el diccionario ENFIH y localizar texto y codificación exactos para el constructo y su desenlace coobservado.
N4	ENSAFI	OE-3771d1da25d6fb0ba805f95c	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:canon/estado-programa-v1_10.md	N4|ENSAFI|OE-3771d1da25d6fb0ba805f95c	NO_DETERMINADO	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	El registro local describe una hipótesis de variable, pero no aporta diccionario ni texto literal del reactivo para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:canon/estado-programa-v1_10.md; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.
N5	ENSAFI	OE-898b66368975b11d6bcfe283	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:canon/gobernanza-v1_15.md	N5|ENSAFI|OE-898b66368975b11d6bcfe283	NO_DETERMINADO	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	El registro local describe una hipótesis de variable, pero no aporta diccionario ni texto literal del reactivo para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:canon/gobernanza-v1_15.md; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.
N5	WVS	OE-3e9b3749b85eec5a7a570417	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/mapa-ext-general-2026-08-06.tsv:L17	N5|WVS|OE-3e9b3749b85eec5a7a570417	NO_DETERMINADO	La ficha local solo indexa la fuente; no contiene evidencia concreta adjudicable para esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	La documentación local confirma la fuente y México, pero no reabre variables mexicanas ni codificación para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:data/mapa-ext-general-2026-08-06.tsv:L17; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir cuestionario y codebook Wave 7 México; localizar reactivo, codificación y desenlace coobservado.
N6	ENSAFI	OE-5d1bf835879d99d69783ca1a	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:canon/modelo-decision-v4_0.md	N6|ENSAFI|OE-5d1bf835879d99d69783ca1a	NO_DETERMINADO	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	El registro local describe una hipótesis de variable, pero no aporta diccionario ni texto literal del reactivo para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:canon/modelo-decision-v4_0.md; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.
N10	ENSAFI	OE-db7311a506e4693d7feeee76	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:canon/modelo-decision-v4_0.md	N10|ENSAFI|OE-db7311a506e4693d7feeee76	NO_DETERMINADO	Horizonte temporal coobservado con violencia/justicia en el mismo instrumento.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	El registro local describe una hipótesis de variable, pero no aporta diccionario ni texto literal del reactivo para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:canon/modelo-decision-v4_0.md; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.
N11	ENSAFI	OE-7e0c0905485bec2d765c6f6d	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/abrir4-variables-2026-08-08.tsv	N11|ENSAFI|OE-7e0c0905485bec2d765c6f6d	NO_DETERMINADO	Sensibilidad de estatus coobservada con desenlace de violencia/justicia.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	El registro local describe una hipótesis de variable, pero no aporta diccionario ni texto literal del reactivo para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv; contraste con input y contexto inmutable; sin discovery panorámico.	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.
