tipo,sexo,edad,n_expuesto,masa_expuesto,n_status_valido,masa_status_valido,n_desconocido,masa_desconocido,n_fuera_denominador,masa_fuera_denominador,n_denominador,masa_denominador,n_numerador,masa_numerador,punto,ee,ic95_lo,ic95_hi,gl,precision_estado,definicion
tasa,hombre,15_17,9593,3482547.000000000000,9593,3482547.000000000000,0,0.000000000000,9435,3424566.000000000000,158,57981.000000000000,142,51351.000000000000,0.885652196409,0.035401044752,0.796067087515,0.938903999352,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
tasa,hombre,18_29,32667,11807378.000000000000,32667,11807378.000000000000,0,0.000000000000,23393,8499022.000000000000,9274,3308356.000000000000,6556,2359438.000000000000,0.713175365650,0.006735212233,0.699794036645,0.726193611624,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
tasa,hombre,30_44,34863,12640993.000000000000,34863,12640993.000000000000,0,0.000000000000,10820,3945959.000000000000,24043,8695034.000000000000,10308,3738980.000000000000,0.430013269643,0.004587931064,0.421044379091,0.439028335175,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
tasa,hombre,45_59,30681,11082537.000000000000,30681,11082537.000000000000,0,0.000000000000,7086,2542010.000000000000,23595,8540527.000000000000,5897,2138693.000000000000,0.250416982465,0.003890925549,0.242867866257,0.258120752594,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
tasa,hombre,60_mas,24310,8565503.000000000000,24310,8565503.000000000000,0,0.000000000000,6493,2208083.000000000000,17817,6357420.000000000000,2449,905522.000000000000,0.142435453376,0.003832823387,0.135086568991,0.150114739075,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
tasa,hombre,15_mas,132114,47578958.000000000000,132114,47578958.000000000000,0,0.000000000000,57227,20619640.000000000000,74887,26959318.000000000000,25352,9193984.000000000000,0.341031772391,0.002634815989,0.335886223177,0.346215054279,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
tasa,mujer,15_17,9116,3281190.000000000000,9116,3281190.000000000000,0,0.000000000000,8580,3083725.000000000000,536,197465.000000000000,521,190976.000000000000,0.967138480237,0.009576550390,0.942209720501,0.981524679867,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
tasa,mujer,18_29,32840,11895015.000000000000,32840,11895015.000000000000,0,0.000000000000,19438,7140613.000000000000,13402,4754402.000000000000,9156,3278107.000000000000,0.689488814787,0.005790973724,0.678025287785,0.700724349012,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
tasa,mujer,30_44,38461,13967574.000000000000,38461,13967574.000000000000,0,0.000000000000,11560,4228100.000000000000,26901,9739474.000000000000,10946,3941719.000000000000,0.404715798820,0.004198363082,0.396513965978,0.412971189734,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
tasa,mujer,45_59,35388,12834803.000000000000,35388,12834803.000000000000,0,0.000000000000,11675,4284693.000000000000,23713,8550110.000000000000,5292,1939309.000000000000,0.226816847970,0.003884658297,0.219292850986,0.234521447939,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}"
