tarea_id	relacion_id	reporte_id	reporte_record_id	reporte_record_sha256	e2_record_id	e2_record_sha256	payload_id	representacion_id	sha256	objeto_logico_id	necesidad_id	reactivo_id	fuente_canonica	frontera_semantica	material_tarea_id	material_task_sha256	material_baseline_sha256	curador_id	fecha
TSEM-B2-471043fc0f5261ba8ede0f1ee68b1e9e8594f9a6ca0b4d0e42fd9bd65c092403	REL-04c3943ecb0df7bacdc3c994	RPTC-B2-380464c0ee9bb11f2b2a52c65388888e1c06407b11a01056fd387f01f20e4ff4	E2R-4e285e2e81e92700fdc18943ede743edba3d3e3ea18768b14a47b59b2826ef9d	c2aec89f9586ad233b0b8300b8402878d6288ad5cb8ea81236e9d4b32c4a3fc3	E2R-9fad08daf75b322eff3ff87be34d8de1be70aa5de6f0d6f2cf8e4e787ed6d2cd	c5204112b2a7ef6298449eb15c2e7004d8274628b0fa0ca0be72ef573a687a17	enfih2019_fd_xlsx	REP-9be3804a6acd764b4a3b41efb3f84da57cc420a18e2002eecfdc23d3d7a6b69f	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	OBJ-B2-e2710c97a85329e25e010dbe888d27b7b7b5312a9c4f9b9c833956eff75f619c	N12	OBJ-B2-e2710c97a85329e25e010dbe888d27b7b7b5312a9c4f9b9c833956eff75f619c	ENFIH	Diccionario fd_xlsx completo: 664 variables, 16 hojas; bd solo aporta 527 nombres de columna. 43 reactivos nombran familia/amigos. Sin listas de opciones.	TASK-B2-18ae8ada69a27782b94ed96e6675ad3bc92982def7758bdf72ae07de52b8b04a	6b3713954fb565d53d55cf91c80e31975f859bfcce3105a4b5b1558a122cedce	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-3	2026-08-18
TSEM-B2-befc0a6068900cbb94cda7be51193e4a1e52dc6dfa69787a35501555ab78f185	REL-a63dce9852d52046595e28f0	RPTC-B2-380464c0ee9bb11f2b2a52c65388888e1c06407b11a01056fd387f01f20e4ff4	E2R-4e285e2e81e92700fdc18943ede743edba3d3e3ea18768b14a47b59b2826ef9d	c2aec89f9586ad233b0b8300b8402878d6288ad5cb8ea81236e9d4b32c4a3fc3	E2R-9fad08daf75b322eff3ff87be34d8de1be70aa5de6f0d6f2cf8e4e787ed6d2cd	c5204112b2a7ef6298449eb15c2e7004d8274628b0fa0ca0be72ef573a687a17	enfih2019_fd_xlsx	REP-9be3804a6acd764b4a3b41efb3f84da57cc420a18e2002eecfdc23d3d7a6b69f	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	OBJ-B2-e2710c97a85329e25e010dbe888d27b7b7b5312a9c4f9b9c833956eff75f619c	N12	OBJ-B2-e2710c97a85329e25e010dbe888d27b7b7b5312a9c4f9b9c833956eff75f619c	ENFIH	Diccionario fd_xlsx completo: 664 variables, 16 hojas; bd solo aporta 527 nombres de columna. 43 reactivos nombran familia/amigos. Sin listas de opciones.	TASK-B2-18ae8ada69a27782b94ed96e6675ad3bc92982def7758bdf72ae07de52b8b04a	6b3713954fb565d53d55cf91c80e31975f859bfcce3105a4b5b1558a122cedce	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-3	2026-08-18
TSEM-B2-cc825f4a15eb8e61a6a689181eb917904b2830b116d4d74f35256b7870f28243	REL-6b52ae9ea4b72a9f27f01260	RPTC-B2-127e316f17ba1a92ae3014d56f9a6b0d265fe6861142f4019a9b3495d42affef	E2R-f02ac30ebb4c009adb3651e4d22bb643fe53230caaaeda68a2edf0886b2e9213	cac5769a222cfe920272e9b4b99bb2dc95466407d17c4c826d6d098e0302a510	E2R-006036a1afb52092123e7a5483dd861aab37598c4a60534ac9ec2c131e9c0e52	b33712000c7a7a0797b988609ea5c592ede3fa7c5a1ba0175d29128cca4d0ae9	enfih2019_bd_csv_zip	REP-84d45be3c21bcf3ef54d32ad3122cb76a7eb10beef0f0584715b1d224fffaf58	be372533d5043920892142e8bf792b7293a5f20ab466a6441bc89925b42ef4d5	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	N13	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	ENFIH	fd_xlsx completo (664 vars, 16 hojas) + 527 nombres del bd. Barrido obligacion/deber/cuidar/manda-dinero/remesa: 0 aciertos. Sin listas de opciones.	TASK-B2-05802b553998b12f8067b1415241472d64eeecb58c5cc655403c5b925d3019bc	d07b3c740db8e0d87b5d5492b17479f4435661f29c9e7edb689c7d61ef65a587	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-3	2026-08-18
TSEM-B2-e0bac8c306b4af1335d892ab4b84750baf3c08ec87fcc3ed4b3f80970c363195	REL-50e6d069fd121a8a7cd64fc5	RPTC-B2-127e316f17ba1a92ae3014d56f9a6b0d265fe6861142f4019a9b3495d42affef	E2R-f02ac30ebb4c009adb3651e4d22bb643fe53230caaaeda68a2edf0886b2e9213	cac5769a222cfe920272e9b4b99bb2dc95466407d17c4c826d6d098e0302a510	E2R-006036a1afb52092123e7a5483dd861aab37598c4a60534ac9ec2c131e9c0e52	b33712000c7a7a0797b988609ea5c592ede3fa7c5a1ba0175d29128cca4d0ae9	enfih2019_bd_csv_zip	REP-84d45be3c21bcf3ef54d32ad3122cb76a7eb10beef0f0584715b1d224fffaf58	be372533d5043920892142e8bf792b7293a5f20ab466a6441bc89925b42ef4d5	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	N14	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	ENFIH	fd_xlsx completo (664 vars, 16 hojas) + 527 nombres del bd. Barrido confianza/desconfianza: 0 aciertos en etiqueta y definicion. Sin listas de opciones.	TASK-B2-05802b553998b12f8067b1415241472d64eeecb58c5cc655403c5b925d3019bc	d07b3c740db8e0d87b5d5492b17479f4435661f29c9e7edb689c7d61ef65a587	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-3	2026-08-18
TSEM-B2-5ab379c553fd1af68ec4d1641b1563eb25804ca5422b9236cf2fc09db648a835	REL-16d3c66af7fc856df2130139	RPTC-B2-127e316f17ba1a92ae3014d56f9a6b0d265fe6861142f4019a9b3495d42affef	E2R-f02ac30ebb4c009adb3651e4d22bb643fe53230caaaeda68a2edf0886b2e9213	cac5769a222cfe920272e9b4b99bb2dc95466407d17c4c826d6d098e0302a510	E2R-006036a1afb52092123e7a5483dd861aab37598c4a60534ac9ec2c131e9c0e52	b33712000c7a7a0797b988609ea5c592ede3fa7c5a1ba0175d29128cca4d0ae9	enfih2019_bd_csv_zip	REP-84d45be3c21bcf3ef54d32ad3122cb76a7eb10beef0f0584715b1d224fffaf58	be372533d5043920892142e8bf792b7293a5f20ab466a6441bc89925b42ef4d5	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	N10	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	ENFIH	fd_xlsx completo (664 vars, 16 hojas) + 527 nombres del bd. Barrido horizonte/plazo/futuro/vejez/planea: 0; si revise Afore y plazos de pago.	TASK-B2-05802b553998b12f8067b1415241472d64eeecb58c5cc655403c5b925d3019bc	d07b3c740db8e0d87b5d5492b17479f4435661f29c9e7edb689c7d61ef65a587	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-3	2026-08-18
TSEM-B2-41b61aa17de98b82ea57c694564fd812e749125f74193b864701c677387c68d6	REL-3b746c49c7c051083df6ee81	RPTC-B2-127e316f17ba1a92ae3014d56f9a6b0d265fe6861142f4019a9b3495d42affef	E2R-f02ac30ebb4c009adb3651e4d22bb643fe53230caaaeda68a2edf0886b2e9213	cac5769a222cfe920272e9b4b99bb2dc95466407d17c4c826d6d098e0302a510	E2R-006036a1afb52092123e7a5483dd861aab37598c4a60534ac9ec2c131e9c0e52	b33712000c7a7a0797b988609ea5c592ede3fa7c5a1ba0175d29128cca4d0ae9	enfih2019_bd_csv_zip	REP-84d45be3c21bcf3ef54d32ad3122cb76a7eb10beef0f0584715b1d224fffaf58	be372533d5043920892142e8bf792b7293a5f20ab466a6441bc89925b42ef4d5	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	N3	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	ENFIH	fd_xlsx completo (664 vars, 16 hojas) + 527 nombres del bd. Barrido estatus/prestigio/vecino/apariencia/lujo/comparacion: 0 aciertos.	TASK-B2-05802b553998b12f8067b1415241472d64eeecb58c5cc655403c5b925d3019bc	d07b3c740db8e0d87b5d5492b17479f4435661f29c9e7edb689c7d61ef65a587	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-3	2026-08-18
TSEM-B2-a53e8b307a67712788687659100c0076cdf797810e47680cecc5e88a591477a6	REL-987f01cb468fa0b51b2dffc6	RPTC-B2-380464c0ee9bb11f2b2a52c65388888e1c06407b11a01056fd387f01f20e4ff4	E2R-4e285e2e81e92700fdc18943ede743edba3d3e3ea18768b14a47b59b2826ef9d	c2aec89f9586ad233b0b8300b8402878d6288ad5cb8ea81236e9d4b32c4a3fc3	E2R-6eea083dc1c268bbcf9a458ab88c3f5d88c0c0b80bae497b8d0afd5840302504	5ff07a9eb6b62afdba23717877b3ebade336c782aa665f5f330eb58bfcf41756	enfih2019_fd_xlsx	REP-9be3804a6acd764b4a3b41efb3f84da57cc420a18e2002eecfdc23d3d7a6b69f	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	OBJ-B2-edf6ea553272446c6645a859e1bb9c6087daaba564391b98255140dfdc1e81c5	N4	OBJ-B2-edf6ea553272446c6645a859e1bb9c6087daaba564391b98255140dfdc1e81c5	ENFIH	fd_xlsx completo (664 vars, 16 hojas) + 527 nombres del bd. Barrido riesgo/apuesta/loteria/azar/miedo: 0. De P8_55 solo consta su 1a opcion.	TASK-B2-18ae8ada69a27782b94ed96e6675ad3bc92982def7758bdf72ae07de52b8b04a	6b3713954fb565d53d55cf91c80e31975f859bfcce3105a4b5b1558a122cedce	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-3	2026-08-18
TSEM-B2-d46b48ae7148e8a01d09bdc4253ff69cdb4d49561ccb7e8f4b577e37a8e43141	REL-fb6a1baf579c6521a638b093	RPTC-B2-380464c0ee9bb11f2b2a52c65388888e1c06407b11a01056fd387f01f20e4ff4	E2R-4e285e2e81e92700fdc18943ede743edba3d3e3ea18768b14a47b59b2826ef9d	c2aec89f9586ad233b0b8300b8402878d6288ad5cb8ea81236e9d4b32c4a3fc3	E2R-6eea083dc1c268bbcf9a458ab88c3f5d88c0c0b80bae497b8d0afd5840302504	5ff07a9eb6b62afdba23717877b3ebade336c782aa665f5f330eb58bfcf41756	enfih2019_fd_xlsx	REP-9be3804a6acd764b4a3b41efb3f84da57cc420a18e2002eecfdc23d3d7a6b69f	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	OBJ-B2-edf6ea553272446c6645a859e1bb9c6087daaba564391b98255140dfdc1e81c5	N4	OBJ-B2-edf6ea553272446c6645a859e1bb9c6087daaba564391b98255140dfdc1e81c5	ENFIH	fd_xlsx completo (664 vars, 16 hojas) + 527 nombres del bd. Barrido riesgo/apuesta/loteria/azar/miedo: 0. De P8_55 solo consta su 1a opcion.	TASK-B2-18ae8ada69a27782b94ed96e6675ad3bc92982def7758bdf72ae07de52b8b04a	6b3713954fb565d53d55cf91c80e31975f859bfcce3105a4b5b1558a122cedce	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-3	2026-08-18
TSEM-B2-e769194cfacddb267e2669b0d6c5ff0dc63dadaead1a8e0b0d9ee4d434f75486	REL-01ff8326fdbe3c0a4e299a02	RPTC-B2-5753185d24e361ee8f4f4cea30cc92c79948242e99f497dd8b0072ca9b01f26a	E2R-769fc86135ec73d8afe7704d8961186007974165858705a8656b9bb5031d1875	3585b081cd641fec8566b4ee541a93f2a80c5bd81b6d030f0e6d5d2fe60272f4	E2R-77d0db74024fa2f8a7f2b90e5377036335aeb09b44223a6386079b3607fcfb9c	fd00c5d15c557618bc16425f79832f06209fcf2e284626c00dd4b3d7728fae52	ensafi2023_bd_csv_zip	REP-de65c996e2c07f18cdabb0c730ca6bfdadb8e7ffae281518a6912d9b0afb8e0c	c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	OBJ-B2-c97f6138f0939073453849df43b68bdf8e898c22c4a424766d44ea5038d47ac8	N14	OBJ-B2-c97f6138f0939073453849df43b68bdf8e898c22c4a424766d44ea5038d47ac8	ENSAFI	377 reg. del zip BD ENSAFI 2023: 4 miembros, 4 tablas y 369 encabezados de columna; sin diccionario, sin texto de reactivo ni value labels	TASK-B2-61184fd8b1fed4c3e1022c14450469c9a588c68d460370b066dadaf8c8d05570	6f8bd09c263281599f93fbf07b770cc8475f44e3d7ab2b2eb1282e9d792e5d94	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-2	2026-08-18
TSEM-B2-6d71090e1c458c53d9768e97541583a4b1b7ed3f6f4fc947ff06d5c7dc404b8f	REL-c065ff3c4b02af2b359a6a40	RPTC-B2-5753185d24e361ee8f4f4cea30cc92c79948242e99f497dd8b0072ca9b01f26a	E2R-769fc86135ec73d8afe7704d8961186007974165858705a8656b9bb5031d1875	3585b081cd641fec8566b4ee541a93f2a80c5bd81b6d030f0e6d5d2fe60272f4	E2R-77d0db74024fa2f8a7f2b90e5377036335aeb09b44223a6386079b3607fcfb9c	fd00c5d15c557618bc16425f79832f06209fcf2e284626c00dd4b3d7728fae52	ensafi2023_bd_csv_zip	REP-de65c996e2c07f18cdabb0c730ca6bfdadb8e7ffae281518a6912d9b0afb8e0c	c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	OBJ-B2-c97f6138f0939073453849df43b68bdf8e898c22c4a424766d44ea5038d47ac8	N14	OBJ-B2-c97f6138f0939073453849df43b68bdf8e898c22c4a424766d44ea5038d47ac8	ENSAFI	377 reg. del zip BD ENSAFI 2023: 4 miembros, 4 tablas y 369 encabezados de columna; sin diccionario, sin texto de reactivo ni value labels	TASK-B2-61184fd8b1fed4c3e1022c14450469c9a588c68d460370b066dadaf8c8d05570	6f8bd09c263281599f93fbf07b770cc8475f44e3d7ab2b2eb1282e9d792e5d94	6eec3850f7f3f4141eb28967a1d67ac20bf9ab689f4af84980588d55ef453940	CUR-2	2026-08-18
