cell_id	input_id	outcome	source_instrument	source_edition	source_reference_period	target_instrument	target_edition	target_reference_period	unit	axis	category	status	reason	consumer	calc_id	corrida_id	point	ic_lo	ic_hi	n	den_w	b_validas	metadata_source	metadata_source_sha256
RESULT-PISOS-ENVIPE2024-V2-EVASION-SEXO-1-P	sexo::1	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	sexo	1	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.5625367389479309	0.5469768672511728	0.5779515287081277	17741	15550595.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-SEXO-2-P	sexo::2	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	sexo	2	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.5180073675125128	0.5005926127250356	0.5356711965471808	19873	17872518.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-18-29-P	edad::18-29	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	edad	18-29	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.5160031401162705	0.4911713594486456	0.540828738986535	11094	11516771.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-30-44-P	edad::30-44	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	edad	30-44	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.5548714537803958	0.5350504221149059	0.574409280676706	13648	11384271.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-45-59-P	edad::45-59	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	edad	45-59	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.547607691226778	0.5271329344910323	0.568327457141632	8335	7038201.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-60-MAS-P	edad::60+	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	edad	60+	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.5480025499040757	0.5194488528972045	0.575831400778723	4337	3302085.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-HASTA-PRIMARIA-P	escolaridad::hasta_primaria	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	escolaridad	hasta_primaria	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.49513695206020103	0.46573864397389597	0.5249852508753865	3611	3040480.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-SECUNDARIA-P	escolaridad::secundaria	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	escolaridad	secundaria	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.5253374206368153	0.4990194862004459	0.5522007166773061	7471	6785892.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-MEDIA-SUPERIOR-P	escolaridad::media_superior	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	escolaridad	media_superior	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.5394080834777241	0.5190311671766437	0.559761011687884	10763	9848855.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-SUPERIOR-P	escolaridad::superior	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	escolaridad	superior	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.5526668883412079	0.5334580206903416	0.572692416858456	15620	13578465.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
