candidata_id	encuesta	variable	emisibilidad_p1	evidencia	universo_buscado
CIV-01	ENCIG	P8_3_1	CANDIDATO-EMITE	milpa/procedencia.yaml:882	procedencia.yaml+tramite.yaml, término=variable
CIV-02	ENCIG	P11_1_02	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
CIV-03	ENCIG	P9_1	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
CIV-04	ENCIG	P5_10A	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
CIV-05	ENCUCI	AP5_4_2	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
CIV-06	ENCUCI	AP5_3_8	CANDIDATO-EMITE	milpa/procedencia.yaml:226	procedencia.yaml+tramite.yaml, término=variable
CIV-07	ENVIPE	BP1_20	CANDIDATO-EMITE	milpa/procedencia.yaml:367;milpa/procedencia.yaml:942	procedencia.yaml+tramite.yaml, término=variable
CIV-08	ENVIPE	AP4_4_03	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
CIV-09	ENVIPE	AP5_6_02	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
CIV-10	ENVIPE	AP5_6_04	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
CIV-11	ENVIPE	AP4_4_01	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
CIV-12	ENPOL	P3_21_1	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DIN-01	ENIF	P5_4	CANDIDATO-EMITE	milpa/procedencia.yaml:203;milpa/procedencia.yaml:209;milpa/procedencia.yaml:215	procedencia.yaml+tramite.yaml, término=variable
DIN-02	ENIF	P6_4	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DIN-03	ENIF	P7_1	CANDIDATO-EMITE	milpa/procedencia.yaml:440;milpa/procedencia.yaml:442;milpa/procedencia.yaml:476	procedencia.yaml+tramite.yaml, término=variable
DIN-04	ENIF	P4_4_6	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DIN-05	ENFIH	P8_1_1	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DIN-06	ENFIH	P8_8_2	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DIN-07	Encuesta de Competencias Financieras (Banxico/CNBV)	SF2	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DIN-08	Encuesta de Competencias Financieras (Banxico/CNBV)	SF7	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DIN-09	Encuesta de Competencias Financieras (Banxico/CNBV)	SF5	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DIN-10	Encuesta de Competencias Financieras (Banxico/CNBV)	SF13	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DIN-11	ENIF	P5_3	CANDIDATO-EMITE	milpa/procedencia.yaml:203;milpa/procedencia.yaml:226	procedencia.yaml+tramite.yaml, término=variable
DIN-12	Encuesta de Competencias Financieras (Banxico/CNBV)	SF10e	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-01	ENASIC	P4_13	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-02	ENASIC	P4_12	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-03	ENASIC	P7_12_2	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-04	ENASEM	H16D_18	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-05	ENASEM	H14_21	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-06	ENASEM	F55_24	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-07	ENUT	P6_10_7	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-08	ENUT	TRAB_NO_REM_CUID_HOG	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-09	ENADID	P8_10	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-10	ENDIREH	P14_3_11	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-11	ENBIARE	PA3_02	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
SFT-12	ENBIARE	PC1_1	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
TIC-01	ENOE	p3i	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
TIC-02	ENOE	p3j	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
TIC-03	ENOE	p2d6	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
TIC-04	ENOEN	p3d	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
TIC-05	ENTI	P1	CANDIDATO-EMITE	milpa/procedencia.yaml:158;milpa/procedencia.yaml:162;milpa/procedencia.yaml:179	procedencia.yaml+tramite.yaml, término=variable
TIC-06	ENTI	P2	CANDIDATO-EMITE	milpa/procedencia.yaml:270;milpa/procedencia.yaml:289	procedencia.yaml+tramite.yaml, término=variable
TIC-07	ENDUTIH	P7_1	CANDIDATO-EMITE	milpa/procedencia.yaml:440;milpa/procedencia.yaml:442;milpa/procedencia.yaml:476	procedencia.yaml+tramite.yaml, término=variable
TIC-08	ENDUTIH	P7_15	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
TIC-09	ENDUTIH	P7_10_2	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
TIC-10	MOCIBA	P4_01	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
TIC-11	MOCIBA	P3	CANDIDATO-EMITE	milpa/procedencia.yaml:381;milpa/procedencia.yaml:382;milpa/procedencia.yaml:385	procedencia.yaml+tramite.yaml, término=variable
TIC-12	ENOE	p3n	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
EMP-01	ENAFIN (Encuesta Nacional de Financiamiento de las Empresas)	FAC_EXPA aplicado al indicador Empresas que tuvieron algun credito o financiamiento, dominio Micro	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
EMP-02	ENAFIN (Encuesta Nacional de Financiamiento de las Empresas)	razon derivada de Creditos que fueron rechazados a las empresas sobre Total de creditos que solicitaron las empresas, por tamano de empresa	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
EMP-03	ENAFIN (Encuesta Nacional de Financiamiento de las Empresas)	razon derivada de Total de empresas que tuvieron algun credito sobre Total de empresas, contrastando Micro contra Grande	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
EMP-04	ENAFIN (Encuesta Nacional de Financiamiento de las Empresas)	razon derivada de Creditos que fueron aprobados sobre Total de creditos que solicitaron, contrastando localidades de 500 mil o mas habitantes contra 50 mil a 499 999	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
EMP-05	CPV Censo de Poblacion y Vivienda -- Cuestionario Ampliado	SITUA_CONYUGAL	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
EMP-06	CPV Censo de Poblacion y Vivienda -- Cuestionario Ampliado	SITTRA	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DOC-01	CNBV Portafolio de Informacion / HR Ratings (desenlace documentado no-encuesta)	IMOR ajustado = (cartera vencida + castigos 12m) / (cartera total + castigos 12m)	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DOC-02	CNBV / HR Ratings (desenlace documentado no-encuesta)	IMOR ajustado y su trayectoria IMOR simple 8.4% (3T24) a 5.5% (3T25)	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DOC-03	CNBV (desenlace documentado no-encuesta) -- razon derivada, NO enunciada en ninguna fuente	razon IMOR_ajustado(Azteca) / IMOR_ajustado(tarjeta banca multiple)	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DOC-04	SEC EDGAR 10-K FirstCash Holdings (desenlace documentado no-encuesta)	proporcion de inventario con antiguedad mayor a un ano	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DOC-05	BMV / CNBV, reportes trimestrales de Gentera (desenlace documentado no-encuesta) -- fraccion NO enunciada	castigos del ejercicio como fraccion de la cartera total promedio del ejercicio	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
DOC-06	BMV / HR Ratings, Financiera Independencia (desenlace documentado no-encuesta) -- OLA RETENIDA	IMOR ajustado de la cartera total	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable
