# forense/crosswalk-pregunta-regla-v1_1.tsv -- SUPERA a v1_0 (crosswalk-pregunta-regla-v1_0.tsv, 21/ago/2026, intacto y no editado).
# ACTO MAESTRA30-E8, 26/ago/2026, ADR-208 -- re-derivación tras corregir el defecto de subcadena de
# construir_crosswalk (milpa/src/emisor.py) documentado por DERIVACION-M-v1_0.md (acto E7, PR #378):
# el emparejamiento ahora exige coincidencia de encuesta en la misma línea además de la variable, y
# variable por token exacto (no subcadena). Resultado sobre las 60 filas del marco: 3 CANDIDATO-EMITE
# (CIV-01, CIV-06, CIV-07) / 57 NO-EMITE -- antes 10/50. Sobre las 15 sorteadas: 0 CANDIDATO-EMITE
# (los tres de v1_0 -- DIN-03/P7_1, DIN-11/P5_3, TIC-06/P2 -- eran falsos positivos de subcadena y
# ahora caen a NO-EMITE; ninguna de las tres celdas nuevas de CANDIDATO-EMITE pertenece a la muestra
# de 15). Resultado honesto, no forzado -- ver forense/prereg-duelo-v2/enlace-M-v1_0.md.
candidata_id	encuesta	variable	emisibilidad_p1	evidencia	universo_buscado
CIV-01	ENCIG	P8_3_1	CANDIDATO-EMITE	milpa/procedencia.yaml:937	procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-02	ENCIG	P11_1_02	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-03	ENCIG	P9_1	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-04	ENCIG	P5_10A	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-05	ENCUCI	AP5_4_2	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-06	ENCUCI	AP5_3_8	CANDIDATO-EMITE	milpa/procedencia.yaml:254	procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-07	ENVIPE	BP1_20	CANDIDATO-EMITE	milpa/procedencia.yaml:395;milpa/procedencia.yaml:997	procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-08	ENVIPE	AP4_4_03	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-09	ENVIPE	AP5_6_02	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-10	ENVIPE	AP5_6_04	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-11	ENVIPE	AP4_4_01	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
CIV-12	ENPOL	P3_21_1	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
DIN-01	ENIF	P5_4	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
DIN-02	ENIF	P6_4	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
DIN-03	ENIF	P7_1	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
DIN-04	ENIF	P4_4_6	NO-EMITE		procedencia.yaml+tramite.yaml, término=variable, encuesta=coincidencia-de-línea
