id	encuesta	ola	universo	variable	estimador	ponderador	escala	grado_dependencia	grado_dependencia_evidencia	publicada	cv_arbitro	n_no_ponderado	frase_discriminacion	post_corte_u_ola_retenida	dominio	dificultad	estrato	origen_manifiesto_id	estado_filtro_i_publicada	estado_filtro_iii_cv	adjudicacion
CAND-28addbef26b8f40f2a48	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	FILTRO_S9_1	PROPORCION_PONDERADA	fac_per	"tipo=BINARIA;codificacion=[{""codigo"":""1"",""etiqueta"":""Sí""},{""codigo"":""2"",""etiqueta"":""No""}];missing={""ausencia_documentada"":true,""codigos"":[]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
CAND-a1e6100ce73a1eae62b8	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	NIV	DISTRIBUCION_PONDERADA	fac_per	"tipo=CATEGORICA;codificacion=[{""codigo"":""00"",""etiqueta"":""Ninguno""},{""codigo"":""01"",""etiqueta"":""Preescolar o kínder""},{""codigo"":""02"",""etiqueta"":""Primaria""},{""codigo"":""03"",""etiqueta"":""Secundaria""},{""codigo"":""04"",""etiqueta"":""Normal básica""},{""codigo"":""05"",""etiqueta"":""Estudios técnicos con secundaria terminada""},{""codigo"":""06"",""etiqueta"":""Preparatoria o bachillerato""},{""codigo"":""07"",""etiqueta"":""Estudios técnicos con preparatoria terminada""},{""codigo"":""08"",""etiqueta"":""Licenciatura o ingeniería (profesional)""},{""codigo"":""09"",""etiqueta"":""Especialidad""},{""codigo"":""10"",""etiqueta"":""Maestría""},{""codigo"":""11"",""etiqueta"":""Doctorado""}];missing={""ausencia_documentada"":false,""codigos"":[""99""]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
CAND-62410b955cdda5ceeeb6	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	P10_1	PROPORCION_PONDERADA	fac_per	"tipo=BINARIA;codificacion=[{""codigo"":""1"",""etiqueta"":""Sí""},{""codigo"":""2"",""etiqueta"":""No""}];missing={""ausencia_documentada"":true,""codigos"":[]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
CAND-0947b40bf6468cb841fa	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	P10_4	PROPORCION_PONDERADA	fac_per	"tipo=BINARIA;codificacion=[{""codigo"":""1"",""etiqueta"":""Sí""},{""codigo"":""2"",""etiqueta"":""No""}];missing={""ausencia_documentada"":true,""codigos"":[]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
CAND-dfca838bde5ce601ea08	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	P10_7	PROPORCION_PONDERADA	fac_per	"tipo=BINARIA;codificacion=[{""codigo"":""1"",""etiqueta"":""Sí""},{""codigo"":""2"",""etiqueta"":""No""}];missing={""ausencia_documentada"":true,""codigos"":[]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
CAND-fdc20eba0c77f3398e00	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	P11_1_1	PROPORCION_PONDERADA	fac_per	"tipo=BINARIA;codificacion=[{""codigo"":""1"",""etiqueta"":""Sí""},{""codigo"":""2"",""etiqueta"":""No""}];missing={""ausencia_documentada"":false,""codigos"":[""9""]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
CAND-468fbba3dbbe9fe07eb8	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	P11_1_2	PROPORCION_PONDERADA	fac_per	"tipo=BINARIA;codificacion=[{""codigo"":""1"",""etiqueta"":""Sí""},{""codigo"":""2"",""etiqueta"":""No""}];missing={""ausencia_documentada"":false,""codigos"":[""9""]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
CAND-655e80ceab37ecefbdf1	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	P11_1_3	PROPORCION_PONDERADA	fac_per	"tipo=BINARIA;codificacion=[{""codigo"":""1"",""etiqueta"":""Sí""},{""codigo"":""2"",""etiqueta"":""No""}];missing={""ausencia_documentada"":false,""codigos"":[""9""]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
CAND-68f5615c65ec4d028d84	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	P11_1_4	PROPORCION_PONDERADA	fac_per	"tipo=BINARIA;codificacion=[{""codigo"":""1"",""etiqueta"":""Sí""},{""codigo"":""2"",""etiqueta"":""No""}];missing={""ausencia_documentada"":false,""codigos"":[""9""]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
CAND-4c0cc5450133ebaaaf07	Encuesta Nacional de Inclusión Financiera 2024	2024	Población de 18 años y más que reside permanentemente en viviendas particulares dentro del territorio nacional.	P11_1_5	PROPORCION_PONDERADA	fac_per	"tipo=BINARIA;codificacion=[{""codigo"":""1"",""etiqueta"":""Sí""},{""codigo"":""2"",""etiqueta"":""No""}];missing={""ausencia_documentada"":false,""codigos"":[""9""]}"	P0	milpa/procedencia.yaml cita (encuesta,ola) como ruta de parametrizacion de M	PENDIENTE-BIBLIOTECARIO	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-ARBITRO-INEXISTENTE	PENDIENTE-JUICIO-SEMANTICO-POR-VARIABLE	PENDIENTE-DEPENDE-DE-PUBLICADA-Y-CV	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	PENDIENTE-CLASIFICACION-SUSTANTIVA-POR-VARIABLE	enif2024_fd_xlsx	NO_RESUELTO	NO_RESUELTO	PARO_MESA:FILTRO_i_PUBLICADA_Y_FILTRO_iii_CV_ARBITRO_NO_RESUELTOS
