input_id	ruta	tipo	hash_input	parser	declaraciones_encontradas	declaraciones_parseadas	errores	reserva
INP-03bfe4bca25b2b2e11f6	data/inventarios/README-inventarios.md	inventario_canonico	30135b30133bb87897396df288d3e66d453a9fc0a7e3fc6f42b628bb69223db2	markdown_urls	0	0	NINGUNO	INPUT_SIN_DECLARACIONES_DE_ACTIVOS_PARSEABLES
INP-0572d6cf817225b2ff72	data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	mapa_fuentes	ed9579d54e85318e91b0b77b86f6109fee57b1f404adf605d3a9b37717e971f8	tsv	40	40	NINGUNO	NINGUNA
INP-06ab711d98503f027e0e	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/banxico_infraestructuras_mercados_fin_landing.html	indice_o_lista_local	f834b52c2ed053165c2ed6c107c953b3d81148d7461d95c2e32a11aea47e704c	html_urls	2	2	NINGUNO	NINGUNA
INP-073d1ae34ede77010f96	/home/pc0/mm-corpus/raw/R2.1_R2.2_R10.2_RNM_microdato/inegi_rnm_catalog_518_enaproce2018.html	indice_o_lista_local	67dac48414d11adfcaf2b0fd25c1848a54f3233b33194dbc5eccbdf3ad7b1ffd	html_urls	56	56	NINGUNO	NINGUNA
INP-076ae78bd4f9cead7cb4	data/cola-ext-civil-2026-08-06.tsv	mecanismo_declarativo	762392b6d2a715d3fc3d6017405c21d2f2c3ae9d0e3fdd900dfef4dfc1ff6c4a	tsv	10	10	NINGUNO	NINGUNA
INP-0bcbb4e3d069be8ac4b1	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/banxico_codi_avances_banco_mexico.html	indice_o_lista_local	3052e7114cb2b100d7f170c2dc78549ca47174a7b2f9e581e36bea12bfb0252a	html_urls	1	1	NINGUNO	NINGUNA
INP-0ca3a43ed9b37189670a	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF883_dispositivos_enrolados.html	indice_o_lista_local	f6456499e8ab2e498cf0995308f6a14250ae9529611fe9320a578642d85c5b1a	html_urls	13	13	NINGUNO	NINGUNA
INP-145275dc3636be767f72	data/inventarios/inventario_fuentes_seguridad_justicia_mexico.md	inventario_canonico	2391701a3d6e1832e1d99ab19eb580ddcd19922ab4552654a4a6ac45da75d180	markdown_urls	37	37	NINGUNO	NINGUNA
INP-1746e1dfc753fa479eca	data/mapa-ext-oficial-2026-08-06.tsv	mapa_fuentes	a65b5fc6666a0cc51a359ed89af1e831e346a8d3b0f33e5e2a65585e2fec0450	tsv	18	18	NINGUNO	NINGUNA
INP-17e218116e7d8f6d2838	data/cola-ext-general-2026-08-06.tsv	mecanismo_declarativo	9c03932016ba7bcd19aff6b344b3fb143763044fb3518f25a71774bbc9b4f60d	tsv	10	10	NINGUNO	NINGUNA
INP-19fe1f7e77dbaabb5b12	data/inventarios/inventario-fuentes-tecnologia-digital-mexico.md	inventario_canonico	f318dc544dd6a2f5a0e6d56f40b7c5497ce2efce6cad1693d4029fbf25cf6eb6	markdown_urls	46	46	NINGUNO	NINGUNA
INP-1b93019c2d78a27d90e6	data/inventarios/inventario_fuentes_capital_social_mexico.md	inventario_canonico	65762a2ab27055b35936c929ad70454acc1ef0712b315f6fa6e38b3f0d5080c0	markdown_urls	36	36	NINGUNO	NINGUNA
INP-1c721f1ceb5ac616b099	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF885_monto.html	indice_o_lista_local	de7658bfa05dbab31166f681a3ad8b481ba3afebb16589d289ae58ac3e083748	html_urls	13	13	NINGUNO	NINGUNA
INP-20d5b83f98f6db8e7d22	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/banxico_informe_anual_IdMF_listado_ediciones.html	indice_o_lista_local	ba11757f129f714c0ab1c65b0c1ee20681a8991935ba4933feaf954655639bff	html_urls	1	1	NINGUNO	NINGUNA
INP-220932eafff5baaebfaf	data/integridad-corpus-2026-08-06.tsv	inventario_integridad	768d04ea15800e89fd80ce25811a2369dc88cb7e93ef0f7b499b8c76cf162070	tsv	467	467	NINGUNO	NINGUNA
INP-246e7a7291b9e77c4cf8	data/mapa-ext-academico-2026-08-06.tsv	mapa_fuentes	f79830bb59bf0819786d8bdeb7d5afff4d2cc7741dee5b1c692636c7630714a8	tsv	24	24	NINGUNO	NINGUNA
INP-2841cbe4b6f538c0ce21	data/inventarios/inventario-fuentes-credito-ahorro-finanzas-hogar-mexico.md	inventario_canonico	c71b96d27e4c8ac1ef2f7bd83b4fe7ea83c01cc10059fb29961b803cfc1b230c	markdown_urls	45	45	NINGUNO	NINGUNA
INP-2865109ffad1a501b9b6	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/codi_org_mx_estadisticas_landing.html	indice_o_lista_local	43119a1bbf066c426c0b40bb9c8f0fa851caed5a4df163cba99f8ea5b9ea5983	html_urls	29	29	NINGUNO	NINGUNA
INP-31d8a03b381d2c4acd8f	data/censo-raices-2026-08-06.tsv	inventario_canonico	32873dc731b59b9d9b6edb412ed5a05508e55e2c085bbf799bae2ced662bf76e	tsv	900	900	NINGUNO	NINGUNA
INP-34b2a87cede1e8bd3e6e	data/inventarios/inventario_fuentes_tramites_estado_mexico.md	inventario_canonico	00b2d26067ab3e56afdd3892dd58dab5ba7457475b793d6fa1de7b766ac7b4e9	markdown_urls	60	60	NINGUNO	NINGUNA
INP-39ae8b8f90c556d45243	data/inventarios/alias-fuentes.yaml	mecanismo_declarativo	8787ba190f2d2b7247d43622f2ba248780790dacb2fd8680e4e4a2f3ae056bae	yaml_urls	0	0	NINGUNO	INPUT_SIN_DECLARACIONES_DE_ACTIVOS_PARSEABLES
INP-3f03721fc53034b4f316	/home/pc0/mm-corpus/raw/enut2019_diccionario_variables.html	indice_o_lista_local	3c47a1341092fdd16e1d7621fc69e744dfdd753247c3e5b24561c05e4905758a	html_urls	69	69	NINGUNO	NINGUNA
