tarea_observacion_id	run_id	snapshot_t0_sha256	activo_id	objeto_logico_id	familia_logica_id	ruta_localizador	grado_inspeccion	metodo	criterio_parada	estado_plan
TOBS-008d33026f72aaf3a8ebb049	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-5eed2fcf9d64e8f710606fc1	OBJ-ca5a416674150341bbdb3f28	FAM-86fb6f8e84b9ddb44fa7a3c6	/home/pc0/mm-corpus/raw/encig2023/encig23_base_datos_dbf.zip	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
TOBS-00c320a15636d284a9c41c28	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-a29371c5c676d163e213d17d	OBJ-9cf2c2fb837a112458110314	NO_DETERMINADO	/home/pc0/mm-corpus/raw/encup_2003_cuestionario_pdf.pdf	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
TOBS-00e5e21b0a2adb4bd7f833d2	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-93cbef9270cf73a0084005ee	OBJ-fdefa3a92ee296fdc35d7f13	FAM-66b3a64a95af99930c15906f	/home/pc0/mm-corpus/raw/ejemplobd_enestyc_1999_xlsx.zip	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
TOBS-01ab9c248003bcb50b487c5c	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-1bf8f299858c9e9a59e4cbe9	OBJ-a5ef8997202577e9e1cb199e	FAM-3094e3ae2137360cca641ba4	/home/pc0/mm-corpus/raw/endireh2021/bd_endireh_2021_dbf.zip	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
TOBS-0201f87c8a9fdfc73401e5fe	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-80f99bfd09b9da7aa18e865a	OBJ-b24c9e4d9b412d75ba0c50cf	FAM-37f032f12d97b08a28cc8b5b	/home/pc0/mm-corpus/raw/endireh2021/endireh2021_calc_r.pdf	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
TOBS-02ef240a861b89e01277c8f9	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-b9850d30cfa3802103ee3e17	OBJ-e4dbc1deee5b7b567a870cda	NO_DETERMINADO	/home/pc0/mm-corpus/raw/cuest_modulo_envipe2021.pdf	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
TOBS-032335af00fb0b9366cf07c2	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-5c4aff50fee1549e34c675df	OBJ-f931d52fd3bc2ab9f6fbaa7c	NO_DETERMINADO	/home/pc0/mm-corpus/raw/c_amp_v6a.pdf	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
TOBS-038bd74457652b33f6c4d28c	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-0d72f02b036cdc6d4f80634d	OBJ-af4a406d8010f9a2a6098db0	FAM-7a3a7b638263156b73afe2d7	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF883_dispositivos_enrolados.html	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
TOBS-03c2a2a62bf902eeee8a2d9c	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-0a91501d9c48e551402e2add	OBJ-e0f2736e1fc6b1d1b2c8d6e1	FAM-5bd74e6139a48612e86da97e	/home/pc0/mm-corpus/raw/ejemplobd_enestyc_1999_dbf.zip	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
TOBS-03dd57bd06697b09702640be	RUN-89f4c3a49c00c0e1	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	ACT-e76f53c6f25c435ae5287cf1	OBJ-ede36ec323aa56c6f09c5441	FAM-f687242f6077295f68efcaef	/home/pc0/mm-corpus/raw/enif_2015_bd_dbf.zip	MINIMA_ESTRUCTURAL_NEUTRAL	INSPECTOR_FORMATO_DETERMINISTA	estructura enumerada y frontera declarada, o excepción material documentada	COMPLETADO
