tarea_observacion_id	tarea_origen_id	activo_id	ruta_local	hash_local	join_reutilizacion	expediente_origen
TOBS-008d33026f72aaf3a8ebb049	TOBS-6105cde99d03976d06eb3e71	ACT-5eed2fcf9d64e8f710606fc1	encig2023/encig23_base_datos_dbf.zip	8512fc49f4cbac12e18d44c4d7d0d063214bbd3d01ff1b24cca4df7bf7285737	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-6105cde99d03976d06eb3e71
TOBS-00c320a15636d284a9c41c28	TOBS-b56d47115e64fc630168c4d3	ACT-a29371c5c676d163e213d17d	encup_2003_cuestionario_pdf.pdf	acae1fe19bad780c6d9d7feda9a1739263a28118956011417cc357200270f24c	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-b56d47115e64fc630168c4d3
TOBS-00e5e21b0a2adb4bd7f833d2	TOBS-129351e1d65f5e01ea785f1b	ACT-93cbef9270cf73a0084005ee	ejemplobd_enestyc_1999_xlsx.zip	6e4f8130902dc6cd669e42cbb934dafac6704d6298641f2a35f2709340eb863d	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-129351e1d65f5e01ea785f1b
TOBS-01ab9c248003bcb50b487c5c	TOBS-5a73310982e12fcf340c059b	ACT-1bf8f299858c9e9a59e4cbe9	endireh2021/bd_endireh_2021_dbf.zip	d9d087e0087bea0e0c848c8d39b761af5e8ddf8efe95f2b0604387f21e4a28af	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-5a73310982e12fcf340c059b
TOBS-0201f87c8a9fdfc73401e5fe	TOBS-670d18623b8cfa929b628cdd	ACT-80f99bfd09b9da7aa18e865a	endireh2021/endireh2021_calc_r.pdf	07b82584d1da70d16010c1d8083d656c58887bb87a5bf5196a1a11aac02697da	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-670d18623b8cfa929b628cdd
TOBS-02ef240a861b89e01277c8f9	TOBS-6c50931591b03f2868bf1180	ACT-b9850d30cfa3802103ee3e17	cuest_modulo_envipe2021.pdf	390ef00ec15cabb9dcdf86d9fa79e108cea4ef1a2e8fdfcf4f4c409794636e0c	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-6c50931591b03f2868bf1180
TOBS-032335af00fb0b9366cf07c2	TOBS-b724e44fa2f94268101dd1e5	ACT-5c4aff50fee1549e34c675df	c_amp_v6a.pdf	5e0cc786566fa6c891c53bb14f7e110ce205ff7da43c25a5f781d6b38218046c	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-b724e44fa2f94268101dd1e5
TOBS-038bd74457652b33f6c4d28c	TOBS-3dfc2a50dd2f188cca7434d4	ACT-0d72f02b036cdc6d4f80634d	R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF883_dispositivos_enrolados.html	f6456499e8ab2e498cf0995308f6a14250ae9529611fe9320a578642d85c5b1a	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-3dfc2a50dd2f188cca7434d4
TOBS-03c2a2a62bf902eeee8a2d9c	TOBS-1a05504c68609f4abc264f43	ACT-0a91501d9c48e551402e2add	ejemplobd_enestyc_1999_dbf.zip	8fc3ee404b7ba361367aef72a75701466235724344021f431b7b7e6375a1c57e	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-1a05504c68609f4abc264f43
TOBS-03dd57bd06697b09702640be	TOBS-9c9ef6054d7fbdb745a651dd	ACT-e76f53c6f25c435ae5287cf1	enif_2015_bd_dbf.zip	284e8a0c57f92256efc9743785c756986fb118fff424061bdb991f28779ce5fd	RUTA_LOCAL+SHA256+EXPEDIENTE_HASH_VALIDO	/tmp/modelado-mexicano-barrido/RUN-377a255de24ca946/inspector/TOBS-9c9ef6054d7fbdb745a651dd
