reporte_id	tarea_observacion_id	activo_id	objeto_logico_id	afirmacion_tipo	objeto_inspeccionado	universo_inspeccionado	metodo	valor_o_descripcion	evidencia_ref	localizador	limitacion	bloqueo	siguiente_objeto_no_inspeccionado
RINS-00088186ff35e4acf581eb65	TOBS-3571ce7adc8cca92669d2023	ACT-f98144a87bb213becca1aaeb	OBJ-1932576966be8a5c7be6a147	HECHO_OBSERVADO	ejemplobd_enestyc_2005_xlsx.zip	representación local completa al nivel estructural especificado	apertura con parser determinista según formato	"{""archivos"":8,""directorios"":0,""extensiones"":{"".xls"":8},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":0,""miembros_totales"":8,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""7f6c42a80587fe9f8686851a74b25f8c709cd82befbb4e2bdf795affece5c492"",""tipo"":""ZIP""}"	sha256:2e134ecc658733583be3b7290fbe4a6fa532a517c7980c89f2139f0794f3f7a0	/home/pc0/mm-corpus/raw/ejemplobd_enestyc_2005_xlsx.zip	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	NINGUNO	contenido más allá de la frontera declarada
RINS-00088186ff35e4acf581eb65	TOBS-3571ce7adc8cca92669d2023	ACT-f98144a87bb213becca1aaeb	OBJ-1932576966be8a5c7be6a147	NO_DETERMINADO	ejemplobd_enestyc_2005_xlsx.zip	estructura y metadatos observables de la representación local	inspección estructural sin adjudicación	unidad de observación y significado semántico no determinados por inspección mínima	sha256:2e134ecc658733583be3b7290fbe4a6fa532a517c7980c89f2139f0794f3f7a0	/home/pc0/mm-corpus/raw/ejemplobd_enestyc_2005_xlsx.zip	No se infiere unidad desde nombres de archivo o campo	NINGUNO	documentación semántica o contenido completo, si una orden superior lo solicita
RINS-00088186ff35e4acf581eb65	TOBS-3571ce7adc8cca92669d2023	ACT-f98144a87bb213becca1aaeb	OBJ-1932576966be8a5c7be6a147	NO_INSPECCIONADO	ejemplobd_enestyc_2005_xlsx.zip	frontera exacta descrita en limitación	registro explícito de frontera	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	sha256:2e134ecc658733583be3b7290fbe4a6fa532a517c7980c89f2139f0794f3f7a0	/home/pc0/mm-corpus/raw/ejemplobd_enestyc_2005_xlsx.zip	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	NINGUNO	contenido fuera de la frontera
RINS-00d6bae06e4a2bde8cfaecac	TOBS-12d0a7e50949418fa62e1649	ACT-7153310a11766743708c08e6	OBJ-18e69ce70fc136ce6a239275	HECHO_OBSERVADO	conjunto_de_datos_enoe_2025_1t_csv.zip	representación local completa al nivel estructural especificado	apertura con parser determinista según formato	"{""archivos"":386,""directorios"":0,""extensiones"":{"".csv"":376,"".jpg"":5,"".txt"":5},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":381,""miembros_totales"":386,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""28a2877dcaf6cdb8c4c68db2edd3f8fe3038641fc21f3a64790af73895ecdd4a"",""tipo"":""ZIP""}"	sha256:3931e7c9242147da6ebf9badb1e2b9a59d43d95a9811e077232be406c4ce6691	/home/pc0/mm-corpus/raw/conjunto_de_datos_enoe_2025_1t_csv.zip	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	NINGUNO	contenido más allá de la frontera declarada
RINS-00d6bae06e4a2bde8cfaecac	TOBS-12d0a7e50949418fa62e1649	ACT-7153310a11766743708c08e6	OBJ-18e69ce70fc136ce6a239275	NO_DETERMINADO	conjunto_de_datos_enoe_2025_1t_csv.zip	estructura y metadatos observables de la representación local	inspección estructural sin adjudicación	unidad de observación y significado semántico no determinados por inspección mínima	sha256:3931e7c9242147da6ebf9badb1e2b9a59d43d95a9811e077232be406c4ce6691	/home/pc0/mm-corpus/raw/conjunto_de_datos_enoe_2025_1t_csv.zip	No se infiere unidad desde nombres de archivo o campo	NINGUNO	documentación semántica o contenido completo, si una orden superior lo solicita
RINS-00d6bae06e4a2bde8cfaecac	TOBS-12d0a7e50949418fa62e1649	ACT-7153310a11766743708c08e6	OBJ-18e69ce70fc136ce6a239275	NO_INSPECCIONADO	conjunto_de_datos_enoe_2025_1t_csv.zip	frontera exacta descrita en limitación	registro explícito de frontera	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	sha256:3931e7c9242147da6ebf9badb1e2b9a59d43d95a9811e077232be406c4ce6691	/home/pc0/mm-corpus/raw/conjunto_de_datos_enoe_2025_1t_csv.zip	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	NINGUNO	contenido fuera de la frontera
RINS-0158b8414fffaf28091c42bf	TOBS-7917f80796cca40f6c5b41ae	ACT-0c943eb66f4ad793b5160891	OBJ-588ac69d51caceedca408b08	HECHO_OBSERVADO	ennvih/ehh09q_all.zip	representación local completa al nivel estructural especificado	apertura con parser determinista según formato	"{""archivos"":11,""directorios"":0,""extensiones"":{"".pdf"":11},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":0,""miembros_totales"":11,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""3b6fe0759e9af53fa6712b56a7c0f9a7aebc77508d0585faec892f3f0dd6b2ff"",""tipo"":""ZIP""}"	sha256:4eaed9c07a638fdd388901cd84692b9de2f8503ccf5d54da524b660b46fb5340	/home/pc0/mm-corpus/raw/ennvih/ehh09q_all.zip	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	NINGUNO	contenido más allá de la frontera declarada
RINS-0158b8414fffaf28091c42bf	TOBS-7917f80796cca40f6c5b41ae	ACT-0c943eb66f4ad793b5160891	OBJ-588ac69d51caceedca408b08	NO_DETERMINADO	ennvih/ehh09q_all.zip	estructura y metadatos observables de la representación local	inspección estructural sin adjudicación	unidad de observación y significado semántico no determinados por inspección mínima	sha256:4eaed9c07a638fdd388901cd84692b9de2f8503ccf5d54da524b660b46fb5340	/home/pc0/mm-corpus/raw/ennvih/ehh09q_all.zip	No se infiere unidad desde nombres de archivo o campo	NINGUNO	documentación semántica o contenido completo, si una orden superior lo solicita
RINS-0158b8414fffaf28091c42bf	TOBS-7917f80796cca40f6c5b41ae	ACT-0c943eb66f4ad793b5160891	OBJ-588ac69d51caceedca408b08	NO_INSPECCIONADO	ennvih/ehh09q_all.zip	frontera exacta descrita en limitación	registro explícito de frontera	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	sha256:4eaed9c07a638fdd388901cd84692b9de2f8503ccf5d54da524b660b46fb5340	/home/pc0/mm-corpus/raw/ennvih/ehh09q_all.zip	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	NINGUNO	contenido fuera de la frontera
RINS-01ab7ef7e97e7a3a1f0b7eca	TOBS-96c758050258c87a2d4b2432	ACT-e8a38ba476ec013f5d27a512	OBJ-df0387b36307923cec6d5876	HECHO_OBSERVADO	endireh2003/bd_endireh_2003_dbf.zip	representación local completa al nivel estructural especificado	apertura con parser determinista según formato	"{""archivos"":16,""directorios"":1,""extensiones"":{"".dbf"":12,"".pdf"":2,"".txt"":1,"".xls"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":12,""miembros_totales"":17,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""32162a58a03bbff479e8910040ab701b8729e43e6227f2433c02b51ccfc1fb34"",""tipo"":""ZIP""}"	sha256:9c5143ff7ae57b1e60cb0049eba6addb4be65fdeb5fe4690c8648f23edb1cb6d	/home/pc0/mm-corpus/raw/endireh2003/bd_endireh_2003_dbf.zip	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	NINGUNO	contenido más allá de la frontera declarada
