ledger_id	run_origen	snapshot_origen_sha256	tarea_original_id	tarea_observacion_id	activo_id	objeto_logico_id	ruta_local	sha256	condicion	reporte_inspeccion_ref	reporte_filas_sha256	contrato_input_ref	contrato_input_sha256	expediente_origen_sha256	join_auditable
LED-T0-00c6028d5098a0718a27a495	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-67f0b03ecbf7a570ed4dca70	TOBS-9488d38be3096c385198d756	ACT-8cb29a7522a1f5f72722f454	OBJ-aca0503735b52435971c96df	eder2025/eder2025_bases_sav.zip	c76664742a89079ae48859ee39cae20db0c65b24d19f991407d8bb56748e08d5	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-a171794beb9dc3284d4ab10b	c19677cc61588425f0d40f2babbac61083885705f37957a495f246c4612ae304	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-9488d38be3096c385198d756	5050743620d49bc4d6a992348aa21e735fe3adcf1dfb5d9c361e70409ea0a688	430e5b9b8a7e57aac8254ad27c3b53885862b24153aeba603d7506a5d5e4c1b7	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
LED-T0-0391070c1dc7d0a69bfe7afd	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-760912ae0b12367a4c29433d	TOBS-27c1c42df2377364fe02f8e3	ACT-91001764c8ede2766d5ef824	OBJ-f3d4ffc7dd2524032ead4442	ennvih/eloc05cb_all.zip	e793a63ba5b39bd5599c9340f64129e6ab380a7c67fc87c0721a04283fff2d7b	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-505d0e8e9717885fe88ec238	25238fcc5c291a8d09e125169823a33e85692e424178cd4965ff4b40c3ea9aac	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-27c1c42df2377364fe02f8e3	dffe0f9e7a5c53a6cf02f35b9de53383b7ff545bee71206d0e8ab6e749982138	c7d805545f95b3d61d1b3ab61107a3f3a14faca0a8aa1b9a4c02eb9166873b15	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
LED-T0-0417dc39e80befe39b7552f7	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-91cfd039756b3b7d38dbb574	TOBS-f3c5cc49bff917d61234a838	ACT-aaf75de29d2ec8e2662adbbc	OBJ-956245742795530750e5d957	R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF882_cuentas_pago_cobro.html	05cec9b9a2937b22f8644e2f674c183559b86fd97b3235312f23b21ab99f4964	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-58008983c5b6da739b899fb2	4784cef193a8713dc4bfc1b0a51de9282219bdf1613848ebaf31f9cf303fd6ae	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-f3c5cc49bff917d61234a838	85501d3cfba2a678c6355969ea6a1a03ca4846f1ea3922fbbf266572df0744e1	59df31bf108d3ea1a78691c619e36a19a1abb9c2c933073264743b3b8b94e1ca	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
LED-T0-0454629f1ecc103c7e019e02	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-a9f8a960f850f79e2c868a2c	TOBS-420265f66f285f10bbac6a73	ACT-3da4789fcbb6e08cf0600357	OBJ-2e4a2b0cf38fe753c3bb259b	endutih2025/endutih2025_bd_dbf.zip	a927528779c56b4565aae8b83bfaf119f50178bb4c7e7df4eaceee992f86ee1c	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-22acf388724af0550f83f677	caec353673223f24950a783f7fcc2f7b43e32f732899cea21efbe2219f58979d	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-420265f66f285f10bbac6a73	0cec954f0468135f989904f5fb3b9bf8826a5f613326fa7968b05a0dd27f1492	99df5f7ca395087e3cabf02dcc50fbdcc6370267718ea8ebb2d9f375e61feb2b	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
LED-T0-067ee53ac190279efbca4fd1	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-91ba402fa30465ff5713e49a	TOBS-f7dee967fa6dbbca0f8b2dfb	ACT-88f63dac487b1f2357facfe4	OBJ-7affb918c7861ce2fc2dc1bf	enif_2021_modelo_er_pdf.zip	3d63ecabb38448b8fb34af637a498119eb43e0ef66429be9c38d36ccc012ef52	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-d5fa032d55cb230598306044	87ab125cb67e89b10e94e30d5ab2c0917515cd45aeded9feb6fa933f9fd38fc3	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-f7dee967fa6dbbca0f8b2dfb	ee84ef8cbec6b9fdcbe54c6b29474188e52569b2f7993e4a1bf0a486835f55f3	ce22e83e84ec3009744f4c3ea3e916b59992fda5d01538507d74d075bacb8465	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
LED-T0-06e573b2423adc99089886b1	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-af273472ad92ff2c683a11a5	TOBS-67bc422ea756c8a76183b842	ACT-74bf3091ec67b1696fbb9c72	OBJ-9b6281e69851f86e47b9d6ba	enfih2019/enfih_2019_fd.xlsx	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-bd965712738f58c527c4fbf0	6dd530908cdd59540546204299473802cab07a7818d49e44228a1af71c2e82a9	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-67bc422ea756c8a76183b842	c063603841ec843dafd43349ac49a442f66b66f903d6feacc4f8310230c76094	66db84ff99bd751ef53b0cf213602c05b7a9ff0b7430a0a53f49d0f5899bd73e	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
LED-T0-0759e9afb59c03de6ed93d9c	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-d42d9db53b51ea38c88b763e	TOBS-63fd58e5a7a1cc3da7221048	ACT-4dd7802584eb2d1c45d1f81e	OBJ-928c5104e5ce106ee32d9f88	encup_2012_base_datos_xlsx.xlsx	50341d97a3e305e6ed3348757632e5b23ab2e87b2052304961905619d85612e4	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-2b0fcfc2f3933f0e8fd66b6f	4e4da9a3d319204bafad252c256f0c3a9699bd2d91dc811a57f916fddd5c3925	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-63fd58e5a7a1cc3da7221048	cdad276886b7c1a2ec88f710f5b5622546d4a42536d907d7869b21ca31882c62	2b1d405cb6dd563b6789dd456090b907049dae75552d649baaddb372bb014c3d	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
LED-T0-0897d6ef68d8487ee0b9619f	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-70a2e6c152f33fb26624bb67	TOBS-69400f6b4be1c3ba86dfd7cb	ACT-0947827192de54aaeec30ba3	OBJ-54af7335cd063b3c00de42fb	endireh2016/bd_viviendas_endireh2016_sitioinegi_stata.zip	1efc5669f8069a29f124192e65de75585ce6d10772da53f6366ea64cb8bf4e46	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-5c2fd55dd4561c83db6dbaed	8c3d8a7988ff10f337c6aa35d01475da11931e4cdb0c654ae593a95205881f1d	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-69400f6b4be1c3ba86dfd7cb	a3dc359474a29fe59bb699f72358c2aba654b91611be78ced5a775935042f49a	b67ceff382b7b26e01623ada4946686eb903405e7d116dce70f3b8d099b473be	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
LED-T0-0969c7c5ee2970a1b27b11f8	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-5e6cc809d7c926024ff45c3a	TOBS-81765ec6fd23dbca9d4e81b2	ACT-07f8da893e6fe47a1fac3484	OBJ-31bab4f50b0192c532875008	R3.4_Banxico_CoDi_SPEI/informe_anual_IdMF_2023.pdf	efbcd28175c9d96b42032d5283e660971aee6ffff82c95a62a9fe1bff413047d	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-c4dafc75ea3d40c67ea54ec1	ef33c2fad73911b72e30ef49b87fad8823dbd8d57dc4f257e34a9bd10e8818a9	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-81765ec6fd23dbca9d4e81b2	41894da56d497f72c58d05abcced8cebcc3127cd5fe0c298d94e6fa01bd35344	337b0cf86d3840717a7c4b0f1ca84dfd7d2be8ec74cf058533a6d4e0b52ac7de	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
LED-T0-0a806268fa9adb618fa776c7	RUN-377a255de24ca946	377a255de24ca9465f073b024699b680655672bfc37ffd19f3bbb24a76790d62	TOBS-df08b582ab74841efaf704ea	TOBS-27d75654a35d5a92a03d2e50	ACT-7a9b9565802fddd34c530a51	OBJ-14776b7cd57d55e7a2fcd1e4	conjunto_de_datos_enoe_2024_4t_csv.zip	bb6d958c9bca11672d367d2c051cd08bf1654c471c2f32c8e21992c126a3b426	REUTILIZADA_PRE_T0_CORREGIDO	data/curacion-universo/reportes-inspeccion.tsv#reporte_id=RINS-4cac4e3bdb61e250778492f5	bc07174822341577c241c3aa1a83182e8dc13f45c394b47e98380575d3098169	data/curacion-universo/contratos-inspeccion.jsonl#tarea_observacion_id=TOBS-27d75654a35d5a92a03d2e50	9ca9bc7147db2feb89b9085b6b020cb4f40efe669f6a5bed2d36b076f87e5481	7b6c74ad36eb6bc0f96cd77b75a42c87f6a53cb77fa6b723f9c5b9d2e39693ed	RUTA_LOCAL+SHA256+ACTIVO+TAREA+CONTRATO+REPORTE
