llave	calc	result_id	celda	instrumento	ola	conducta	eje	segmento	unidad	naturaleza_ic	firma_fp	estado_adopcion	origen_piso	paquete	estado
RESULT-AMAI-NSE-ENDUTIH-2023-actividad_mensajes-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_mensajes-ALTO-P		ENDUTIH	2023	actividad_mensajes	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-actividad_mensajes-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_mensajes-BAJO-P		ENDUTIH	2023	actividad_mensajes	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-actividad_mensajes-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_mensajes-MEDIO-P		ENDUTIH	2023	actividad_mensajes	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-actividad_tramite-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_tramite-ALTO-P		ENDUTIH	2023	actividad_tramite	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-actividad_tramite-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_tramite-BAJO-P		ENDUTIH	2023	actividad_tramite	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-actividad_tramite-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_tramite-MEDIO-P		ENDUTIH	2023	actividad_tramite	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-celular-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-celular-ALTO-P		ENDUTIH	2023	celular	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-celular-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-celular-BAJO-P		ENDUTIH	2023	celular	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-celular-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-celular-MEDIO-P		ENDUTIH	2023	celular	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-internet-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-internet-ALTO-P		ENDUTIH	2023	internet	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
