instrumento	ola	medida	dominio	estado	punto	ic95_lo	ic95_hi	n	unidad	universo	result_id	calc_id	resultados_sha256
ENDUTIH	2023	internet	TOTAL	ESTIMABLE	0.8118318755402926	0.8067244365509803	0.817111674581076	58922	persona	persona elegida 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	celular	TOTAL	ESTIMABLE	0.8238218745493117	0.8189030558384782	0.8291500421199148	58922	persona	persona elegida 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	actividad_empleo	TOTAL	ESTIMABLE	0.258782554652831	0.2521589250286641	0.26507846496740856	40745	persona	usuarios internet 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	actividad_mensajes	TOTAL	ESTIMABLE	0.9137007244530112	0.9098571664092522	0.9172837505494982	46631	persona	usuarios internet 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	actividad_tramite	TOTAL	ESTIMABLE	0.1774626253022961	0.17205642263285667	0.18239240259210984	46631	persona	usuarios internet 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	no_internet_acceso	TOTAL	ESTIMABLE	0.11466974809599839	0.10689006409335906	0.12419929081764773	12291	persona	no usuarios internet 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	no_internet_costo	TOTAL	ESTIMABLE	0.10882535894306725	0.09964722283205417	0.11971639755626441	12291	persona	no usuarios internet 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	no_internet_preferencia	TOTAL	ESTIMABLE	0.1594453782985065	0.14935134692064092	0.17114877874006074	12291	persona	no usuarios internet 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	no_celular_costo	TOTAL	ESTIMABLE	0.3523787778125104	0.3359590376627662	0.36712948390654015	9884	persona	sin celular 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	no_celular_preferencia	TOTAL	ESTIMABLE	0.17805511841580332	0.16812279252815202	0.1887385832391923	9884	persona	sin celular 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2023	no_celular_cobertura	TOTAL	ESTIMABLE	0.004275232318449756	0.0028859243902774534	0.005681677973292224	9884	persona	sin celular 6+	RESULT-ENDUTIH-PISOS-2023-TABLA	CALC-ENDUTIH-PISOS-2023-0001	0969165006c0b5dc9995179b40d55ea4f806bc22428dcbbd1c3246868052921c
ENDUTIH	2024	internet	TOTAL	ESTIMABLE	0.8312233799456584	0.8265662974029694	0.8358930236303969	58080	persona	persona elegida 6+	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	4c0a3b05b6ecef3e9d7e760163cc6a6691ceaf384fa522e620bbe9b663088c25
ENDUTIH	2024	celular	TOTAL	ESTIMABLE	0.8305708768781395	0.8258333020083455	0.8352185030360273	58080	persona	persona elegida 6+	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	4c0a3b05b6ecef3e9d7e760163cc6a6691ceaf384fa522e620bbe9b663088c25
ENDUTIH	2024	actividad_empleo	TOTAL	ESTIMABLE	0.2533065947411391	0.2474675987938534	0.2595861147614326	41221	persona	usuarios internet 6+	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	4c0a3b05b6ecef3e9d7e760163cc6a6691ceaf384fa522e620bbe9b663088c25
ENDUTIH	2024	actividad_mensajes	TOTAL	ESTIMABLE	0.9070322496384446	0.902956714017066	0.9109769171388096	47240	persona	usuarios internet 6+	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	4c0a3b05b6ecef3e9d7e760163cc6a6691ceaf384fa522e620bbe9b663088c25
ENDUTIH	2024	actividad_tramite	TOTAL	ESTIMABLE	0.17168448086543092	0.16670305933219573	0.17680801646560704	47240	persona	usuarios internet 6+	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	4c0a3b05b6ecef3e9d7e760163cc6a6691ceaf384fa522e620bbe9b663088c25
