# DERIVADO por tools/relevo_candidatos_delta.py::_familia (P2, ACTO GEN2-RELEVO-TANDA-1). NO ADOPTA.
# Coincidir a seis decimales no prueba que el nombre sea correcto: estas cinco columnas son la prueba por TEXTO.
slot	conducta	consumidor	familia	estimando_declarado	calc_candidato	result_candidato	evento	universo	unidad	ola	denominador	nombre_casa_con_estimando	dimensiones_rotas	destino	evidencias
RES-0025	evade_norma_envipe2025	milpa/tramite.yaml:tramite.evasion_norma:evade_norma_envipe2025	EVASION-NORMA-DIRECTA	p ponderada por delito de evade/cumple norma; ENVIPE 2025, n=40 280	CALC-EVASION-NORMA-0001-v1_1	RESULT-EVASIONNORMA-A-P-EVADE	La pareja enlaza la conducta legacy exacta con el RESULT que la spec declara que releva al slot.	Los mismos 40 280 delitos con BP1_20 en {1,2}, sin pérdida, ponderados por FAC_DEL.	DELITO en ambos lados; la spec excluye expresamente la unidad persona.	ENVIPE 2025, con delitos del periodo de referencia 2024 en ambos lados.	Misma proporción FAC_DEL; el complemento se cuenta directamente y agota la partición de dos celdas.	CASA	NINGUNA	BLOQUE-si-bin1	data/corrida0/CALC-EVASION-NORMA-0001-v1_1/spec.md;milpa/tramite.yaml
RES-0026	cumple_norma_envipe2025	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma_envipe2025	EVASION-NORMA-DIRECTA	p ponderada por delito de evade/cumple norma; ENVIPE 2025, n=40 280	CALC-EVASION-NORMA-0001-v1_1	RESULT-EVASIONNORMA-A-P-CUMPLE	La pareja enlaza la conducta legacy exacta con el RESULT que la spec declara que releva al slot.	Los mismos 40 280 delitos con BP1_20 en {1,2}, sin pérdida, ponderados por FAC_DEL.	DELITO en ambos lados; la spec excluye expresamente la unidad persona.	ENVIPE 2025, con delitos del periodo de referencia 2024 en ambos lados.	Misma proporción FAC_DEL; el complemento se cuenta directamente y agota la partición de dos celdas.	CASA	NINGUNA	BLOQUE-si-bin1	data/corrida0/CALC-EVASION-NORMA-0001-v1_1/spec.md;milpa/tramite.yaml
RES-0028	denuncia_por_otra_razon	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon	ENVIPE-U4-VS-U1-NO-COMPARABLE	legacy q=1-p(C2,U4) persona vs candidato p(C2 complementario,U1) delito	CALC-ENVIPE-0001	RESULT-ENVIPE-DEN-P-COMPLEMENTO-C2-U1	RUPTURA: legacy es ninguna razón padre en la persona; candidato es un delito cuya razón principal cae en {03,04,05,07}.	RUPTURA: legacy es persona con al menos un delito U1 y colapso máximo; candidato es el conjunto de delitos U1.	RUPTURA: legacy U4 usa PERSONA; el candidato usa DELITO U1.	ENVIPE 2025, delitos de referencia 2024 en ambos lados.	RUPTURA: 1-p(C2,U4) tras colapso a persona no equivale a contar el complemento C2 sobre delitos U1.	NO-CASA	evento;universo;unidad;denominador	FILA-PARA-MESA	data/corrida0/CALC-ENVIPE-0001/spec.md;forense/notas/2026-09-15-GEN2-E11-RES0028-PARTICION-cierre.md;milpa/tramite.yaml
RES-0031	tiene_ahorros_enif2024	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros_enif2024	TIENE-AHORROS-DIRECTA	p ponderada de persona 18+ con/sin ahorro; ENIF 2024, n=13 502	CALC-TIENE-AHORROS-0001-v1_1	RESULT-TIENEAHORROS-A-P-TIENE	Alguna vía informal o formal de ahorro frente a su complemento, exactamente como en la enmienda legacy.	Las mismas 13 502 personas elegidas, EDAD_V 18-98, sin pérdida, FAC_PER.	PERSONA elegida de 18 años y más en ambos lados.	ENIF 2024 y su periodo de referencia de ahorro en ambos lados.	Misma proporción FAC_PER; no_tiene_ahorros es el complemento contado directamente.	CASA	NINGUNA	BLOQUE-si-bin1	data/corrida0/CALC-TIENE-AHORROS-0001-v1_1/spec.md;milpa/tramite.yaml
RES-0032	no_tiene_ahorros_enif2024	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros_enif2024	TIENE-AHORROS-DIRECTA	p ponderada de persona 18+ con/sin ahorro; ENIF 2024, n=13 502	CALC-TIENE-AHORROS-0001-v1_1	RESULT-TIENEAHORROS-A-P-NO-TIENE	Alguna vía informal o formal de ahorro frente a su complemento, exactamente como en la enmienda legacy.	Las mismas 13 502 personas elegidas, EDAD_V 18-98, sin pérdida, FAC_PER.	PERSONA elegida de 18 años y más en ambos lados.	ENIF 2024 y su periodo de referencia de ahorro en ambos lados.	Misma proporción FAC_PER; no_tiene_ahorros es el complemento contado directamente.	CASA	NINGUNA	BLOQUE-si-bin1	data/corrida0/CALC-TIENE-AHORROS-0001-v1_1/spec.md;milpa/tramite.yaml
RES-0033	recibe_dinero_familiares_para_vejez	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez	APOYO-FAMILIAR-DIRECTA	p ponderada de persona que recibe/no recibe dinero familiar para vejez; ENIF 2024, n=11 895	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	RESULT-DFVEJEZ-A-P-RECIBE	P9_9_4=1 (dinero de familiares para cubrir la vejez) frente a su complemento.	Mismo filtro FILTRO_S9_1=2 y EDAD_V<71, 11 895 personas con respuesta válida y FAC_PER.	PERSONA en ambos lados.	ENIF 2024 en ambos lados.	Misma proporción FAC_PER; el no-recibe se cuenta directamente como complemento.	CASA	NINGUNA	BLOQUE-si-bin1	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1/spec.md;forense/notas/2026-08-31-reglas-fase1-spec.md;milpa/tramite.yaml
RES-0034	no_recibe_dinero_familiares_para_vejez	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	APOYO-FAMILIAR-DIRECTA	p ponderada de persona que recibe/no recibe dinero familiar para vejez; ENIF 2024, n=11 895	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	RESULT-DFVEJEZ-A-P-NO-RECIBE	P9_9_4=1 (dinero de familiares para cubrir la vejez) frente a su complemento.	Mismo filtro FILTRO_S9_1=2 y EDAD_V<71, 11 895 personas con respuesta válida y FAC_PER.	PERSONA en ambos lados.	ENIF 2024 en ambos lados.	Misma proporción FAC_PER; el no-recibe se cuenta directamente como complemento.	CASA	NINGUNA	BLOQUE-si-bin1	data/corrida0/CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1/spec.md;forense/notas/2026-08-31-reglas-fase1-spec.md;milpa/tramite.yaml
RES-0053	ahorra_solo_informal	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_informal	VIAS-AHORRO-PARTICION	partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	RESULT-HVD-A-SOLO-INFORMAL	La celda legacy y el RESULT usan la misma combinación de pertenencia a ahorro formal F e informal I.	Mismas 13 502 personas de ENIF 2024; las cuatro celdas forman una partición completa.	PERSONA elegida de 18 años y más en las cuatro celdas.	ENIF 2024 y el mismo periodo de referencia de ahorro.	Misma inclusión-exclusión: ambas=F+I-(F∪I), exclusivas por resta y no_ahorra=1-(F∪I).	CASA	NINGUNA	BLOQUE-si-bin1	data/corrida0/CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1/spec.md;milpa/tramite.yaml
RES-0054	ahorra_ambas_vias	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_ambas_vias	VIAS-AHORRO-PARTICION	partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	RESULT-HVD-A-AMBAS-VIAS	La celda legacy y el RESULT usan la misma combinación de pertenencia a ahorro formal F e informal I.	Mismas 13 502 personas de ENIF 2024; las cuatro celdas forman una partición completa.	PERSONA elegida de 18 años y más en las cuatro celdas.	ENIF 2024 y el mismo periodo de referencia de ahorro.	Misma inclusión-exclusión: ambas=F+I-(F∪I), exclusivas por resta y no_ahorra=1-(F∪I).	CASA	NINGUNA	BLOQUE-si-bin1	data/corrida0/CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1/spec.md;milpa/tramite.yaml
RES-0055	ahorra_solo_formal	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_formal	VIAS-AHORRO-PARTICION	partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	RESULT-HVD-A-SOLO-FORMAL	La celda legacy y el RESULT usan la misma combinación de pertenencia a ahorro formal F e informal I.	Mismas 13 502 personas de ENIF 2024; las cuatro celdas forman una partición completa.	PERSONA elegida de 18 años y más en las cuatro celdas.	ENIF 2024 y el mismo periodo de referencia de ahorro.	Misma inclusión-exclusión: ambas=F+I-(F∪I), exclusivas por resta y no_ahorra=1-(F∪I).	CASA	NINGUNA	BLOQUE-si-bin1	data/corrida0/CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1/spec.md;milpa/tramite.yaml
