producto,regimen_definicion,fecha_inicio,fecha_fin,n_meses,nivel_inicio_pct,nivel_fin_pct,diferencia_fin_inicio_pp,diferencia_fin_inicio_rel_pct,media_temporal_pct,mediana_temporal_pct,minimo_pct,fechas_minimo,maximo_pct,fechas_maximo,desv_est_poblacional_nivel_pp,n_cambios_mensuales,media_cambio_mensual_pp,mediana_cambio_mensual_pp,minimo_cambio_mensual_pp,maximo_cambio_mensual_pp,desv_est_poblacional_cambio_mensual_pp,n_cambios_interanuales,media_cambio_interanual_pp,mediana_cambio_interanual_pp,minimo_cambio_interanual_pp,maximo_cambio_interanual_pp,desv_est_poblacional_cambio_interanual_pp
Consumo total,PRE_IFRS9_CARTERA_VENCIDA,2016-01,2021-12,72,3.960000,3.270000,-0.690000,-17.424242,4.210833,4.200000,3.270000,2021-12,5.720000,2021-01,0.419188,71,-0.009718,-0.010000,-0.630000,0.990000,0.199061,60,0.021500,0.035000,-2.130000,1.630000,0.559633
Consumo total,IFRS9_ETAPA_3,2022-01,2026-03,51,3.060000,3.260000,0.200000,6.535948,3.039412,3.000000,2.770000,2022-07,3.390000,2025-12;2026-01,0.156097,50,0.004000,0.000000,-0.200000,0.160000,0.079347,39,0.080000,0.050000,-0.220000,0.440000,0.191740
Tarjetas de crédito,PRE_IFRS9_CARTERA_VENCIDA,2016-01,2021-12,72,4.900000,3.280000,-1.620000,-33.061224,5.138889,5.190000,3.280000,2021-12,7.490000,2021-01,0.697407,71,-0.022817,-0.020000,-0.980000,1.420000,0.335224,60,-0.052667,-0.035000,-3.640000,2.640000,0.906947
Tarjetas de crédito,IFRS9_ETAPA_3,2022-01,2026-03,51,2.510000,3.350000,0.840000,33.466135,3.121176,3.270000,2.510000,2022-01,3.600000,2024-01,0.333394,50,0.016800,0.030000,-0.350000,0.250000,0.115818,39,0.209487,0.140000,-0.420000,0.940000,0.350918
ABCD,PRE_IFRS9_CARTERA_VENCIDA,2016-01,2021-12,72,1.850000,2.800000,0.950000,51.351351,2.404583,2.335000,1.700000,2016-04,3.680000,2021-02,0.525431,71,0.013380,0.010000,-0.200000,0.320000,0.099675,60,0.284000,0.235000,-0.580000,1.250000,0.341683
ABCD,IFRS9_ETAPA_3,2022-01,2026-03,51,2.550000,1.880000,-0.670000,-26.274510,1.700392,1.640000,1.360000,2024-05,2.550000,2022-01,0.278736,50,-0.013400,-0.010000,-0.170000,0.100000,0.058296,39,-0.144615,-0.210000,-0.750000,0.440000,0.293029
Nómina,PRE_IFRS9_CARTERA_VENCIDA,2016-01,2021-12,72,2.920000,2.360000,-0.560000,-19.178082,2.845000,2.915000,1.770000,2020-09,3.440000,2016-11,0.323758,71,-0.007887,-0.020000,-0.370000,0.630000,0.162679,60,-0.098833,-0.080000,-1.090000,0.570000,0.317916
Nómina,IFRS9_ETAPA_3,2022-01,2026-03,51,2.830000,2.770000,-0.060000,-2.120141,2.834314,2.820000,2.540000,2022-04,3.170000,2023-12,0.141258,50,-0.001200,0.015000,-0.260000,0.290000,0.106914,39,0.012821,0.060000,-0.360000,0.350000,0.170774
Personales,PRE_IFRS9_CARTERA_VENCIDA,2016-01,2021-12,72,4.620000,5.200000,0.580000,12.554113,5.502500,5.495000,4.360000,2016-04;2016-06,7.600000,2021-01,0.718109,71,0.008169,-0.020000,-0.610000,1.100000,0.218434,60,0.325500,0.350000,-2.190000,2.130000,0.799013
Personales,IFRS9_ETAPA_3,2022-01,2026-03,51,5.160000,5.290000,0.130000,2.519380,4.720196,4.630000,4.170000,2022-07,6.000000,2025-12,0.412070,50,0.002600,0.015000,-0.400000,0.520000,0.171847,39,0.194615,0.170000,-0.520000,1.380000,0.503642
