fecha,producto,regimen_definicion,imor_porcentaje,cambio_mensual_pp,cambio_mensual_rel_pct,cambio_interanual_pp,cambio_interanual_rel_pct
2016-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.960000,,,,
2016-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.960000,0.000000,0.000000,,
2016-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.870000,-0.090000,-2.272727,,
2016-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.880000,0.010000,0.258398,,
2016-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.030000,0.150000,3.865979,,
2016-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.960000,-0.070000,-1.736973,,
2016-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.020000,0.060000,1.515152,,
2016-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.010000,-0.010000,-0.248756,,
2016-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.060000,0.050000,1.246883,,
2016-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.150000,0.090000,2.216749,,
2016-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.190000,0.040000,0.963855,,
2016-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.080000,-0.110000,-2.625298,,
2017-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.140000,0.060000,1.470588,0.180000,4.545455
2017-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.140000,0.000000,0.000000,0.180000,4.545455
2017-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.090000,-0.050000,-1.207729,0.220000,5.684755
2017-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.030000,-0.060000,-1.466993,0.150000,3.865979
2017-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.200000,0.170000,4.218362,0.170000,4.218362
2017-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.230000,0.030000,0.714286,0.270000,6.818182
2017-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.280000,0.050000,1.182033,0.260000,6.467662
2017-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.300000,0.020000,0.467290,0.290000,7.231920
2017-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.310000,0.010000,0.232558,0.250000,6.157635
2017-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.500000,0.190000,4.408353,0.350000,8.433735
2017-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.490000,-0.010000,-0.222222,0.300000,7.159905
2017-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.380000,-0.110000,-2.449889,0.300000,7.352941
2018-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.400000,0.020000,0.456621,0.260000,6.280193
2018-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.380000,-0.020000,-0.454545,0.240000,5.797101
2018-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.360000,-0.020000,-0.456621,0.270000,6.601467
2018-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.410000,0.050000,1.146789,0.380000,9.429280
2018-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.500000,0.090000,2.040816,0.300000,7.142857
2018-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.430000,-0.070000,-1.555556,0.200000,4.728132
2018-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.440000,0.010000,0.225734,0.160000,3.738318
2018-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.400000,-0.040000,-0.900901,0.100000,2.325581
2018-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.430000,0.030000,0.681818,0.120000,2.784223
2018-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.450000,0.020000,0.451467,-0.050000,-1.111111
2018-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.350000,-0.100000,-2.247191,-0.140000,-3.118040
2018-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.240000,-0.110000,-2.528736,-0.140000,-3.196347
2019-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.180000,-0.060000,-1.415094,-0.220000,-5.000000
2019-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.230000,0.050000,1.196172,-0.150000,-3.424658
2019-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.170000,-0.060000,-1.418440,-0.190000,-4.357798
2019-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.200000,0.030000,0.719424,-0.210000,-4.761905
2019-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.230000,0.030000,0.714286,-0.270000,-6.000000
2019-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.210000,-0.020000,-0.472813,-0.220000,-4.966140
2019-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.210000,0.000000,0.000000,-0.230000,-5.180180
2019-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.150000,-0.060000,-1.425178,-0.250000,-5.681818
2019-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.200000,0.050000,1.204819,-0.230000,-5.191874
2019-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.230000,0.030000,0.714286,-0.220000,-4.943820
2019-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.160000,-0.070000,-1.654846,-0.190000,-4.367816
2019-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.110000,-0.050000,-1.201923,-0.130000,-3.066038
2020-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.090000,-0.020000,-0.486618,-0.090000,-2.153110
2020-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.100000,0.010000,0.244499,-0.130000,-3.073286
2020-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.140000,0.040000,0.975610,-0.030000,-0.719424
2020-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.320000,0.180000,4.347826,0.120000,2.857143
2020-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.500000,0.180000,4.166667,0.270000,6.382979
2020-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.390000,-0.110000,-2.444444,0.180000,4.275534
2020-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.080000,-0.310000,-7.061503,-0.130000,-3.087886
2020-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.670000,-0.410000,-10.049020,-0.480000,-11.566265
2020-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.630000,-0.040000,-1.089918,-0.570000,-13.571429
2020-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.040000,0.410000,11.294766,-0.190000,-4.491726
2020-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,5.030000,0.990000,24.504950,0.870000,20.913462
2020-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,5.400000,0.370000,7.355865,1.290000,31.386861
2021-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,5.720000,0.320000,5.925926,1.630000,39.853301
2021-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,5.530000,-0.190000,-3.321678,1.430000,34.878049
2021-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.900000,-0.630000,-11.392405,0.760000,18.357488
2021-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.500000,-0.400000,-8.163265,0.180000,4.166667
2021-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.260000,-0.240000,-5.333333,-0.240000,-5.333333
2021-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.950000,-0.310000,-7.276995,-0.440000,-10.022779
2021-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.690000,-0.260000,-6.582278,-0.390000,-9.558824
2021-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.530000,-0.160000,-4.336043,-0.140000,-3.814714
2021-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.430000,-0.100000,-2.832861,-0.200000,-5.509642
2021-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.400000,-0.030000,-0.874636,-0.640000,-15.841584
2021-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.280000,-0.120000,-3.529412,-1.750000,-34.791252
2021-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.270000,-0.010000,-0.304878,-2.130000,-39.444444
2022-01,Consumo total,IFRS9_ETAPA_3,3.060000,,,,
2022-02,Consumo total,IFRS9_ETAPA_3,2.960000,-0.100000,-3.267974,,
2022-03,Consumo total,IFRS9_ETAPA_3,2.860000,-0.100000,-3.378378,,
2022-04,Consumo total,IFRS9_ETAPA_3,2.830000,-0.030000,-1.048951,,
2022-05,Consumo total,IFRS9_ETAPA_3,2.960000,0.130000,4.593640,,
2022-06,Consumo total,IFRS9_ETAPA_3,2.840000,-0.120000,-4.054054,,
2022-07,Consumo total,IFRS9_ETAPA_3,2.770000,-0.070000,-2.464789,,
2022-08,Consumo total,IFRS9_ETAPA_3,2.850000,0.080000,2.888087,,
2022-09,Consumo total,IFRS9_ETAPA_3,2.850000,0.000000,0.000000,,
2022-10,Consumo total,IFRS9_ETAPA_3,2.960000,0.110000,3.859649,,
2022-11,Consumo total,IFRS9_ETAPA_3,2.830000,-0.130000,-4.391892,,
2022-12,Consumo total,IFRS9_ETAPA_3,2.880000,0.050000,1.766784,,
2023-01,Consumo total,IFRS9_ETAPA_3,2.950000,0.070000,2.430556,-0.110000,-3.594771
2023-02,Consumo total,IFRS9_ETAPA_3,2.940000,-0.010000,-0.338983,-0.020000,-0.675676
2023-03,Consumo total,IFRS9_ETAPA_3,2.880000,-0.060000,-2.040816,0.020000,0.699301
2023-04,Consumo total,IFRS9_ETAPA_3,2.890000,0.010000,0.347222,0.060000,2.120141
2023-05,Consumo total,IFRS9_ETAPA_3,3.000000,0.110000,3.806228,0.040000,1.351351
2023-06,Consumo total,IFRS9_ETAPA_3,3.000000,0.000000,0.000000,0.160000,5.633803
2023-07,Consumo total,IFRS9_ETAPA_3,3.080000,0.080000,2.666667,0.310000,11.191336
2023-08,Consumo total,IFRS9_ETAPA_3,3.100000,0.020000,0.649351,0.250000,8.771930
2023-09,Consumo total,IFRS9_ETAPA_3,3.140000,0.040000,1.290323,0.290000,10.175439
2023-10,Consumo total,IFRS9_ETAPA_3,3.240000,0.100000,3.184713,0.280000,9.459459
2023-11,Consumo total,IFRS9_ETAPA_3,3.240000,0.000000,0.000000,0.410000,14.487633
2023-12,Consumo total,IFRS9_ETAPA_3,3.320000,0.080000,2.469136,0.440000,15.277778
2024-01,Consumo total,IFRS9_ETAPA_3,3.320000,0.000000,0.000000,0.370000,12.542373
2024-02,Consumo total,IFRS9_ETAPA_3,3.240000,-0.080000,-2.409639,0.300000,10.204082
2024-03,Consumo total,IFRS9_ETAPA_3,3.070000,-0.170000,-5.246914,0.190000,6.597222
