pr	n_merge_2padres	n_commits_renumeracion	n_commits_total
948	3	2	9
946	3	3	9
945	2	1	4
944	4	3	8
943	3	4	10
942	2	2	12
941	4	4	8
940	1	0	4
939	4	5	10
938	5	4	11
937	2	2	7
936	4	3	10
935	2	1	11
934	1	0	2
933	1	1	4
932	3	3	9
929	1	1	8
928	2	2	7
927	1	2	5
926	3	1	7
925	2	2	5
924	1	1	4
923	1	0	7
922	1	1	6
921	1	0	4
920	1	0	3
919	0	0	4
918	1	0	3
917	3	4	7
916	3	1	10
915	1	0	6
914	2	2	6
913	5	0	9
912	0	0	1
911	2	1	7
910	2	0	6
909	1	0	4
908	5	4	9
907	1	1	6
906	0	0	1
905	1	1	5
904	3	3	6
903	4	4	9
902	0	0	3
901	0	0	3
900	1	0	12
899	1	0	8
898	2	0	10
897	5	0	21
896	1	0	6
895	2	2	9
894	2	3	8
893	0	0	5
892	1	0	4
891	1	0	11
890	1	0	5
889	2	1	10
888	0	0	5
887	0	0	10
886	3	0	9
885	6	0	14
884	6	0	16
883	2	4	9
882	0	0	2
881	3	0	9
880	0	0	3
879	3	0	10
878	1	1	14
877	1	0	8
876	1	0	8
874	2	0	3
873	2	1	16
872	0	0	11
871	0	0	8
870	2	0	7
869	1	0	7
867	1	0	4
866	0	0	14
865	0	0	7
864	0	0	1
863	0	0	1
862	0	0	4
861	0	0	1
