T01 fuente única de verdad	0.001
T02 duplicados nombre/contenido	1.695
T03 referencias colgantes	0.606
T04 ADR-33 diagonal en ENTONCES	0.001
T05 ADR-32.c constructos en glosario	0.000
T06 consistencia numérica	0.012
T07 vocabulario de tiers	0.006
T08 mapa de evidencia por report	0.002
T09 marco (c) usado como causa	0.016
T10 diáspora (b) sin marcar	0.032
T11 afirmaciones de estado absolutas	0.432
T12 conteos del motor	0.243
T13 cabecera de versión ADR-36	0.050
T14 T-INVENTARIO	0.076
T15 T-ADR-COUNT	0.532
T17 T-FICHAS-COUNT	0.096
T18 T-PASO2-EJECUCION	0.065
T19a cabecera cruzada estado→modelo	0.045
T19b contador 14 cruzado (modelo)	0.002
T19c portada derivada (README)	0.003
T20 T-CASCADA-MARCADA	0.089
T21 T-CAPA2-CAPA3	0.000
T22 T-FIRMAS	0.143
T23 T-CABLEADO	0.004
T24 T-LLAVES-EJERCIDAS	0.052
T25 T-ROTULOS	0.184
T26 T-VISTA-COLA-ADQUISICION	0.004
T26-bis T-TSV-CRUDO-ROUND-TRIP	0.003
T27 T-INFRA	0.015
T28 T-A3	0.001
T29 T-FIRMAS-2	0.002
T30 T-YAMEDIDO	0.006
T30b T-YAMEDIDO-HUSO	0.000
T31 T-CRON	0.687
T32 T-CORRIDA0	20.680
T32-bis T-PISOS-REJILLA	0.047
T32-ter T-C2-COMPUESTO	1.588
T32-quater T-PINES-MESA	11.501
T36 T-CORREDORES-GEN2	2.664
T39 T-DIGESTO-NC	1.449
T40 T-RUTINAS	0.005
T37 T-COLA-SINCRONIZADA	0.005
T38 T-ALTA-RELACION	0.154
T34 T-NO-CORRIDO	0.027
T35 T-REPRO	3.428
T41 T-DIGESTO-MESA	0.129
T42 T-CANDIDATAS	0.024
T43 T-SUCESOR-EXISTE	0.006
T44 T-ENADID-PRECISION	0.001
T45 T-LEGACY-DESGLOSE-SUMA	2.959
T46 T-UNION-NEWLINE	0.001
T47 T-IDS-UNICOS	0.002
T16 T-SUITE-SELF-CHECK	46.178
