archivo	veredicto	dependencias_faltantes	tiempo_seg	detalle	recomendacion	justificacion
tests/test_adq_cableado.py	FALLA-DE-VERDAD	adq_doctor,check	4.0	34 pruebas, 5 fallos	DEFECTO-ABIERTO-NO-SE-TOCA-AQUI	Falla de verdad, activa: 34 pruebas, 5 fallos. PARO de este acto prohíbe modificar un test (§7); D-14 del censo que lo detectó también prohíbe arreglarlo ahí. Es exactamente el caso que el encargo distingue de 'decoración': nadie lo mira. Recomendación: NO se elimina (perdería la única señal de que algo real está roto); se abre como NC con dueño para que un acto de contenido lo investigue -- no éste, que sólo mide.
tests/test_adq_cierre_verificable.py	NECESITA-DEPENDENCIA(jsonschema)	adq_doctor,adq_handoff,check	0.1	ModuleNotFoundError: No module named 'jsonschema'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_adq_contrato_fix.py	FALLA-DE-VERDAD	adq_doctor,check,test_adq_cableado	0.6	20 pruebas, 12 fallos	DEFECTO-ABIERTO-NO-SE-TOCA-AQUI	Falla de verdad, activa: 20 pruebas, 12 fallos. PARO de este acto prohíbe modificar un test (§7); D-14 del censo que lo detectó también prohíbe arreglarlo ahí. Es exactamente el caso que el encargo distingue de 'decoración': nadie lo mira. Recomendación: NO se elimina (perdería la única señal de que algo real está roto); se abre como NC con dueño para que un acto de contenido lo investigue -- no éste, que sólo mide.
tests/test_adq_descubrimiento.py	NECESITA-DEPENDENCIA(jsonschema)	adq_doctor,tsv_crudo	0.1	ModuleNotFoundError: No module named 'jsonschema'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_adq_handoff_resultado.py	NECESITA-DEPENDENCIA(jsonschema)	adq_doctor,adq_handoff,check	0.1	ModuleNotFoundError: No module named 'jsonschema'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_adq_residuales.py	NECESITA-DEPENDENCIA(jsonschema)	adq_doctor	0.1	ModuleNotFoundError: No module named 'jsonschema'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_c2_ic_enif2024_guardia.py	NECESITA-DEPENDENCIA(numpy)	numpy,pandas	0.1	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_calc0001_v2.py	NECESITA-DEPENDENCIA(numpy)	numpy	0.0	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_censo_derivado.py	FALLA-DE-VERDAD	(ninguna)	0.4	· censo-estimabilidad-coeficientes-v1_2.md en disco no coincide con lo que el derivador produce ahora mismo -- fue editado a mano o quedó desactualizado; regenerar con `tools/censo_estimabilidad.py --write`	DEFECTO-ABIERTO-NO-SE-TOCA-AQUI	Falla de verdad, activa: · censo-estimabilidad-coeficientes-v1_2.md en disco no coincide con lo que el derivador produce ahora mismo -- fue editado a mano o quedó desactualizado; regenerar con `tools/censo_estimabilidad.py --write`. PARO de este acto prohíbe modificar un test (§7); D-14 del censo que lo detectó también prohíbe arreglarlo ahí. Es exactamente el caso que el encargo distingue de 'decoración': nadie lo mira. Recomendación: NO se elimina (perdería la única señal de que algo real está roto); se abre como NC con dueño para que un acto de contenido lo investigue -- no éste, que sólo mide.
tests/test_cierre_acto.py	FALLA-DE-VERDAD	(ninguna)	0.0	FileNotFoundError: [Errno 2] No such file or directory: '/tmp/tmpusixr72s/canon/estado-programa-v1_14.md'	DEFECTO-ABIERTO-NO-SE-TOCA-AQUI	Falla de verdad, activa: FileNotFoundError: [Errno 2] No such file or directory: '/tmp/tmpusixr72s/canon/estado-programa-v1_14.md'. PARO de este acto prohíbe modificar un test (§7); D-14 del censo que lo detectó también prohíbe arreglarlo ahí. Es exactamente el caso que el encargo distingue de 'decoración': nadie lo mira. Recomendación: NO se elimina (perdería la única señal de que algo real está roto); se abre como NC con dueño para que un acto de contenido lo investigue -- no éste, que sólo mide.
tests/test_consulta_gen2.py	FALLA-DE-VERDAD	(ninguna)	39.5	AssertionError: 1 != 0 : FALLA respuestas distintas: /home/user/Modelado-Mexicano/forense/ejemplos/GEN2-AHORRO-ALCANCE-MENOR/respuestas-ahorro-alcance-menor.json	DEFECTO-ABIERTO-NO-SE-TOCA-AQUI	Falla de verdad, activa: AssertionError: 1 != 0 : FALLA respuestas distintas: /home/user/Modelado-Mexicano/forense/ejemplos/GEN2-AHORRO-ALCANCE-MENOR/respuestas-ahorro-alcance-menor.json. PARO de este acto prohíbe modificar un test (§7); D-14 del censo que lo detectó también prohíbe arreglarlo ahí. Es exactamente el caso que el encargo distingue de 'decoración': nadie lo mira. Recomendación: NO se elimina (perdería la única señal de que algo real está roto); se abre como NC con dueño para que un acto de contenido lo investigue -- no éste, que sólo mide.
tests/test_din_credito_pisos_enif2021.py	NECESITA-DEPENDENCIA(numpy)	numpy	0.0	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_emisor_fidelidad.py	NECESITA-DEPENDENCIA(pytest)	pytest	0.0	/usr/local/bin/python3: No module named pytest	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enadid2023_union_sexo_edad.py	NECESITA-DEPENDENCIA(pytest)	pandas,pytest	0.0	/usr/local/bin/python3: No module named pytest	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enadid_union_actual.py	NECESITA-DEPENDENCIA(pytest)	pandas,pytest	0.0	/usr/local/bin/python3: No module named pytest	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_encig2023_agregado_condicional.py	NECESITA-DEPENDENCIA(numpy)	(ninguna)	0.1	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_encig_cruces_historicos.py	NECESITA-DEPENDENCIA(numpy)	numpy,pandas	0.1	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enco_reserva_prepara.py	NECESITA-DEPENDENCIA(pytest)	pytest	0.0	/usr/local/bin/python3: No module named pytest	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enfih2019_cobertura_saldos_catpos.py	NECESITA-DEPENDENCIA(numpy)	numpy,pandas	0.0	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enfih2019_saldos_afore.py	NECESITA-DEPENDENCIA(numpy)	numpy,pandas	0.0	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enfih2019_saldos_afore_concentracion.py	NECESITA-DEPENDENCIA(numpy)	numpy	0.0	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enif_poblacion.py	NECESITA-DEPENDENCIA(numpy)	(ninguna)	0.1	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enigh2022_intensidad_remesas.py	NECESITA-DEPENDENCIA(numpy)	(ninguna)	0.1	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enigh2022_perfil_estructural.py	NECESITA-DEPENDENCIA(numpy)	(ninguna)	0.0	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_enigh2022_remesas_contexto.py	NECESITA-DEPENDENCIA(numpy)	(ninguna)	0.0	ModuleNotFoundError: No module named 'numpy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_ensafi_diseno.py	NECESITA-DEPENDENCIA(scipy)	(ninguna)	0.1	ModuleNotFoundError: No module named 'scipy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
tests/test_ensafi_estrategias_conjuntas.py	NECESITA-DEPENDENCIA(scipy)	(ninguna)	0.1	ModuleNotFoundError: No module named 'scipy'	MANTENER-SIN-CABLEAR	Ejercita derivaciones GEN2 reales (numpy/pandas/scipy/pytest/jsonschema/openpyxl), que este propio repo ya corre en CAJA con corpus montado -- no es decoración, es una prueba que necesita un entorno que CI deliberadamente no monta (requirements.txt explícito, sin el stack científico, D-14: no se construye base central). Cablearla en CI exige instalar ese stack en las ~330 corridas medidas por segundo test, cuando hoy corre de todas formas en cada sesión de CAJA que la toca. Costo a un lector si se elimina: pierde la única prueba de esa derivación GEN2; no se recomienda eliminar.
