era	job	paso	n	mediana_s	p90_s
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	Suite de verificación (modo línea base — verde = no empeoraste)	165	174.0	198.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	Checkout sin marketplace (repo público — cero descargas de action)	165	5.0	5.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	adq_investigacion.py — proyección de demanda no se queda atrás (bloqueante)	165	5.0	6.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	emite_m — resolver de ola_calibracion por conducta (bloqueante)	165	4.0	6.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	marcador por segmento — tabla derivada y guardias (bloqueante)	123	4.0	133.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	165	2.0	3.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	Set up job	165	0.0	1.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	Intérprete del runner (crudo, para que quede en el log)	165	0.0	0.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	svystat.py — validación independiente (bloqueante)	165	0.0	0.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	Baseline temporal — corte y compatibilidad del estimando	165	0.0	0.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	T-CRON — huella del cron y no-regresión de baseline (bloqueante)	165	0.0	0.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	adq_config.py — lector de data/adq-config.yaml (bloqueante)	165	0.0	0.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	adq_doctor.py — clasificación de lock/crontab (bloqueante)	165	0.0	1.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	Fuentes financieras — unidades, faltantes y duplicados (bloqueante)	165	0.0	0.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	N34 — producto, costo y daño (bloqueante)	165	0.0	0.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	motor ejecutable — procedencia→B→evaluar() sobre las celdas-D del disco (bloqueante)	165	0.0	1.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	contrato sintético de C2 — piloto celda-D (bloqueante)	165	0.0	0.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	consumidor de celda-D — piloto 2, fila M05 derivada (bloqueante)	165	0.0	0.0
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	check	Complete job	165	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	suite	Suite de verificación (modo línea base — verde = no empeoraste)	60	159.0	166.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	marcador por segmento — tabla derivada y guardias (bloqueante)	60	132.5	136.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	adq_investigacion.py — proyección de demanda no se queda atrás (bloqueante)	60	6.0	8.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	Checkout sin marketplace (repo público — cero descargas de action)	60	5.0	6.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	emite_m — resolver de ola_calibracion por conducta (bloqueante)	60	5.0	6.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	suite	Checkout sin marketplace (repo público — cero descargas de action)	60	5.0	6.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	60	2.0	3.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	suite	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	60	2.0	4.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	motor ejecutable — procedencia→B→evaluar() sobre las celdas-D del disco (bloqueante)	60	1.0	1.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	suite	Inyección temporal exclusiva de la prueba de compuerta	4	1.0	46.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	Set up job	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	Intérprete del runner (crudo, para que quede en el log)	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	svystat.py — validación independiente (bloqueante)	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	Baseline temporal — corte y compatibilidad del estimando	60	0.0	1.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	T-CRON — huella del cron y no-regresión de baseline (bloqueante)	60	0.0	1.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	adq_config.py — lector de data/adq-config.yaml (bloqueante)	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	adq_doctor.py — clasificación de lock/crontab (bloqueante)	60	0.0	1.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	Fuentes financieras — unidades, faltantes y duplicados (bloqueante)	60	0.0	1.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	N34 — producto, costo y daño (bloqueante)	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	contrato sintético de C2 — piloto celda-D (bloqueante)	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	consumidor de celda-D — piloto 2, fila M05 derivada (bloqueante)	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	Complete job	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	suite	Set up job	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	suite	Intérprete del runner (crudo, para que quede en el log)	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	suite	Transporte paralelo, compuerta y semántica del baseline (bloqueante)	60	0.0	1.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	suite	Complete job	60	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	check	Set up job	61	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	check	Todos los grupos requeridos terminaron correctamente	61	0.0	1.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	check	Complete job	61	0.0	0.0
ERA2-split-3job (suite+adicionales+check, sin guardias)	adicionales	Inyección temporal exclusiva de la prueba de compuerta	4	0.0	46.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	marcador por segmento — tabla derivada y guardias (bloqueante)	97	136.0	149.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	suite	Suite de verificación (modo línea base — verde = no empeoraste)	97	109.0	171.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	guardias	Guardias huérfanas — censo + invocador correcto por archivo (bloqueante)	97	37.0	44.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	métrica rectora — celdas_validadas en la primera línea del tablero (bloqueante)	59	36.0	45.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	adq_investigacion.py — proyección de demanda no se queda atrás (bloqueante)	97	7.0	8.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	guardias	Checkout sin marketplace (repo público — cero descargas de action)	97	6.0	16.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	suite	Checkout sin marketplace (repo público — cero descargas de action)	97	6.0	6.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	Checkout sin marketplace (repo público — cero descargas de action)	97	5.0	6.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	emite_m — resolver de ola_calibracion por conducta (bloqueante)	97	5.0	6.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	guardias	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	97	3.0	4.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	97	3.0	4.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	descargador por id de manifiesto — arnés HTTP local (bloqueante)	46	3.0	3.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	suite	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	97	3.0	4.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	T-CRON — huella del cron y no-regresión de baseline (bloqueante)	97	1.0	1.0
