run_id	job_id	clase	tests_que_fallaron_junto_con_t16
35455305468	105929440263	ECO	T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T19a cabecera cruzada estado→modelo; T22 T-FIRMAS; T25 T-ROTULOS
35455756664	105930600224	ECO	T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T19a cabecera cruzada estado→modelo; T22 T-FIRMAS; T25 T-ROTULOS
35457534368	105935372660	ECO	T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T19a cabecera cruzada estado→modelo; T22 T-FIRMAS; T25 T-ROTULOS
35458253584	105937298182	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35459464623	105940585564	ECO	T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T27 T-INFRA; T35 T-REPRO
35462948829	105949970257	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35463337061	105951003871	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T25 T-ROTULOS; T32-bis T-PISOS-REJILLA
35470873851	105971488562	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35471179612	105972304704	ECO	T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T30 T-YAMEDIDO
35471234479	105972488539	ECO	T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T30 T-YAMEDIDO
35471567561	105973338599	ECO	T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T30 T-YAMEDIDO
35472330713	105975428713	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35472504255	105975919714	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35473130441	105977637112	ECO	T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T26-bis T-TSV-CRUDO-ROUND-TRIP; T27 T-INFRA
35473734604	105979246378	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35474110846	105980252455	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35474144775	105980345640	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35474153376	105980370934	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T26-bis T-TSV-CRUDO-ROUND-TRIP; T27 T-INFRA
35474270154	105980687848	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35474362972	105980934255	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35474485333	105981254785	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35474642533	105981667458	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35474667557	105981734125	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35474677883	105981760201	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T26-bis T-TSV-CRUDO-ROUND-TRIP; T27 T-INFRA
35475078197	105982824310	ECO	T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK; T26-bis T-TSV-CRUDO-ROUND-TRIP; T27 T-INFRA
35476894121	105987571876	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35476912812	105987618282	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
35476925735	105987654538	ECO	T02 duplicados nombre/contenido; T06 consistencia numérica; T08 mapa de evidencia por report; T16 T-SUITE-SELF-CHECK
