relacion_id	fuente_canonica_normalizada	tipo_trabajo	siguiente_accion_original	siguiente_accion_original_sha256	input_requerido_original	reserva_original	evidencia_ref_original	criterio_cierre_individual
REL-00e7bd28c9c0db01fd89a3be	ENIF	BUSQUEDA_DIRIGIDA	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	f0c6e2d9983312f245131a5b3d3bcff118ac88d5632537e514b0d78acf81ccd5	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:forense/hitoE-campana-medicion-v2_0.md	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-01ff8326fdbe3c0a4e299a02	ENSAFI	CURADURIA_FUENTE	Obtener diccionario oficial y comprobar texto/sentido.	f9d4398834967239d01f0525544b0a6f0656879627f44305f9162377cc3bb3fa	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:data/abrir4-variables-2026-08-08.tsv:L7	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-02b8ee6d0e13dfb6dc7d3331	CSES	BUSQUEDA_DIRIGIDA	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	68eb1fc86d0f1a425e1a5a7c259246ba20bdf33fa8731f12b32efd604b6d59f4	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-02e6e4861871631dd29048bd	02-	CURADURIA_FUENTE	Resolver ruta PDF.	b51271ab23ff866a3617b7cc659c7cef831925177d4d253277273e2c0b54b5d0	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:canon/modelo-decision-v4_0.md	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-0692b43ca9c2f7bb608a2858	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	CURADURIA_FUENTE	Abrir índice/codebook del paquete y verificar nivel municipal, años y tipo de elección; mantener separado efecto experimental de serie municipal.	3b1cf5eeeaea6c339cdb9b0fe5f1f768efebef69c159a88630912cef77cb1f2a	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:data/catalogo-fuentes-v2_0.md;MAIN:data/cola-aperturas-externas-2026-08-06.tsv	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-08af2a451bfb04d90902eec4	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	BUSQUEDA_DIRIGIDA	Abrir DDI/codebook y datos; verificar asignación, llaves, participación parental y outcome escolar.	d1b8d3655181bb3199642e7d2f1940d0e1643dad32bf1711fca5ded9a7bbe909	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L17	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-0a4bbf31b54c5ce3565ba753	PUB	BUSQUEDA_DIRIGIDA	Localizar el payload oficial concreto del padrón y abrir diccionario/llaves antes de evaluar el vínculo causal o de participación.	2b7ed0e68fb946629d88d0196c0bd1fcd5217f16d9fe5a09a92704a06148ee0d	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-2026-08-06.tsv:L112	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-0b0dac8dd04b5f25133518f8	FINANZAS	CURADURIA_FUENTE	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	c5b344f3f2a9867317cc96ec459a437373e5f98668ace2f235f09acb7eb413b6	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-0b6385436015c470992017f1	ENSAFI	CURADURIA_FUENTE	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	3a813d43751817e97098da205f2b8038f6e96f35360b0820fa38723a5b7b1974	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:canon/glosario-v5_6.md	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-0c03e53054567fc014b50bc0	ENVIPE	CURADURIA_FUENTE	Mapear unión exacta.	de812d3357fcf75a8af335c48796908ef3a13499d9475108b61b03006af2988a	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:forense/matriz-impacto-universal-2026-08-06.md:L82	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-0ccb1f487408f4999004b321	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	BUSQUEDA_DIRIGIDA	Recuperar el reporte canónico y localizar tabla, pregunta, muestra, periodo y codificación de confianza/uso.	93f79aab5c4486e985b86b55bd381e6b706e62ebde3d523f5497a4cca6ef5cb6	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-0d9c76a2adedc9b9f59984cc	GDELT	BUSQUEDA_DIRIGIDA	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	c47b9de2d903b150a58012d8ab146ff3f7decaec78eb1b3830948fd76cd9e1bd	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-0e3c2a3a6afd1dae2297740e	PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	BUSQUEDA_DIRIGIDA	Localizar anexos o codebook y verificar brazos, codificación de precio/información y compra efectiva.	62c5651e690a09c67e2782b7cd865104d4af86b74d3fe4d9e2ad27889247b2fd	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L19	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-0fc632a7b102c3b39b2f540c	GDELT	BUSQUEDA_DIRIGIDA	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	c47b9de2d903b150a58012d8ab146ff3f7decaec78eb1b3830948fd76cd9e1bd	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-107500c8d4873fe4d05bb8e3	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	BUSQUEDA_DIRIGIDA	Obtener archivo/codebook.	02c72ddb81fc4dcb11d2369ff5e6cc76892dc28fd3b638a6b242e237ea25a1da	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-10b7203dd243231cb3602e47	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	BUSQUEDA_DIRIGIDA	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.	014db8569a22da88dffea08977f3ccd081816f03ec3ffc2a264502859b0796ba	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-academico-2026-08-06.tsv	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-12b348704acbcdd4b811185b	ENSAFI	CURADURIA_FUENTE	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	3a813d43751817e97098da205f2b8038f6e96f35360b0820fa38723a5b7b1974	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:data/abrir4-variables-2026-08-08.tsv	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-12f0d41801fa7f161510f61e	ENIF	CURADURIA_FUENTE	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	f0c6e2d9983312f245131a5b3d3bcff118ac88d5632537e514b0d78acf81ccd5	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:forense/hitoE-campana-medicion-v2_0.md	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
