instrumento	ola	conducta	diferencia_alto_menos_bajo	ic95_inf	ic95_sup	despeja_cero	semiancho_ic_bajo	semiancho_ic_medio	semiancho_ic_alto
ENIGH	2022	recibe_remesas	-0.03497457300243459	-0.03881458354876254	-0.03129252953909932	SI	0.0029608056411636954	0.0029495416788827694	0.0023903586795049753
ENIF	2024	ahorra_ambas_vias	0.20374923994233277	0.17845078762249317	0.22878472642831163	SI	0.011199127258359386	0.016866867174212277	0.022662917030626673
ENIF	2024	ahorra_solo_formal	0.10511285646194485	0.08805807858767062	0.12370598630772132	SI	0.007253343604228232	0.011483800204830787	0.016119406920648144
ENIF	2024	ahorra_solo_informal	-0.09720499824450535	-0.12632450485558583	-0.06990191304387317	SI	0.016750641984766473	0.02197193989517257	0.02389318901864973
ENIF	2024	desconfia_conoce_proteccion				NO-ESTIMABLE	0.037371159909400514		
ENIF	2024	desconfia_no_conoce_proteccion	-0.011539219805760711	-0.03762954391074371	0.01768096399099766	NO	0.012212130087683334	0.0227427278222419	0.024027500915425604
ENIF	2024	formal_cualquiera	0.30886209640427753	0.281333061862856	0.3361146461821466	SI	0.01257937309175619	0.020077384635211554	0.02378026434942468
ENIF	2024	horizonte_corto_con_ss	-0.2727487177385045	-0.32739543269535426	-0.22058347858867372	SI	0.043173973102755336	0.03574763843190415	0.030075358672860264
ENIF	2024	horizonte_corto_no_trabaja	-0.20170872229185333	-0.26693147316555166	-0.13730814353594603	SI	0.030536862092154726	0.04615593820895025	0.057688542292902045
ENIF	2024	horizonte_corto_sin_ss	-0.279726848921161	-0.3315893955550253	-0.22778007680953313	SI	0.024945202786917697	0.03372316462036229	0.04773006086747239
ENIF	2024	horizonte_no_corto_con_ss	0.2727487177385045	0.22058347858867372	0.3273954326953542	SI	0.04317397310275539	0.03574763843190415	0.030075358672860264
ENIF	2024	horizonte_no_corto_sin_ss	0.27972684892116095	0.22778007680953313	0.33158939555502537	SI	0.024945202786917697	0.03372316462036232	0.047730060867472335
ENIF	2024	informal_cualquiera	0.10654424169782739	0.07392799287609916	0.13788818070016037	SI	0.01802459259599179	0.021136231139704087	0.025170248301110587
ENIF	2024	no_ahorra	-0.21165709815977224	-0.24079556429276988	-0.18421020649474512	SI	0.017910891067655865	0.020204688432606532	0.021884750435506917
ENIF	2024	no_recibe_dinero_familiares_para_vejez	0.1390283932324412	0.10273343196601532	0.17359374515254203	SI	0.019358366911830988	0.021996761321948777	0.02825665511129949
ENIF	2024	no_tiene_ahorros_enif2024	-0.21165709815977224	-0.24079556429276988	-0.18421020649474512	SI	0.017910891067655865	0.020204688432606532	0.021884750435506917
ENIF	2024	recibe_dinero_familiares_para_vejez	-0.1390283932324412	-0.17359374515254214	-0.10273343196601523	SI	0.019358366911831015	0.02199676132194872	0.02825665511129946
ENIF	2024	tiene_ahorros_enif2024	0.2116570981597723	0.18421020649474512	0.2407955642927699	SI	0.01791089106765581	0.020204688432606532	0.02188475043550686
ENDUTIH	2023	actividad_mensajes	0.05481480676936945	0.045115702833622734	0.0646341411990697	SI	0.007281871079835467	0.0060558160374515335	0.0059409830742881975
ENDUTIH	2023	actividad_tramite	0.1958680770739835	0.1821353426263357	0.20906585993133942	SI	0.0072994958074011	0.008298321218798463	0.012486105261806296
