instrumento	geografia_codigo	ola_piso	ola_observada	piso_punto	ic_predictivo_inf	ic_predictivo_sup	observado_punto	categoria	calc	result_ic_inf	result_ic_sup	temporalidad
ENVIPE	01	2024	2025	0.4458927542728433	0.33312413231779314	0.5645205433856704	0.5091180528433396	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-01-IC-LO	RESULT-REGION-ICP-ENVIPE-01-IC-HI	RETROSPECTIVA
ENVIPE	02	2024	2025	0.5267927697628928	0.4100014040741835	0.6407238499658727	0.49860819482066815	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-02-IC-LO	RESULT-REGION-ICP-ENVIPE-02-IC-HI	RETROSPECTIVA
ENVIPE	03	2024	2025	0.4822605618226056	0.3608584834996342	0.6057936541095149	0.6047793009488672	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-03-IC-LO	RESULT-REGION-ICP-ENVIPE-03-IC-HI	RETROSPECTIVA
ENVIPE	04	2024	2025	0.5005748735062978	0.3832515901388254	0.6178348869948225	0.5763668160175647	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-04-IC-LO	RESULT-REGION-ICP-ENVIPE-04-IC-HI	RETROSPECTIVA
ENVIPE	05	2024	2025	0.45543739656007975	0.34173618794819105	0.5739822446989568	0.498294860101403	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-05-IC-LO	RESULT-REGION-ICP-ENVIPE-05-IC-HI	RETROSPECTIVA
ENVIPE	06	2024	2025	0.45169741611673947	0.3381154415577086	0.5705447919166647	0.525207871700928	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-06-IC-LO	RESULT-REGION-ICP-ENVIPE-06-IC-HI	RETROSPECTIVA
ENVIPE	07	2024	2025	0.4496688439078051	0.33566307682418933	0.5692186422813631	0.46181162728596165	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-07-IC-LO	RESULT-REGION-ICP-ENVIPE-07-IC-HI	RETROSPECTIVA
ENVIPE	08	2024	2025	0.5191990690251971	0.40380121937636243	0.6325842832982203	0.5812691938579655	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-08-IC-LO	RESULT-REGION-ICP-ENVIPE-08-IC-HI	RETROSPECTIVA
ENVIPE	09	2024	2025	0.6040558419343207	0.49298781911447903	0.7053357762698707	0.6233509546848944	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-09-IC-LO	RESULT-REGION-ICP-ENVIPE-09-IC-HI	RETROSPECTIVA
ENVIPE	10	2024	2025	0.4102612681213543	0.29846425847145025	0.5321682133953854	0.47655778727347375	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-10-IC-LO	RESULT-REGION-ICP-ENVIPE-10-IC-HI	RETROSPECTIVA
ENVIPE	11	2024	2025	0.6046473788661364	0.48344188623447204	0.7142246248345628	0.5672406562463541	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-11-IC-LO	RESULT-REGION-ICP-ENVIPE-11-IC-HI	RETROSPECTIVA
ENVIPE	12	2024	2025	0.4406812667603116	0.3224200244567817	0.566080486664664	0.4553852680094128	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-12-IC-LO	RESULT-REGION-ICP-ENVIPE-12-IC-HI	RETROSPECTIVA
ENVIPE	13	2024	2025	0.49103589786105123	0.3715493360797049	0.6115554900729562	0.5385915723434005	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-13-IC-LO	RESULT-REGION-ICP-ENVIPE-13-IC-HI	RETROSPECTIVA
ENVIPE	14	2024	2025	0.5389079584761973	0.4216345994024942	0.6520269851722383	0.5423934759803689	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-14-IC-LO	RESULT-REGION-ICP-ENVIPE-14-IC-HI	RETROSPECTIVA
ENVIPE	15	2024	2025	0.6048702280944973	0.49042443402537883	0.7088708409077532	0.6592522282378829	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-15-IC-LO	RESULT-REGION-ICP-ENVIPE-15-IC-HI	RETROSPECTIVA
ENVIPE	16	2024	2025	0.5098598520739347	0.3919762963269248	0.6266569457608343	0.5456648174272781	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-16-IC-LO	RESULT-REGION-ICP-ENVIPE-16-IC-HI	RETROSPECTIVA
ENVIPE	17	2024	2025	0.5081436932460097	0.3916940000618153	0.623716345129764	0.5551056926310267	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-17-IC-LO	RESULT-REGION-ICP-ENVIPE-17-IC-HI	RETROSPECTIVA
ENVIPE	18	2024	2025	0.4908497987479591	0.3616263021459816	0.6213077586289918	0.49261024533893016	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-18-IC-LO	RESULT-REGION-ICP-ENVIPE-18-IC-HI	RETROSPECTIVA
ENVIPE	19	2024	2025	0.5458344015255541	0.4248616908323956	0.6616272800945048	0.5025950097884553	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-19-IC-LO	RESULT-REGION-ICP-ENVIPE-19-IC-HI	RETROSPECTIVA
ENVIPE	20	2024	2025	0.5091218370536879	0.387213460798972	0.629954897108076	0.45496052224044076	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-20-IC-LO	RESULT-REGION-ICP-ENVIPE-20-IC-HI	RETROSPECTIVA
ENVIPE	21	2024	2025	0.569156846561214	0.4526093617997697	0.6785153169852347	0.6353030141316517	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-21-IC-LO	RESULT-REGION-ICP-ENVIPE-21-IC-HI	RETROSPECTIVA
ENVIPE	22	2024	2025	0.5044160033249907	0.3895828837749009	0.6187851109389852	0.5205099657934644	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-22-IC-LO	RESULT-REGION-ICP-ENVIPE-22-IC-HI	RETROSPECTIVA
ENVIPE	23	2024	2025	0.49870920258654644	0.37918579222865106	0.6183803172926925	0.569844533898453	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-23-IC-LO	RESULT-REGION-ICP-ENVIPE-23-IC-HI	RETROSPECTIVA
ENVIPE	24	2024	2025	0.5253637722392496	0.40471106205901175	0.6431260286003706	0.5154206791542504	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-24-IC-LO	RESULT-REGION-ICP-ENVIPE-24-IC-HI	RETROSPECTIVA
ENVIPE	25	2024	2025	0.48645170183616576	0.368395117829037	0.6060396245311251	0.4946605726383852	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-25-IC-LO	RESULT-REGION-ICP-ENVIPE-25-IC-HI	RETROSPECTIVA
ENVIPE	26	2024	2025	0.5156262238583849	0.3981632101394944	0.63138773062369	0.4738540136285446	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-26-IC-LO	RESULT-REGION-ICP-ENVIPE-26-IC-HI	RETROSPECTIVA
ENVIPE	27	2024	2025	0.46714547630489145	0.3556838653405221	0.5819860630968938	0.5032267717773089	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-27-IC-LO	RESULT-REGION-ICP-ENVIPE-27-IC-HI	RETROSPECTIVA
ENVIPE	28	2024	2025	0.5203946237175445	0.3935426441366435	0.6446702114096573	0.49409793165762844	DENTRO-IC-PREDICTIVO	CALC-REGION-IC-PREDICTIVO-0001	RESULT-REGION-ICP-ENVIPE-28-IC-LO	RESULT-REGION-ICP-ENVIPE-28-IC-HI	RETROSPECTIVA
