instrumento	conducta	geografia_codigo	ola_piso	ola_observada	piso_punto	piso_ic95_inf	piso_ic95_sup	observado_punto	categoria	calc_piso	calc_observado	naturaleza	temporalidad
ENVIPE	evade_norma_envipe2025	01	2023	2024	0.4452712185917503	0.3962865125408569	0.4957417977033765	0.4458927542728433	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	02	2023	2024	0.4733813508464872	0.4229145028173522	0.5225964400551348	0.5267927697628928	FUERA-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	03	2023	2024	0.5659706620853707	0.5182187317126175	0.6163657597962742	0.4822605618226056	FUERA-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	04	2023	2024	0.5075160363707047	0.45840624012823133	0.5544989000937777	0.5005748735062978	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	05	2023	2024	0.5202563803108561	0.47021860146037636	0.5668489929900818	0.45543739656007975	FUERA-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	06	2023	2024	0.4977105583303276	0.44365792924436437	0.5466640688545731	0.45169741611673947	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	07	2023	2024	0.44275925214874323	0.39078123138991583	0.4939957420908392	0.4496688439078051	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	08	2023	2024	0.5464019508927754	0.4930362636487361	0.5950829583795905	0.5191990690251971	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	09	2023	2024	0.6036206812505223	0.5775627111281859	0.6276777299709817	0.6040558419343207	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	10	2023	2024	0.48428311161929716	0.436234906757784	0.5300751769373461	0.4102612681213543	FUERA-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	11	2023	2024	0.4997278011010973	0.4307875811349597	0.5676982171421241	0.6046473788661364	FUERA-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	12	2023	2024	0.45831690033742417	0.3781282873968256	0.5374249918351102	0.4406812667603116	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	13	2023	2024	0.40273330498501825	0.3546756729060122	0.44923575243875485	0.49103589786105123	FUERA-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	14	2023	2024	0.49751847700662155	0.44737170811664423	0.5471483021831138	0.5389079584761973	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	15	2023	2024	0.553041080851372	0.5135423574295381	0.5920554484532233	0.6048702280944973	FUERA-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	16	2023	2024	0.5398036018189678	0.49437865160486033	0.5857504513636137	0.5098598520739347	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
ENVIPE	evade_norma_envipe2025	17	2023	2024	0.4839248596460555	0.42702026764406015	0.5407678068778916	0.5081436932460097	DENTRO-IC-MUESTRAL-ANTERIOR	CALC-REGION-HIST-ENVIPE-2023-0001	CALC-REGION-ENVIPE-2024-0001	comparación descriptiva de IC de diseño; sin IC predictivo calibrado	RETROSPECTIVA
