instrumento	conducta_u1	estados_u1	result_consumidor_u1	estado_regional_u5	nota
ENCIG	adopta_encig2025_luz	CONSUMO-GEN2-ACTIVO	RESULT-ENCIG-MOR-C-P-ADOPTA	MEDIDO-REGION	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENCIG	paga_mordida_encig2025	CONSUMO-GEN2-ACTIVO	RESULT-ENCIG-MOR-A-P-SOL1	MEDIDO-REGION	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENCIG	paga_mordida_encig2025_digital_r2	CONSUMO-GEN2-ACTIVO	RESULT-ENCIG-MOR-B-P-DIG-SD	MEDIDO-REGION	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENCIG	paga_mordida_encig2025_presencial_r2	CONSUMO-GEN2-ACTIVO	RESULT-ENCIG-MOR-B-P-PRE-SD	MEDIDO-REGION	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENCIG	tramite.gobierno_digital.util_sin_coercion_ejes_encig2025	PISO-EN-MARCADOR:EVALUADA; ADOPCION-POR-VERIFICAR	RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-18-29-P;RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-30-44-P;RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-45-59-P;RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-60-MAS-P;RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-HASTA-PRIMARIA-P;RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-MEDIA-SUPERIOR-P;RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-SECUNDARIA-P;RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-SUPERIOR-P;RESULT-PISOS-ENCIG2023-V2-DIGITAL-SEXO-1-P;RESULT-PISOS-ENCIG2023-V2-DIGITAL-SEXO-2-P	PENDIENTE-DICTAMEN-REGIONAL	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENIF	L1xE1	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L1xE1	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENIF	L1xE2	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L1xE2	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENIF	L1xE3	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L1xE3	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENIF	L1xE4	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L1xE4	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENIF	L2xE1	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L2xE1	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENIF	L2xE2	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L2xE2	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENIF	L2xE3	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L2xE3	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENIF	L2xE4	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L2xE4	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENIF	desconfianza_o_mal_servicio_como_razon_principal_conoce_proteccion_enif2024	CONSUMO-GEN2-ACTIVO	RESULT-ENIF-AHO-C-P-DESCONFIA-CONOCE-P	MEDIDO-REGION	Seis regiones medidas; la regla R2 suprime celdas con n<200.
ENIF	desconfianza_o_mal_servicio_como_razon_principal_no_conoce_enif2024	CONSUMO-GEN2-ACTIVO	RESULT-ENIF-AHO-C-P-DESCONFIA-NOCONOCE-P	MEDIDO-REGION	Seis regiones medidas; la regla R2 suprime celdas con n<200.
ENIF	dinero.ahorro.horizonte_corto_ejes_enif2024	PISO-EN-MARCADOR:NO-COMPARABLE; ADOPCION-POR-VERIFICAR	RESULT-PISOS-ENIF2021-FORMALIDAD-HORIZONTE-CORTO-FORMALIDAD-CON-SEGURIDAD-SOCIAL-P;RESULT-PISOS-ENIF2021-FORMALIDAD-HORIZONTE-CORTO-FORMALIDAD-SIN-SEGURIDAD-SOCIAL-P	PENDIENTE-DICTAMEN-REGIONAL	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENIF	dinero.ahorro.via_informal_ejes_enif2024	PISO-EN-MARCADOR:EVALUADA; ADOPCION-POR-VERIFICAR	RESULT-PISOS-ENIF2021-FORMALIDAD-D9-FORMALIDAD-CON-SEGURIDAD-SOCIAL-P;RESULT-PISOS-ENIF2021-FORMALIDAD-D9-FORMALIDAD-SIN-SEGURIDAD-SOCIAL-P;RESULT-PISOS-ENIF2021-FORMALIDAD-INFORMAL-CUALQUIERA-FORMALIDAD-CON-SEGURIDAD-SOCIAL-P;RESULT-PISOS-ENIF2021-FORMALIDAD-INFORMAL-CUALQUIERA-FORMALIDAD-SIN-SEGURIDAD-SOCIAL-P;RESULT-PISOS-ENIF2021-V2-D9-CUENTA-CON-CUENTA-P;RESULT-PISOS-ENIF2021-V2-D9-CUENTA-SIN-CUENTA-P;RESULT-PISOS-ENIF2021-V2-D9-EDAD-18-29-P;RESULT-PISOS-ENIF2021-V2-D9-EDAD-30-44-P;RESULT-PISOS-ENIF2021-V2-D9-EDAD-45-59-P;RESULT-PISOS-ENIF2021-V2-D9-EDAD-60-MAS-P;RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-HASTA-PRIMARIA-P;RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-MEDIA-SUPERIOR-P;RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-SECUNDARIA-P;RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-SUPERIOR-P;RESULT-PISOS-ENIF2021-V2-D9-LOCALIDAD-15-000-Y-MAS-P;RESULT-PISOS-ENIF2021-V2-D9-LOCALIDAD-MENOR-DE-15-000-P;RESULT-PISOS-ENIF2021-V2-D9-SEXO-1-P;RESULT-PISOS-ENIF2021-V2-D9-SEXO-2-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-CUENTA-CON-CUENTA-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-CUENTA-SIN-CUENTA-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-EDAD-18-29-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-EDAD-30-44-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-EDAD-45-59-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-EDAD-60-MAS-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-ESCOLARIDAD-HASTA-PRIMARIA-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-ESCOLARIDAD-MEDIA-SUPERIOR-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-ESCOLARIDAD-SECUNDARIA-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-ESCOLARIDAD-SUPERIOR-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-LOCALIDAD-15-000-Y-MAS-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-LOCALIDAD-MENOR-DE-15-000-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-SEXO-1-P;RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-SEXO-2-P	PENDIENTE-DICTAMEN-REGIONAL	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENIF	formal_cualquiera	CONSUMO-GEN2-ACTIVO	RESULT-ENIF-AHO-B-P-FORMAL-P	MEDIDO-REGION	El piso ENIF 18+ se distingue de la serie histórica 18–70.
ENIF	horizonte_corto	CONSUMO-GEN2-ACTIVO	RESULT-ENIF-AHO-A-P-CORTO-CON-P;RESULT-ENIF-AHO-A-P-CORTO-SIN-P;RESULT-ENIF-POB-P-CORTO-NO-TRABAJA-P	MEDIDO-REGION	Los tres dominios (con/sin seguridad social y no trabaja) se miden por separado.
ENIF	horizonte_no_corto	CONSUMO-GEN2-ACTIVO	RESULT-ENIF-AHO-A-P-NOCORTO-CON-P;RESULT-ENIF-AHO-A-P-NOCORTO-SIN-P	MEDIDO-REGION	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENIF	informal_cualquiera	CONSUMO-GEN2-ACTIVO	RESULT-ENIF-AHO-B-P-INFORMAL-P	MEDIDO-REGION	El piso ENIF 18+ se distingue de la serie histórica 18–70.
ENVIPE	R	CONSUMO-GEN2-ACTIVO	RESULT-R-CIV-M-01-PUNTO;RESULT-R-CIV-M-02-PUNTO;RESULT-R-CIV-M-04-PUNTO;RESULT-R-CIV-M-10-PUNTO;RESULT-R-CIV-M-12-PUNTO;RESULT-R-CIV-M-13-PUNTO	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
