instrumento	conducta	ola_ultima	nivel_geografico	esperadas	publicables	suprimidas_n	otros_estados	alcance
ENCIG	adopta_encig2025_luz	2025	ENTIDAD	32	32	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENCIG	canal_digital_luz	2023	ENTIDAD	32	32	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENCIG	paga_mordida_encig2025	2025	ENTIDAD	32	32	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENCIG	paga_mordida_encig2025_digital_r2	2025	ENTIDAD	32	15	17	0	última ola medida de esta conducta; no denominador del catálogo general
ENCIG	paga_mordida_encig2025_presencial_r2	2025	ENTIDAD	32	29	3	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	ahorra_ambas_vias	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	ahorra_solo_formal	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	ahorra_solo_informal	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	desconfia_conoce_proteccion	2024	REGION	6	0	6	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	desconfia_no_conoce_proteccion	2024	REGION	6	5	1	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	formal_cualquiera	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	horizonte_corto_con_ss	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	horizonte_corto_no_trabaja	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	horizonte_corto_sin_ss	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	horizonte_no_corto_con_ss	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	horizonte_no_corto_sin_ss	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	informal_cualquiera	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	informal_cualquiera_18a70	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	no_ahorra	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	no_tiene_ahorros_enif2024	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENIF	tiene_ahorros_enif2024	2024	REGION	6	6	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENVIPE	cumple_norma_envipe2025	2025	ENTIDAD	32	32	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENVIPE	denuncia_con_miedo_o_desconfianza	2025	ENTIDAD	32	31	1	0	última ola medida de esta conducta; no denominador del catálogo general
ENVIPE	denuncia_con_seguro	2025	ENTIDAD	32	0	32	0	última ola medida de esta conducta; no denominador del catálogo general
ENVIPE	denuncia_por_otra_razon	2025	ENTIDAD	32	31	1	0	última ola medida de esta conducta; no denominador del catálogo general
ENVIPE	denuncia_sin_seguro	2025	ENTIDAD	32	0	32	0	última ola medida de esta conducta; no denominador del catálogo general
ENVIPE	evade_norma_envipe2025	2025	ENTIDAD	32	32	0	0	última ola medida de esta conducta; no denominador del catálogo general
ENVIPE	no_denuncia_con_seguro	2025	ENTIDAD	32	0	32	0	última ola medida de esta conducta; no denominador del catálogo general
ENVIPE	no_denuncia_sin_seguro	2025	ENTIDAD	32	0	32	0	última ola medida de esta conducta; no denominador del catálogo general
