serie_id	instrumento	dominio	conducta_texto	eje	segmento	unidad	dictamen	direccion	k	olas	delta_pp	pares_fuera	causa_sin_serie	calc	result
ENVIPE-CIVICO-DENUNCIA-CON-SEGURO-EJES-ENVIPE2025-COBERTURA-SEGURO-ASEGURADO	ENVIPE	civico	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	COBERTURA-SEGURO	ASEGURADO	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-CIVICO-DENUNCIA-CON-SEGURO-EJES-ENVIPE2025-COBERTURA-SEGURO-ASEGURADO
ENVIPE-CIVICO-DENUNCIA-CON-SEGURO-EJES-ENVIPE2025-COBERTURA-SEGURO-NO-ASEGURADO	ENVIPE	civico	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	COBERTURA-SEGURO	NO-ASEGURADO	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-CIVICO-DENUNCIA-CON-SEGURO-EJES-ENVIPE2025-COBERTURA-SEGURO-NO-ASEGURADO
ENVIPE-CUMPLE-NORMA-ENVIPE2025-NACIONAL-TOTAL	ENVIPE	tramite	Delitos (unidad delito, no persona) con BP1_20 en {1,2} en tmod_vic_envipe2025. n=40280, sin perdida. Poblacion expandida = 35595875 delitos.	NACIONAL	TOTAL	complemento contado, 1-A-P-EVADE -- releva RES-0026 [cifra omitida por ceguera del mapa]	SIN-SERIE	NINGUNA	0	NINGUNA		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-CUMPLE-NORMA-ENVIPE2025-NACIONAL-TOTAL
ENVIPE-DENUNCIA-CON-MIEDO-O-DESCONFIANZA-NACIONAL-TOTAL	ENVIPE	civico	ENVIPE 2025 (levantamiento marzo-abril 2025; delitos de referencia 2024-01-01 a 2024-12-31, `metadatos_envipe2025.txt`). UNIVERSO PRIMARIO U1, unidad DELITO: filas de tmod_vic con BPCOD en {05,...,15} (delitos personales -- el unico tramo al que el cuestionario enruta a la pregunta 1.23 por una sola condicion), BP1_20 = 2 (no denuncio) y BP1_23 en {01,...,08}. U3 = el mismo tramo con BP1_23 en {01,...,09, 99}. U4, unidad PERSONA: las personas de tper_vic2 con al menos un delito en U1, con la regla de colapso de la corrida GEN1 verbatim (la persona vale 1 si ALGUNO de sus delitos de U1 califica). Los delitos de hogar (BPCOD 01..04) quedan FUERA: su ruta a 1.23 pasa ademas por 1.21, y esa condicion extra cambia el universo. Las olas 2012-2024 quedan FUERA (limite 7.1 de la sellada): esta corrida no valida transferencia temporal.	NACIONAL	TOTAL	particion GEN1 a nivel PERSONA con FAC_ELE -- UNICA celda que comparte codificacion Y unidad con la cifra GEN1 sellada, escala [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-DENUNCIA-CON-MIEDO-O-DESCONFIANZA-NACIONAL-TOTAL
ENVIPE-DENUNCIA-POR-OTRA-RAZON-NACIONAL-TOTAL	ENVIPE	civico	U4, unidad persona de 18 años o más con al menos un delito personal no denunciado elegible en U1 (BPCOD 05..15, BP1_20=2, BP1_23 en 01..08), agregada por ID_PER y ponderada con FAC_ELE. Es exactamente el universo del RESULT padre; esta corrida no vuelve a construirlo desde microdatos.	NACIONAL	TOTAL	q=1-p(C2,U4); persona, FAC_ELE, escala [0,1]; candidato para RES-0028	SIN-SERIE	NINGUNA	0	NINGUNA		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-DENUNCIA-POR-OTRA-RAZON-NACIONAL-TOTAL
ENVIPE-EVADE-NORMA-ENVIPE2025-NACIONAL-TOTAL	ENVIPE	tramite	Delitos (unidad delito, no persona) con BP1_20 en {1,2} en tmod_vic_envipe2025. n=40280, sin perdida. Poblacion expandida = 35595875 delitos.	NACIONAL	TOTAL	p ponderado de evade_norma -- releva RES-0025 [cifra omitida por ceguera del mapa]	SIN-SERIE	NINGUNA	0	NINGUNA		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-EVADE-NORMA-ENVIPE2025-NACIONAL-TOTAL
ENVIPE-NODENUNCIA-MIEDO-DESCONFIANZA-NACIONAL-TOTAL	ENVIPE	Seguridad y norma	Proporción ponderada de delitos personales no denunciados cuya razón principal declarada fue miedo al agresor, miedo a extorsión o desconfianza en la autoridad (P-C1-U1, forense/prereg-caja/ENVIPE-SERIE-COMPLETA-spec-v1_0.md §1; homologado en las olas del árbitro R por forense/prereg-caja/R-ENVIPE-SERIE-spec-v1_0.md §0.2/§3 y forense/prereg-caja/R-ENVIPE-SERIE-DBF-spec-v1_0.md).	NACIONAL	TOTAL	DELITO-PERSONAL-NO-DENUNCIADO	SALTO-SIN-EXPLICAR	NINGUNA	15	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025	-6.1601927100351475	2019>2020:COMPARABLE:BAJA:-3.949056093770481pp:2020=SI		CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-NODENUNCIA-MIEDO-DESCONFIANZA-NACIONAL-TOTAL
ENVIPE-R-NACIONAL-TOTAL	ENVIPE	Seguridad y norma	R = proporción ponderada, sobre U_R (todos los tipos de delito de TMod_Vic, sin filtro de BPCOD), de BP1_23 en {01,02,06} -- miedo al agresor, miedo a extorsión o desconfianza en la autoridad como razón principal de no denuncia. Ponderador FAC_DEL. Universo primario del árbitro R (espec-R-ciega-v1_2.tsv + codificacion-R-v1_0.tsv), denominador distinto del C1/U1 (que restringe a delitos personales).	NACIONAL	TOTAL	DELITO-TODOS-TIPOS	SALTO-SIN-EXPLICAR	NINGUNA	6	2012,2013,2015,2021,2023,2024	-6.438698036544996	2015>2021:COMPARABLE:BAJA:-3.8734329395194584pp:2020=NO		CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-R-NACIONAL-TOTAL
ENVIPE-S1XD1-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S1xD1 = hasta primaria x Rural	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S1XD1-NACIONAL-TOTAL
ENVIPE-S1XD2-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S1xD2 = hasta primaria x Complemento urbano	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S1XD2-NACIONAL-TOTAL
