id_celda	familia_mecanismo	encuesta	ola_R	R_pct	R_EE_pp	l_solo_mediana_pct	l_solo_validas	l_solo_abstenciones	l_solo_iqr_pp	l_corpus_mediana_pct	l_corpus_validas	l_corpus_abstenciones	l_corpus_iqr_pp	m_pct	error_abs_l_solo_pp	contrib_mae_l_solo_pp	error_abs_l_corpus_pp	contrib_mae_l_corpus_pp	error_abs_m_pp	contrib_mae_m_pp	en_u3
CIV-M-01	CIV-ENVIPE	ENVIPE	2012	25.899878	0.697070	23.500000	8	0	2.250000	25.000000	8	0	2.750000	29.431300	2.399878	0.199990	0.899878	0.074990	3.531422	0.294285	SI
CIV-M-02	CIV-ENVIPE	ENVIPE	2013	24.339981	0.623782	27.500000	8	0	4.000000	24.000000	8	0	3.250000	29.431300	3.160019	0.263335	0.339981	0.028332	5.091319	0.424277	SI
CIV-M-04	CIV-ENVIPE	ENVIPE	2015	24.366832	0.748351	25.500000	8	0	1.000000	25.000000	8	0	2.000000	29.431300	1.133168	0.094431	0.633168	0.052764	5.064468	0.422039	SI
CIV-M-10	CIV-ENVIPE	ENVIPE	2021	20.493399	0.477343	23.000000	8	0	1.250000	23.000000	8	0	1.000000	29.431300	2.506601	0.208883	2.506601	0.208883	8.937901	0.744825	SI
CIV-M-12	CIV-ENVIPE	ENVIPE	2023	20.811160	0.476027	22.000000	8	0	1.125000	24.000000	8	0	1.250000	29.431300	1.188840	0.099070	3.188840	0.265737	8.620140	0.718345	SI
CIV-M-13	CIV-ENVIPE	ENVIPE	2024	19.461180	0.539142	21.250000	8	0	1.250000	22.000000	8	0	1.000000	29.431300	1.788820	0.149068	2.538820	0.211568	9.970120	0.830843	SI
DIN-M-01	DIN-ENNViH	ENNViH/MxFLS	2002 (ola 1)	15.558094	0.482149	18.000000	2	6	4.000000		0	8		17.480400	2.441906				1.922306		NO
FAM-M-01	FAM-ENIF-APOYO	ENIF	2018	55.719257	0.676671	30.000000	5	3	8.000000	30.000000	1	7	0.000000	45.770700	25.719257	2.143271	25.719257	2.143271	9.948557	0.829046	SI
FAM-M-05	FAM-ENIGH-REMESAS	ENIGH	2016	4.745859	0.126236	5.000000	8	0	0.100000	4.750000	8	0	0.150000	4.569400	0.254141	0.021178	0.004141	0.000345	0.176459	0.014705	SI
FAM-M-06	FAM-ENIGH-REMESAS	ENIGH	2018	4.728548	0.119548	5.000000	8	0	0.275000	5.000000	8	0	0.075000	4.569400	0.271452	0.022621	0.271452	0.022621	0.159148	0.013262	SI
FAM-M-07	FAM-ENIGH-REMESAS	ENIGH	2020	4.377544	0.101159	5.000000	8	0	0.350000	5.000000	8	0	0.000000	4.569400	0.622456	0.051871	0.622456	0.051871	0.191856	0.015988	SI
TRA-M-02	TRA-ENCUCI	ENCUCI	2020	12.602487	0.506001	15.000000	4	4	2.250000	15.000000	1	7	0.000000	8.511800	2.397513	0.199793	2.397513	0.199793	4.090687	0.340891	SI
TRA-M-03	TRA-ENCIG	ENCIG	2013	4.453798	0.284117	10.500000	6	2	1.750000	12.000000	6	2	0.000000	8.511800	6.046202	0.503850	7.546202	0.628850	4.058002	0.338167	SI
TRA-M-07	TRA-ENCIG	ENCIG	2021	7.181523	0.239637	10.000000	2	6	2.000000		0	8		8.511800	2.818477				1.330277		NO
